INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	工程(等级1)	2500	10000	0	0	3000	50	空	0	0	
2	工程(等级2)	5000	14739	3000	30	8000	50	空	0	0	
3	工程(等级3)	10000	21724	8000	80	16000	50	空	0	0	
4	工程(等级4)	20000	32021	16000	160	28000	50	空	0	0	
5	工程(等级5)	40000	47197	28000	280	45000	50	空	0	0	
6	工程(等级6)	80000	69565	45000	450	68000	50	空	0	0	
7	工程(等级7)	160000	102535	68000	680	98000	50	空	0	0	
8	工程(等级8)	320000	151130	98000	980	137000	50	空	0	0	
9	工程(等级9)	640000	222757	137000	1370	187000	50	空	0	0	
10	工程(等级10)	1280000	328329	187000	1870	187000	50	空	0	0	
