INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	攻具洗练(等级1)	2500	10000	0	0	800	50	空	0	0	
2	攻具洗练(等级2)	5000	14739	800	8	2000	50	空	0	0	
3	攻具洗练(等级3)	10000	21724	2000	20	3600	50	空	0	0	
4	攻具洗练(等级4)	20000	32021	3600	36	6000	50	空	0	0	
5	攻具洗练(等级5)	40000	47197	6000	60	8800	50	空	0	0	
6	攻具洗练(等级6)	80000	69565	8800	88	12000	50	空	0	0	
7	攻具洗练(等级7)	160000	102535	12000	120	16000	50	空	0	0	
8	攻具洗练(等级8)	320000	151130	16000	160	20800	50	空	0	0	
9	攻具洗练(等级9)	640000	222757	20800	208	26400	50	空	0	0	
10	攻具洗练(等级10)	1280000	328329	26400	264	26400	50	空	0	0	
