INT	STRING	INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	名称	脚本ID	类型	停站时间(毫秒)	模型数据ID	模型高度	准乘人数	行驶速度	动作表编号0	动作表编号1	绑定点名称0	动作表编号1	动作表编号2	绑定点名称1	绑定点名称2	绑定点名称3	绑定点名称4	绑定点名称5	绑定点名称6	绑定点名称7
0	单程车	-1	0	0	1018	3	1	6	265	532	attach1	-1	-1							
1	往返车	-1	1	30000	1018	3	4	6	265	532	attach1	265	532	attach1	attach1	attach1				
2	交通工具_鹰	-1	1	20000	1021	3	2	12	264	531	骑乘点01	264	531	骑乘点02						
3	低级花车	800200	0	0	1022	4	2	2	286	553	骑乘点01	286	553	骑乘点02						
4	中级花车	800201	0	0	1023	4	2	2	286	553	骑乘点01	286	553	骑乘点02						
5	高级花车	800202	0	0	1024	4	2	2	286	553	attach1	286	553	attach2						
6	大雕（体验版）	-1	0	0	7394	3	1	12	265	532	attach1	-1	-1							
7	雪橇	-1	0	0	7698	3	6	9	1180	1180	attach1	1179	1179	attach2	attach3	attach4	attach5	attach6		
8	云端雪	791095	0	0	7891	3	2	9	292	559	attach1	292	559	attach2						
9	游船bus	998293	0	0	7869	4	2	9	1210	1210	attach1	1210	1210	attach2						
10	夜墨风	791095	0	0	7892	3	2	9	292	559	attach1	292	559	attach2						
11	赤灵驹	791095	0	0	7893	3	2	9	292	559	attach1	292	559	attach2						
12	低级花车	800200	0	0	7870	4	2	2	1211	1211	attach1	1211	1211	attach2						
13	中级花车	800201	0	0	7871	4	2	2	1211	1211	attach1	1211	1211	attach2						
14	高级花车	800202	0	0	7872	4	2	2	1211	1211	attach1	1211	1211	attach2						
15	游街	792110	0	0	7928	4	1	2	267	534	attach1	267	534	attach2						
16	大雕（体验版）	-1	0	0	7394	3	1	12	265	532	attach1	-1	-1							
17	游街高级	792110	0	0	8497	4	1	2	267	534	attach1	267	534	attach2						
18	游街（女）	792110	0	0	8533	4	1	2	292	559	attach1	292	559							
19	游街高级（女）	792110	0	0	8534	4	1	2	292	559	attach1	292	559							
20	游街唢呐队	-1	0	0	8564	3	2	2	267	534	attach1	267	534							
21	游街撒花队	-1	0	0	8561	4	2	2	267	534	attach1	267	534							
22	游街侍卫队	-1	0	0	8563	3	2	2	267	534	attach1	267	534							
23	游街举牌队	-1	0	0	8562	3	2	2	267	534	attach1	267	534							
24	雁门关鹰	-1	0	0	8600	3	1	12	1210	1210	attach1	1210	1210							
25	沈月岛海马	-1	0	0	8857	3	1	12	292	559	attach1	1210	1210							
26	采灵小车	890362	0	0	8920	3	6	9	1329	1329	attach1	1329	1329	attach2	attach3	attach4	attach5	attach6		
