INT	STRING	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	FLOAT
ID	Ãû³Æ	×¼³ËÈËÊı	ModelID	AddHeight	RideRecipe	Î´Öª	Ö÷×ø¶¯×÷×éË÷Òı	Ö÷°ó¶¨µã	Î´Öª	¸±×ø¶¯×÷×éË÷Òı	¸±°ó¶¨µã	×øÆïµÄÒÆ¶¯ÉùÒôID	ÊÇ·ñÄÜÌøÔ¾	ÌØÊâ¸ß¶ÈĞŞÕı
0	»¢	1	1010	0.5	447	282	549	attach1	282	549	attach1	-1	1	0
1	»ÆæôÂí	1	1011	0.6	448	291	558	attach1	291	558	attach1	-1	1	0
2	»ÒÀÇ	1	1012	0.5	455	271	538	attach1	271	538	attach1	-1	1	0
3	µñ	1	1007	0.5	454	289	556	attach1	289	556	attach1	-1	-1	0
4	Â¹	1	1014	0.6	453	295	562	attach1	295	562	attach1	-1	1	0
5	º×	1	1008	0.9	450	294	561	attach1	294	561	attach1	-1	-1	0
6	Çà·ï	1	1018	0.5	451	265	532	attach1	265	532	attach1	-1	-1	0
7	ÂæÍÕ	1	1015	0.6	449	293	560	attach1	293	560	attach1	-1	1	0
8	êóÅ£	1	1016	0.6	452	268	535	attach1	268	535	attach1	-1	1	0
9	°×»¢	1	1002	0.5	456	276	543	attach1	276	543	attach1	-1	1	0
10	Çà°×æõÂí	1	1017	0.6	457	290	557	attach1	290	557	attach1	-1	1	0
11	°×ÀÇ	1	1003	0.5	464	275	542	attach1	275	542	attach1	-1	1	0
12	°×µñ	1	1001	0.5	463	278	545	attach1	278	545	attach1	-1	-1	0
13	°×Â¹	1	1004	0.6	462	280	547	attach1	280	547	attach1	-1	1	0
14	½ğÒíº×	1	1013	0.9	459	287	554	attach1	287	554	attach1	-1	-1	0
15	ºì°×·ï	1	1009	0.5	460	281	548	attach1	281	548	attach1	-1	-1	0
16	°×ÂæÍÕ	1	1005	0.6	458	279	546	attach1	279	546	attach1	-1	1	0
