INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	类型(策划分类用)	名称$1$	描述$1$	逻辑类型(程序用)	等级	时间	注释	阅历值	称号来源	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	预留
0	1	系统占用	设置等级称号为0，即清除等级称号	1	1	-1	设置等级称号为0，即清除等级称号	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
91	2	$N的夫君	在天愿做比翼鸟，在地愿做连理枝。	22	1	-1	夫妻	1	与命定之人结婚后获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
92	2	$N的娘子	在天愿做比翼鸟，在地愿做连理枝。	22	1	-1	夫妻	1	与命定之人结婚后获得的称号。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
93	3	昭武校尉	低级士兵，初建功勋，继续努力。	3	1	-1	从军（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
94	3	昭武校尉	低级士兵，初建功勋，继续努力。	3	2	-1	从军（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
95	3	振威中郎将	初级将领，屡建功勋，再接再厉。	3	3	-1	从军（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
96	3	骠骑将军	中级将领，功勋卓著，再接再厉。	3	4	-1	从军（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
97	3	神武大将军	神武大将，英明神武，威震寰宇。	3	5	-1	从军（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
98	4	护坛童儿	初级驱鬼师，初建功勋，继续努力。	4	1	-1	驱鬼（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
99	4	陆地飞仙	中级驱鬼师，屡建功勋，再接再厉。	4	2	-1	驱鬼（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
100	4	降魔上仙	高级驱鬼师，功勋卓著，再接再厉。	4	3	-1	驱鬼（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
101	4	天罡真君	极品驱鬼师，降妖伏魔，除魔卫道。	4	4	-1	驱鬼（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
102	5	黄豹镖卫	初级镖师，初建功勋，继续努力。	5	1	-1	运镖（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
103	5	赤虎镖师	中级镖师，屡建功勋，再接再厉。	5	2	-1	运镖（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
104	5	黑凤镖头	高级镖师，功勋卓著，再接再厉。	5	3	-1	运镖（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
105	5	白龙总镖头	极品镖师，运镖能人，业界典范。	5	4	-1	运镖（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
106	6	状元	学识渊博，文才超群，天下无双！	6	3	-1	科举（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
107	6	榜眼	学识过人，文才出众，天下第二！	6	2	-1	科举（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
108	6	探花	学识过人，文才出众，天下第三！	6	1	-1	科举（已废弃）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
109	7	美食大王	厨艺高超，冠绝天下！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
110	7	妙手回春	回春妙手，华佗再世！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
111	7	宝石专家	极品宝石，必我所出！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
112	7	铸剑大师	铸剑大师，干将再生！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
113	7	制衣能手	制衣能手，当今黄道婆！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
114	7	巧手神匠	巧手神匠，鲁班再世！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
115	7	无双才子	文才出众，风度翩翩！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
116	7	采药专家	神农再世，尝遍百草！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
117	7	采矿专家	采矿专家，矿业典范！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
118	7	挖宝大师	独具慧眼，宝藏终结者！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
119	7	天师传人	天师传人，才是名人！	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
120	7	钓鱼高手	太公钓鱼，愿者上钩。	7	1	-1	特殊（不处理）	0	无。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
