INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
TitleID	类别	名称	描述	逻辑ID	Level	有效时间	描述	描述2	有效类型 1:天 2:明确年月日 3:周次 4:本周内某周次	颜色ID	BoardIndex	是否启用	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	属性类型	属性值	是否Animate	AnimateID	预留	预留	预留	预留
1000	1000	谜之追逐者	花灯隐语活动中解谜达人的象征。	100	1	-1	花灯隐语	花灯隐语活动中，完成活动任务6天领取的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1001	1000	谜一样的人	花灯隐语活动中解谜专家的象征。	100	2	-1	花灯隐语	花灯隐语活动中，完成活动任务10天领取的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1002	1000	超越谜的人	花灯隐语活动中解谜超人的象征。	100	3	-1	花灯隐语	花灯隐语活动中，完成活动任务12天领取的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1003	1001	斗酒学士	才高八斗，酒气横天。	101	1	-1	千杯不醉	千杯不醉活动中连续饮下8杯酒后在大理（110，159）杜子腾处领取的称号奖励。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1004	1002	冠绝一时	高雅的品味为一时之冠。	102	1	-1	衣柜系统	储衣间拥有5件时装领取得到的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1005	1002	霞光十色	散发的魅力如同霞光一般，照耀全场。	102	2	-1	衣柜系统	储衣间拥有10件时装领取得到的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1006	1002	绫罗百纳	绸缎绫罗，锦衣百纳，高贵而不失风雅。	102	3	-1	衣柜系统	储衣间拥有15件时装领取得到的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1007	1002	锦卉千葩	如同千万朵奇花同时盛放，竞相争艳，绚丽的衣着超脱凡俗，仿若天仙下凡。	102	4	-1	衣柜系统	储衣间拥有15件不同类型的时装领取得到的称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1008	1002	绮罗万华	绮罗加身，风华绝代。	102	5	-1	衣柜系统	储衣间拥有20件时装才能获得此称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1009	1002	云绒巧纳	纤云弄巧，满目琳琅。	102	6	-1	衣柜系统	储衣间拥有20件不同类型的时装才能获得此称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1010	1002	星缎锦绣	锦衣华服，璀璨如星。	102	7	-1	衣柜系统	储衣间拥有25件时装才能获得此称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1011	1002	月纨华素	月仙织就，舞动清秋。	102	8	-1	衣柜系统	储衣间拥有25件不同类型的时装才能获得此称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1012	1002	金缕流光	金缕霓裳，光华周流。	102	9	-1	衣柜系统	储衣间拥有30件时装才能获得此称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1013	1002	仙袂玉裘	仙衣天成，灵玉润柔。	102	10	-1	衣柜系统	储衣间拥有30件不同类型的时装才能获得此称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1014	1003	天龙兄弟团	您点的侠意套餐已送达。	103	1	720	美团联动活动	参加新天龙八部×美团联动活动获得的专属称号。	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1015	1004	天龙才子·妙手丹青	纵情水墨自奇绝，画龙点睛神韵生。	104	1	2160	奖励给长期为官方微信、微博投稿，在绘图、制图方面有突出贡献的才艺玩家。	奖励给长期为官方微信、微博投稿，在绘图、制图方面有突出贡献的才艺玩家。	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1016	1004	天龙才子·锦绣华章	书剑江湖任挥洒，笔扫千军定乾坤。	105	1	2160	奖励给长期为官方微信、微博投稿，在文章、稿件方面有突出贡献的才艺玩家。	奖励给长期为官方微信、微博投稿，在文章、稿件方面有突出贡献的才艺玩家。	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1017	1004	天龙才子·光影霓裳	自古风流多才性，光影流变鉴天龙。	106	1	2160	奖励给长期为官方微信、微博投稿，在视频、音乐方面有突出贡献的才艺玩家。	奖励给长期为官方微信、微博投稿，在视频、音乐方面有突出贡献的才艺玩家。	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1018	1005	江湖百晓生	为新天龙八部记者站活跃小记者特别准备。	107	1	720	小记者专属礼包专属限时称号	成为新天龙八部记者站活跃小记者所获得的专属称号。	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1019	1006	如花似玉	貌美如花，肤似美玉，天生丽质赛闭月，温文尔雅胜沉鱼。	108	1	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1020	0	-1
1020	1006	气宇不凡	相貌、气度非凡俗所能及，所到之处无不赞美，夸奖之声不绝于耳。	109	1	-1	2021年情人称号	情人节活动专属称号。	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1019	1	-1
