INT	INT	STRING	STRING	INT
INDEX	ID	市	省	直辖市
1	10	北京	北京	0
2	21	上海	上海	0
3	22	天津	天津	0
4	23	重庆	重庆	0
5	551	合肥	安徽	1
6	556	安庆	安徽	1
7	552	蚌埠	安徽	1
8	1558	亳州	安徽	1
9	565	巢湖	安徽	1
10	566	池州	安徽	1
11	550	滁州	安徽	1
12	558	阜阳	安徽	1
13	561	淮北	安徽	1
14	554	淮南	安徽	1
15	559	黄山	安徽	1
16	564	六安	安徽	1
17	555	马鞍山	安徽	1
18	557	宿州	安徽	1
19	562	铜陵	安徽	1
20	553	芜湖	安徽	1
21	563	宣城	安徽	1
22	591	福州	福建	1
23	597	龙岩	福建	1
24	599	南平	福建	1
25	593	宁德	福建	1
26	594	莆田	福建	1
27	595	泉州	福建	1
28	598	三明	福建	1
29	592	厦门	福建	1
30	596	漳州	福建	1
31	931	兰州	甘肃	1
32	943	白银	甘肃	1
33	932	定西	甘肃	1
34	941	甘南	甘肃	1
35	1937	嘉峪关	甘肃	1
36	1935	金昌	甘肃	1
37	937	酒泉	甘肃	1
38	930	临夏	甘肃	1
39	939	陇南	甘肃	1
40	933	平凉	甘肃	1
41	934	庆阳	甘肃	1
42	938	天水	甘肃	1
43	935	武威	甘肃	1
44	936	张掖	甘肃	1
45	20	广州	广东	1
46	768	潮州	广东	1
47	769	东莞	广东	1
48	757	佛山	广东	1
49	762	河源	广东	1
50	752	惠州	广东	1
51	750	江门	广东	1
52	663	揭阳	广东	1
53	668	茂名	广东	1
54	753	梅州	广东	1
55	763	清远	广东	1
56	754	汕头	广东	1
57	660	汕尾	广东	1
58	751	韶关	广东	1
59	755	深圳	广东	1
60	662	阳江	广东	1
61	766	云浮	广东	1
62	759	湛江	广东	1
63	758	肇庆	广东	1
64	760	中山	广东	1
65	756	珠海	广东	1
66	771	南宁	广西	1
67	776	百色	广西	1
68	779	北海	广西	1
69	1771	崇左	广西	1
70	770	防城港	广西	1
71	1775	贵港	广西	1
72	773	桂林	广西	1
73	778	河池	广西	1
74	1774	贺州	广西	1
75	1772	来宾	广西	1
76	772	柳州	广西	1
77	777	钦州	广西	1
78	774	梧州	广西	1
79	775	玉林	广西	1
80	851	贵阳	贵州	1
81	853	安顺	贵州	1
82	857	毕节	贵州	1
83	858	六盘水	贵州	1
84	855	黔东南	贵州	1
85	854	黔南	贵州	1
86	859	黔西南	贵州	1
87	856	铜仁	贵州	1
88	852	遵义	贵州	1
89	898	海口	海南	1
90	899	三亚	海南	1
91	311	石家庄	河北	1
92	312	保定	河北	1
93	317	沧州	河北	1
94	314	承德	河北	1
95	310	邯郸	河北	1
96	318	衡水	河北	1
97	316	廊坊	河北	1
98	335	秦皇岛	河北	1
99	315	唐山	河北	1
100	319	邢台	河北	1
101	313	张家口	河北	1
102	371	郑州	河南	1
103	372	安阳	河南	1
104	392	鹤壁	河南	1
105	391	焦作	河南	1
106	378	开封	河南	1
107	379	洛阳	河南	1
