INT	INT	INT	INT	INT	INT	INT	INT	STRING
Index	INT	INT	ShopId	INT	INT	INT	INT	备注
1	1	0	195	-1	-1	-1	-1	附体幻色直接购买	
2	2	0	248	-1	-1	-1	-1	时装染色	
3	3	0	182	-1	-1	-1	-1	更换脸型	
4	4	0	145	-1	-1	-1	-1	更换发型	
5	5	0	182	-1	-1	-1	-1	更换头像	
6	6	0	145	-1	-1	-1	-1	更换发色	
7	7	0	182	-1	-1	-1	-1	配饰转移符	
8	8	0	137	-1	-1	-1	-1	幻世武器	
9	9	0	193	-1	-1	-1	-1	宝石装备相关	
10	10	0	248	-1	-1	-1	-1	扫荡月卡	
11	11	0	248	-1	-1	-1	-1	扫荡日卡	
12	12	0	248	-1	-1	-1	-1	高级婚礼券	
13	13	0	248	-1	-1	-1	-1	天宝注疏	
14	14	0	248	-1	-1	-1	-1	地珍注疏	
15	15	0	195	-1	-1	-1	-1	兽魂染色直接购买	
