INT	INT	INT	INT	INT	INT
RankLv	升级所需材料	属性增幅A	属性增幅B	忘无附加伤害	其他特殊雕纹效果提升
1	4	14	14	21	120
2	5	18	18	27	140
3	6	22	22	33	160
4	7	26	26	39	180
5	8	30	30	45	200
6	9	34	34	51	220
7	10	38	38	57	240
8	11	42	42	63	260
9	12	46	46	69	280
10	13	51	50	75	300
11	14	56	52	78	340
12	15	61	54	81	380
13	18	66	56	84	420
14	23	71	58	87	460
15	30	79	63	94	500
16	39	87	71	106	560
17	50	95	79	118	620
18	63	105	88	132	680
19	78	115	99	148	740
20	95	126	110	165	800
21	115	137	121	181	860
22	138	148	132	198	920
23	164	159	143	214	980
24	193	168	152	228	1040
25	225	177	161	241	1100
26	260	186	169	253	1120
27	298	195	177	265	1140
28	339	204	184	276	1160
29	383	211	189	283	1180
30	430	218	195	292	1200
31	481	224	199	298	1220
32	536	230	203	304	1240
33	595	236	206	309	1260
34	658	242	210	315	1280
35	725	248	214	321	1300
36	796	254	218	327	1320
37	870	260	222	333	1340
38	947	267	226	339	1360
39	1027	274	231	346	1380
40	1110	281	236	354	1400
41	1196	289	243	364	1420
42	1285	297	250	375	1440
43	1377	305	257	385	1460
44	1472	311	262	393	1480
45	1570	317	268	402	1500
46	1671	323	274	411	1520
47	1775	329	280	420	1540
48	1882	335	287	430	1560
49	1992	342	294	441	1580
50	-1	350	301	458	1600
