INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
DWTeXingId	Name	Desc	szXiaoGuoTips	szTeXingIcon	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	dataIncres1	dataIncres2	dataIncres3	dataIncres4	dataIncres5	dataIncres6	dataIncres7	dataIncres8	dataIncres9	dataIncres10	fullEffectMax	maxScale	dataScale	TeXingShuItemID
1	废弃	#{DWJJ_240329_212}	废弃	废弃	DWJinJie01_13	DWJinJie01_13	DWJinJie01_13	DWJinJie01_14	DWJinJie01_14	DWJinJie01_14	DWJinJie01_15	DWJinJie01_15	DWJinJie01_15	DWJinJie01_16	10	20	30	40	50	60	70	80	90	100	200	-1	10	0
2	崩溅	#{DWJJ_240329_213}	使用第一本心法第一个技能对目标造成伤害时，有2%%概率额外对攻击目标周围5米范围内最多6个目标造成自身最高属性攻%s%%的伤害#r#G单个纹刻满级伤害效果为50%%，全纹刻总生效上限为100%%	#cfff263当前已激活的纹刻总伤害效果为%s%%#cfff263自身最高属性攻	DWJinJie04_5	DWJinJie04_5	DWJinJie04_5	DWJinJie04_6	DWJinJie04_6	DWJinJie04_6	DWJinJie04_7	DWJinJie04_7	DWJinJie04_7	DWJinJie04_8	50	100	150	200	250	300	350	400	450	500	1000	-1	10	30900229
3	猛击	#{DWJJ_240329_214}	使用第一本心法第一个技能对目标造成伤害时，有%s%%概率使伤害加倍#r#G单个纹刻满级效果为3%%，全纹刻总生效上限为6%%	#cfff263当前已激活的纹刻总概率为%s%%	DWJinJie05_9	DWJinJie05_9	DWJinJie05_9	DWJinJie05_10	DWJinJie05_10	DWJinJie05_10	DWJinJie05_11	DWJinJie05_11	DWJinJie05_11	DWJinJie05_12	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900234
4	破釜	#{DWJJ_240329_215}	将自身%s%%的外功防御转化为外功攻击#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻总外功防御转化为%s%%	DWJinJie06_1	DWJinJie06_1	DWJinJie06_1	DWJinJie06_2	DWJinJie06_2	DWJinJie06_2	DWJinJie06_3	DWJinJie06_3	DWJinJie06_3	DWJinJie06_4	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900236
5	沉舟	#{DWJJ_240329_216}	将自身%s%%的内功防御转化为内功攻击#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻总内功防御转化为%s%%	DWJinJie06_5	DWJinJie06_5	DWJinJie06_5	DWJinJie06_6	DWJinJie06_6	DWJinJie06_6	DWJinJie06_7	DWJinJie06_7	DWJinJie06_7	DWJinJie06_8	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900237
6	迅影	#{DWJJ_240329_217}	初级隐遁减少%s秒的冷却时间#r#G单个纹刻满级效果为7秒，全纹刻总生效上限为14秒	#cfff263当前已激活的纹刻总冷却缩短时间%s#cfff263秒	DWJinJie08_1	DWJinJie08_1	DWJinJie08_1	DWJinJie08_2	DWJinJie08_2	DWJinJie08_2	DWJinJie08_3	DWJinJie08_3	DWJinJie08_3	DWJinJie08_4	500	1000	1500	2000	2500	3000	4000	5000	6000	7000	14000	-1	1000	30900243
7	生津	#{DWJJ_240329_218}	食用秘制膳食所提供的增益效果增强%s%%（膳食增益生效时不可卸下）#r#G单个纹刻满级效果为15%%，全纹刻总生效上限为30%%	#cfff263当前已激活的纹刻共使膳食效果增强%s%%	DWJinJie01_5	DWJinJie01_5	DWJinJie01_5	DWJinJie01_6	DWJinJie01_6	DWJinJie01_6	DWJinJie01_7	DWJinJie01_7	DWJinJie01_7	DWJinJie01_8	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900218
8	颐神	#{DWJJ_240329_219}	使用20秒的秘制药品时额外增加持续时间%s秒#r#G单个纹刻满级效果为10秒，全纹刻总生效上限为20秒	#cfff263当前已激活的纹刻总持续时间增加为%s#cfff263秒	DWJinJie01_9	DWJinJie01_9	DWJinJie01_9	DWJinJie01_10	DWJinJie01_10	DWJinJie01_10	DWJinJie01_11	DWJinJie01_11	DWJinJie01_11	DWJinJie01_12	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	20000	-1	1000	30900219
9	残毒	#{DWJJ_240329_220}	使目标每次中毒或诅咒损失的血量增加%s点#r#G单个纹刻满级效果为100点，全纹刻总生效上限为200点	#cfff263当前已激活的纹刻总中毒或诅咒伤害增加%s#cfff263点	DWJinJie04_9	DWJinJie04_9	DWJinJie04_9	DWJinJie04_10	DWJinJie04_10	DWJinJie04_10	DWJinJie04_11	DWJinJie04_11	DWJinJie04_11	DWJinJie04_12	10	20	30	40	50	60	70	80	90	100	200	-1	1	30900230
10	焚内	#{DWJJ_240329_221}	使目标每次灼烧损失的血量增加%s点#r#G单个纹刻满级效果为100点，全纹刻总生效上限为200点	#cfff263当前已激活的纹刻总灼烧伤害增加%s#cfff263点	DWJinJie04_13	DWJinJie04_13	DWJinJie04_13	DWJinJie04_14	DWJinJie04_14	DWJinJie04_14	DWJinJie04_15	DWJinJie04_15	DWJinJie04_15	DWJinJie04_16	10	20	30	40	50	60	70	80	90	100	200	-1	1	30900231
11	疾行	#{DWJJ_240329_222}	移动速度增加%s%%（骑乘不享受此加成）#r#G单个纹刻满级效果为5%%，全纹刻总生效上限为10%%	#cfff263当前已激活的纹刻总移动速度增加%s%%	DWJinJie08_5	DWJinJie08_5	DWJinJie08_5	DWJinJie08_6	DWJinJie08_6	DWJinJie08_6	DWJinJie08_7	DWJinJie08_7	DWJinJie08_7	DWJinJie08_8	5	10	15	20	25	30	35	40	45	50	100	-1	10	30900244
12	废弃	#{DWJJ_240329_223}	废弃	废弃	DWJinJie08_9	DWJinJie08_9	DWJinJie08_9	DWJinJie08_10	DWJinJie08_10	DWJinJie08_10	DWJinJie08_11	DWJinJie08_11	DWJinJie08_11	DWJinJie08_12	3	6	9	12	15	18	21	24	27	30	30	-1	1	0
13	御抗	#{DWJJ_240329_224}	受到伤害时，有%s%%概率免疫此次伤害#r#G单个纹刻满级效果为2%%，全纹刻总生效上限为4%%	#cfff263当前已激活的纹刻总概率为%s%%	DWJinJie01_1	DWJinJie01_1	DWJinJie01_1	DWJinJie01_2	DWJinJie01_2	DWJinJie01_2	DWJinJie01_3	DWJinJie01_3	DWJinJie01_3	DWJinJie01_4	2	4	6	8	10	12	14	16	18	20	40	-1	10	30900220
14	汲取	#{DWJJ_240329_225}	对目标造成伤害时，有6%%概率吸取所造成伤害%s%%的血量（单个技能回血最高为自身血上限5%%的血量，对怪物吸取时吸取量降低）#r#G单个纹刻满级吸取效果为50%%，全纹刻总生效上限为100%%	#cfff263当前已激活的纹刻总吸血效果为造成伤害的%s%%	DWJinJie02_1	DWJinJie02_1	DWJinJie02_1	DWJinJie02_2	DWJinJie02_2	DWJinJie02_2	DWJinJie02_3	DWJinJie02_3	DWJinJie02_3	DWJinJie02_4	50	100	150	200	250	300	350	400	450	500	1000	-1	10	30900221
15	骛远	#{DWJJ_240329_226}	使第一本心法第一个技能的攻击距离提高%s米（提升后的攻击距离不可超过15米）#r#G单个纹刻满级效果为2.5米，全纹刻总生效上限为5米	#cfff263当前已激活的纹刻总攻击距离提高%s#cfff263米	DWJinJie08_13	DWJinJie08_13	DWJinJie08_13	DWJinJie08_14	DWJinJie08_14	DWJinJie08_14	DWJinJie08_15	DWJinJie08_15	DWJinJie08_15	DWJinJie08_16	200	400	600	800	1000	1300	1600	1900	2200	2500	5000	-1	1000	30900246
16	乘虚	#{DWJJ_240329_227}	对目标造成伤害时，有10%%概率使目标额外损失此次伤害%s%%的血量和%s%%的气#r#G单个纹刻满级效果为15%%血量和5%%气，全纹刻总生效上限为30%%血量和10%%气	#cfff263当前已激活的纹刻共使目标额外损失此次伤害的%s%%#cfff263血量和%s%%#cfff263气	DWJinJie05_1	DWJinJie05_1	DWJinJie05_1	DWJinJie05_2	DWJinJie05_2	DWJinJie05_2	DWJinJie05_3	DWJinJie05_3	DWJinJie05_3	DWJinJie05_4	15	30	45	60	75	90	105	120	135	150	300	100	10	30900232
17	决心	#{DWJJ_240329_228}	会心一击率增加%s%%#r#G单个纹刻满级效果为3%%，全纹刻总生效上限为6%%	#cfff263当前已激活的纹刻共使会心一击率增加%s%%	DWJinJie05_5	DWJinJie05_5	DWJinJie05_5	DWJinJie05_6	DWJinJie05_6	DWJinJie05_6	DWJinJie05_7	DWJinJie05_7	DWJinJie05_7	DWJinJie05_8	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900233
