INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
Idx	物品ID	物品名称	预留	预留	数量	归属商店ID	数量数据位	限制数量	所需代币数量
1	20310168	金蚕丝	1	2	1	1	0	50	4
2	20800013	绘金尘	1	2	1	1	1	25	10
3	38002677	灵兽魂玉礼盒	1	1	1	1	2	5	10
4	30900006	天罡强化精华	0	1	1	1	3	30	6
5	30008034	金刚砂	0	1	1	1	4	30	8
6	20310168	金蚕丝	1	2	1	2	5	50	2
7	20800013	绘金尘	1	2	1	2	6	25	6
8	38002676	荒兽魂玉礼盒	1	1	1	2	7	10	15
9	38002533	淬魂液	0	1	1	2	8	30	2
10	30501361	功力丹	0	1	1	2	9	15	10
11	50313004	红宝石3级	0	2	1	2	10	5	21
12	38002221	晶石3级礼盒	1	1	1	2	11	5	21
13	20800013	绘金尘	1	2	1	4	12	20	2
14	38002675	神兽魂玉礼盒	0	1	1	4	13	10	30
15	38002540	高级淬魂髓	0	1	1	4	14	20	2
16	20502003	3级秘银	0	2	1	4	15	10	20
17	20501003	3级棉布	0	2	1	4	16	10	20
18	10124399	宏宸万里	1	1	1	4	17	1	1000
19	10141953	坐骑：蹑景	1	1	1	4	18	1	1000
20	38002397	武道玄元丹	1	1	1	4	19	1	10
21	30120003	饰品身法雕纹图样	1	1	1	4	20	1	298
22	30120002	饰品灵气雕纹图样	1	1	1	4	21	1	298
23	30120001	饰品力量雕纹图样	1	1	1	4	22	1	298
