INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	有效期(小时)	传输颜色	附加属性描述$1$	是否显示	元宝交易类型:0可元宝交易，1不可元宝交易，2即可元宝交易也可金币交易	卖店是否获得交子，1获得交子，0获得金币	自动消失日期(格式20XX0102)	特殊活动道具	是否自装备后计时	元宝交易市场子类(SubType)	预留	是否可共享
10102112	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10102113	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10102114	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10102115	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112101	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112102	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112103	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112104	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112105	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112106	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112107	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112108	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112109	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112110	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112111	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112112	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112113	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112114	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112115	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112116	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112117	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112118	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112119	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112120	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112121	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112122	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112123	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112124	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112125	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112126	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112127	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112128	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112129	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112130	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112131	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112132	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112133	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112134	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112135	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112136	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112137	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112138	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112139	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112140	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112141	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112142	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112143	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112144	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
10112145	-1	2005	-1	0	1	1	-1	0	0	0	0	-1
