INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	EquipId	Reserver	Reserver	SpecialAction1	SpecialAction2	SpecialAction3	SpecialAction4	SpecialAction5	SpecialAction6
1	10125382	444	0	24	25	-1	-1	-1	-1
2	10125383	444	0	24	25	-1	-1	-1	-1
3	10125384	444	0	24	25	-1	-1	-1	-1
4	10125385	444	0	24	25	-1	-1	-1	-1
5	10125386	444	0	24	25	-1	-1	-1	-1
6	10125387	444	0	24	25	-1	-1	-1	-1
7	10125388	444	0	24	25	-1	-1	-1	-1
8	10125389	444	0	24	25	-1	-1	-1	-1
9	10125390	444	0	24	25	-1	-1	-1	-1
10	10125391	444	0	24	25	-1	-1	-1	-1
11	10125392	444	0	24	25	-1	-1	-1	-1
12	10125393	444	0	24	25	-1	-1	-1	-1
13	10125394	444	0	24	25	-1	-1	-1	-1
14	10125395	444	0	24	25	-1	-1	-1	-1
15	10125396	444	0	24	25	-1	-1	-1	-1
16	10125397	444	0	24	25	-1	-1	-1	-1
17	10125398	444	0	24	25	-1	-1	-1	-1
18	10125399	444	0	24	25	-1	-1	-1	-1
19	10125400	444	0	24	25	-1	-1	-1	-1
20	10125401	444	0	24	25	-1	-1	-1	-1
21	10125402	444	0	24	25	-1	-1	-1	-1
22	10125403	444	0	24	25	-1	-1	-1	-1
23	10125404	444	0	24	25	-1	-1	-1	-1
24	10125405	444	0	24	25	-1	-1	-1	-1
25	10125406	444	0	24	25	-1	-1	-1	-1
26	10125407	444	0	24	25	-1	-1	-1	-1
27	10125408	444	0	24	25	-1	-1	-1	-1
28	10125409	444	0	24	25	-1	-1	-1	-1
29	10125410	444	0	24	25	-1	-1	-1	-1
30	10125411	444	0	24	25	-1	-1	-1	-1
31	10125412	444	0	24	25	-1	-1	-1	-1
32	10125413	444	0	24	25	-1	-1	-1	-1
33	10125414	444	0	24	25	-1	-1	-1	-1
34	10125415	444	0	24	25	-1	-1	-1	-1
35	10125416	444	0	24	25	-1	-1	-1	-1
36	10125417	444	0	24	25	-1	-1	-1	-1
37	10125418	444	0	24	25	-1	-1	-1	-1
38	10125419	444	0	24	25	-1	-1	-1	-1
39	10125420	444	0	24	25	-1	-1	-1	-1
40	10125421	444	0	24	25	-1	-1	-1	-1
41	10125422	444	0	24	25	-1	-1	-1	-1
42	10125423	444	0	24	25	-1	-1	-1	-1
43	10125424	444	0	24	25	-1	-1	-1	-1
44	10125425	444	0	24	25	-1	-1	-1	-1
45	10125426	444	0	24	25	-1	-1	-1	-1
46	10125427	444	0	24	25	-1	-1	-1	-1
47	10125428	444	0	24	25	-1	-1	-1	-1
48	10125429	444	0	24	25	-1	-1	-1	-1
49	10125430	444	0	24	25	-1	-1	-1	-1
50	10125431	444	0	24	25	-1	-1	-1	-1
51	10125432	444	0	24	25	-1	-1	-1	-1
52	10125433	444	0	24	25	-1	-1	-1	-1
53	10125434	444	0	24	25	-1	-1	-1	-1
54	10125435	444	0	24	25	-1	-1	-1	-1
55	10125436	444	0	24	25	-1	-1	-1	-1
56	10125437	444	0	24	25	-1	-1	-1	-1
57	10125438	444	0	24	25	-1	-1	-1	-1
58	10125439	444	0	24	25	-1	-1	-1	-1
59	10125440	444	0	24	25	-1	-1	-1	-1
60	10125441	444	0	24	25	-1	-1	-1	-1
61	10125442	444	0	24	25	-1	-1	-1	-1
62	10125443	444	0	24	25	-1	-1	-1	-1
63	10125444	444	0	24	25	-1	-1	-1	-1
64	10125445	444	0	24	25	-1	-1	-1	-1
65	10125446	444	0	24	25	-1	-1	-1	-1
66	10125447	444	0	24	25	-1	-1	-1	-1
67	10125448	444	0	24	25	-1	-1	-1	-1
68	10125449	444	0	24	25	-1	-1	-1	-1
69	10125450	444	0	24	25	-1	-1	-1	-1
70	10125451	444	0	24	25	-1	-1	-1	-1
71	10125452	444	0	24	25	-1	-1	-1	-1
72	10125453	444	0	24	25	-1	-1	-1	-1
73	10125454	444	0	24	25	-1	-1	-1	-1
74	10125455	444	0	24	25	-1	-1	-1	-1
75	10125456	444	0	24	25	-1	-1	-1	-1
76	10125457	444	0	24	25	-1	-1	-1	-1
77	10125458	444	0	24	25	-1	-1	-1	-1
78	10125459	444	0	24	25	-1	-1	-1	-1
79	10125460	444	0	24	25	-1	-1	-1	-1
80	10125461	444	0	24	25	-1	-1	-1	-1
81	10125462	444	0	24	25	-1	-1	-1	-1
82	10125463	444	0	24	25	-1	-1	-1	-1
83	10125464	444	0	24	25	-1	-1	-1	-1
84	10125465	444	0	24	25	-1	-1	-1	-1
85	10125466	444	0	24	25	-1	-1	-1	-1
86	10125467	444	0	24	25	-1	-1	-1	-1
87	10125468	444	0	24	25	-1	-1	-1	-1
88	10125469	444	0	24	25	-1	-1	-1	-1
89	10125470	444	0	24	25	-1	-1	-1	-1
90	10125471	444	0	24	25	-1	-1	-1	-1
91	10125472	444	0	24	25	-1	-1	-1	-1
92	10125473	444	0	24	25	-1	-1	-1	-1
93	10125474	444	0	24	25	-1	-1	-1	-1
94	10125475	444	0	24	25	-1	-1	-1	-1
95	10125476	444	0	24	25	-1	-1	-1	-1
96	10125477	444	0	24	25	-1	-1	-1	-1
97	10125478	444	0	24	25	-1	-1	-1	-1
98	10125479	444	0	24	25	-1	-1	-1	-1
99	10125480	444	0	24	25	-1	-1	-1	-1
100	10125481	444	0	24	25	-1	-1	-1	-1
