INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ExteriorID	CostMoney	NeedItem	ItemCount	CostMoney	NeedItem	ItemCount	CostMoney	NeedItem	ItemCount
1	250000	38002623	50	500000	38002623	100	0	0	0	
2	250000	38002623	50	500000	38002623	100	0	0	0	
3	250000	38002623	50	500000	38002623	100	0	0	0	
4	250000	38002623	50	500000	38002623	100	0	0	0	
5	250000	38002623	50	500000	38002623	100	0	0	0	
6	250000	38002623	50	500000	38002623	100	0	0	0	
7	250000	38002623	50	500000	38002623	100	0	0	0	
8	250000	38002623	50	500000	38002623	100	0	0	0	
10	250000	38002623	50	500000	38002623	100	0	0	0	
12	250000	38002623	50	500000	38002623	100	0	0	0	
13	250000	38002623	50	500000	38002623	100	0	0	0	
14	250000	38002623	50	500000	38002623	100	0	0	0	
15	250000	38002623	50	500000	38002623	100	0	0	0	
16	250000	38002623	50	500000	38002623	100	0	0	0	
17	250000	38002623	50	500000	38002623	100	0	0	0	
18	250000	38002623	50	500000	38002623	100	0	0	0	
19	250000	38002623	50	500000	38002623	100	0	0	0	
20	250000	38002623	50	500000	38002623	100	0	0	0	
23	250000	38002623	50	500000	38002623	100	0	0	0	
24	250000	38002623	50	500000	38002623	100	0	0	0	
25	250000	38002623	50	500000	38002623	100	0	0	0	
26	250000	38002623	50	500000	38002623	100	0	0	0	
27	250000	38002623	50	500000	38002623	100	0	0	0	
28	250000	38002623	50	500000	38002623	100	0	0	0	
29	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
30	250000	38002623	50	500000	38002623	100	0	0	0	
31	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
32	250000	38002623	50	500000	38002623	100	0	0	0	
33	250000	38002623	50	500000	38002623	100	0	0	0	
34	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
35	250000	38002623	50	500000	38002623	100	0	0	0	
36	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
37	0	0	0	0	0	0	0	0	0	
38	250000	38002623	50	500000	38002623	100	0	0	0	
39	250000	38002623	50	500000	38002623	100	0	0	0	
40	250000	38002623	50	500000	38002623	100	0	0	0	
41	250000	38002623	50	500000	38002623	100	0	0	0	
42	0	0	0	0	0	0	0	0	0	
45	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
47	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
48	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
49	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
50	250000	38002623	50	500000	38002623	100	0	0	0	
51	250000	38002623	50	500000	38002623	100	0	0	0	
52	250000	38002623	50	500000	38002623	100	1000000	38002623	200	
53	250000	38002623	50	500000	38002623	100	0	0	0	
54	250000	38002623	50	500000	38002623	100	0	0	0	
