INT	INT	INT	INT
激活物件	饰品类型	饰品ID	有效时间
38003260	0	1	24	
38003270	0	1	-1	
38003321	0	2	-1	
38003345	1	1	24	
38003382	0	3	-1	
38003383	1	1	-1	
38003425	0	4	-1	
38003466	1	2	-1	
38003558	1	3	72	
38003559	1	3	168	
38003560	1	3	360	
38003561	1	3	720	
38003562	1	3	1080	
38003563	0	5	168	
38003564	0	5	360	
38003565	0	5	720	
38003566	1	3	120	
38003567	1	3	-1	
38003574	0	6	24	
38003575	0	7	24	
38003583	0	6	-1	
38003584	0	7	-1	
38003585	1	4	-1	
38003586	0	8	-1	
38003656	0	9	-1	
38003657	1	5	-1	
38003658	0	9	720	
38003659	1	5	720	
38003673	0	10	-1	
38003681	0	11	-1	
38003682	0	12	-1	
38003696	1	6	-1	
38003711	1	6	720	
