INT	INT	INT	INT
Index	ItemId	ExteriorType	ExteriorId
1	10141000	3	1	
2	10141001	3	2	
3	10141002	3	3	
4	10141003	3	4	
5	10141004	3	5	
6	10141005	3	6	
7	10141006	3	7	
8	10141007	3	8	
9	10141008	3	9	
10	10141009	3	10	
11	10141010	3	11	
12	10141011	3	12	
13	10141012	3	13	
14	10141013	3	14	
15	10141014	3	15	
16	10141015	3	16	
17	10141016	3	17	
18	10141017	3	18	
19	10141018	3	19	
20	10141019	3	20	
21	10141020	3	21	
22	10141041	3	22	
23	10141042	3	23	
24	10141043	3	23	
25	10141044	3	24	
26	10141045	3	25	
27	10141046	3	26	
28	10141047	3	27	
29	10141048	3	28	
30	10141049	3	29	
31	10141052	3	22	
32	10141053	3	23	
33	10141054	3	24	
34	10141055	3	25	
35	10141056	3	26	
36	10141057	3	27	
37	10141058	3	28	
38	10141059	3	29	
39	10141060	3	30	
40	10141061	3	31	
41	10141062	3	32	
42	10141063	3	33	
43	10141064	3	34	
44	10141065	3	35	
45	10141066	3	30	
46	10141067	3	31	
47	10141068	3	32	
48	10141069	3	33	
49	10141070	3	34	
50	10141071	3	35	
51	10141072	3	22	
52	10141073	3	23	
53	10141074	3	23	
54	10141075	3	24	
55	10141076	3	25	
56	10141077	3	26	
57	10141078	3	27	
58	10141079	3	28	
59	10141080	3	29	
60	10141081	3	43	
61	10141082	3	43	
62	10141083	3	43	
63	10141084	3	44	
64	10141085	3	44	
65	10141086	3	44	
66	10141087	3	45	
67	10141088	3	45	
68	10141089	3	45	
69	10141090	3	46	
70	10141091	3	46	
71	10141092	3	46	
72	10141093	3	47	
73	10141094	3	47	
74	10141095	3	47	
75	10141102	3	48	
76	10141103	3	48	
77	10141104	3	48	
78	10141105	3	29	
79	10141106	3	26	
80	10141107	3	27	
81	10141108	3	33	
82	10141109	3	25	
83	10141110	3	22	
84	10141111	3	49	
85	10141112	3	49	
86	10141113	3	49	
87	10141114	3	49	
88	10141115	3	50	
89	10141116	3	50	
90	10141117	3	50	
91	10141118	3	50	
92	10141119	3	43	
93	10141120	3	48	
94	10141121	3	32	
95	10141122	3	51	
96	10141123	3	51	
97	10141124	3	51	
98	10141125	3	52	
99	10141126	3	52	
100	10141127	3	52	
101	10141128	3	53	
102	10141129	3	53	
103	10141130	3	53	
104	10141131	3	51	
105	10141132	3	52	
106	10141133	3	53	
107	10141134	3	43	
108	10141135	3	48	
109	10141136	3	54	
110	10141137	3	54	
111	10141138	3	54	
112	10141139	3	54	
113	10141140	3	55	
114	10141141	3	55	
115	10141142	3	55	
116	10141143	3	55	
117	10141144	3	50	
118	10141145	3	44	
119	10141146	3	56	
120	10141147	3	56	
121	10141148	3	56	
122	10141149	3	56	
123	10141151	3	31	
124	10141152	3	57	
125	10141153	3	57	
126	10141154	3	57	
127	10141155	3	57	
128	10141156	3	58	
129	10141157	3	58	
130	10141158	3	58	
131	10141159	3	58	
132	10141160	3	59	
133	10141161	3	59	
134	10141162	3	59	
135	10141163	3	59	
136	10141164	3	60	
137	10141165	3	60	
138	10141166	3	60	
139	10141167	3	60	
140	10141168	3	61	
141	10141169	3	61	
142	10141170	3	61	
143	10141171	3	61	
144	10141172	3	62	
145	10141173	3	62	
146	10141174	3	62	
147	10141175	3	62	
148	10141176	3	63	
149	10141177	3	63	
150	10141178	3	63	
151	10141179	3	63	
152	10141180	3	64	
153	10141181	3	64	
154	10141182	3	64	
155	10141183	3	64	
156	10141184	3	65	
157	10141185	3	65	
158	10141186	3	65	
159	10141187	3	65	
160	10141188	3	34	
161	10141189	3	66	
162	10141190	3	66	
163	10141191	3	66	
164	10141192	3	66	
165	10141193	3	25	
166	10141194	3	67	
167	10141195	3	67	
168	10141196	3	67	
169	10141197	3	67	
170	10141198	3	68	
171	10141199	3	68	
172	10141200	3	68	
173	10141201	3	68	
174	10141202	3	33	
175	10141203	3	25	
176	10141204	3	46	
177	10141205	3	44	
178	10141206	3	35	
179	10141207	3	35	
180	10141208	3	34	
181	10141209	3	54	
182	10141210	3	55	
183	10141211	3	56	
184	10141212	3	34	
185	10141213	3	70	
186	10141214	3	70	
187	10141215	3	70	
188	10141216	3	70	
189	10141217	3	71	
190	10141218	3	66	
191	10141225	3	28	
192	10141226	3	28	
193	10141227	3	75	
194	10141228	3	76	
195	10141229	3	76	
196	10141230	3	76	
197	10141231	3	77	
198	10141232	3	77	
199	10141233	3	77	
200	10141234	3	78	
201	10141235	3	78	
202	10141236	3	78	
203	10141237	3	78	
204	10141238	3	79	
205	10141239	3	79	
206	10141240	3	79	
207	10141241	3	79	
208	10141242	3	80	
209	10141243	3	80	
210	10141244	3	80	
211	10141245	3	80	
212	10141246	3	49	
213	10141247	3	32	
214	10141248	3	70	
215	10141249	3	32	
216	10141250	3	70	
217	10141251	3	54	
218	10141252	3	55	
219	10141253	3	53	
220	10141254	3	35	
221	10141255	3	46	
222	10141256	3	33	
223	10141257	3	29	
224	10141258	3	43	
225	10141259	3	56	
226	10141260	3	97	
227	10141261	3	97	
228	10141262	3	97	
229	10141263	3	97	
230	10141264	3	97	
231	10141265	3	97	
232	10141266	3	97	
233	10141267	3	97	
234	10141268	3	97	
235	10141269	3	97	
236	10141270	3	97	
237	10141271	3	97	
238	10141272	3	97	
239	10141273	3	97	
240	10141274	3	97	
241	10141275	3	97	
242	10141276	3	95	
243	10141277	3	95	
244	10141278	3	95	
245	10141279	3	95	
246	10141280	3	95	
247	10141281	3	95	
248	10141282	3	95	
249	10141283	3	95	
250	10141284	3	95	
251	10141285	3	95	
252	10141286	3	95	
253	10141287	3	95	
254	10141288	3	95	
255	10141289	3	95	
256	10141290	3	95	
257	10141291	3	95	
258	10141292	3	96	
259	10141293	3	96	
260	10141294	3	96	
261	10141295	3	96	
262	10141296	3	96	
263	10141297	3	96	
264	10141298	3	96	
265	10141299	3	96	
266	10141300	3	96	
267	10141301	3	96	
268	10141302	3	96	
269	10141303	3	96	
270	10141304	3	96	
271	10141305	3	96	
272	10141306	3	96	
273	10141307	3	96	
274	10141308	3	96	
275	10141789	3	90	
276	10141790	3	90	
277	10141791	3	90	
278	10141792	3	90	
279	10141793	3	90	
280	10141794	3	90	
281	10141795	3	90	
282	10141796	3	90	
283	10141797	3	90	
284	10141798	3	90	
285	10141799	3	90	
286	10141806	3	51	
287	10141807	3	84	
288	10141808	3	84	
289	10141809	3	84	
290	10141810	3	84	
291	10141811	3	84	
292	10141812	3	84	
293	10141813	3	84	
294	10141814	3	84	
295	10141815	3	84	
296	10141816	3	84	
297	10141817	3	84	
298	10141818	3	84	
299	10141819	3	84	
300	10141820	3	84	
301	10141821	3	84	
302	10141822	3	84	
303	10141823	3	83	
304	10141824	3	83	
305	10141825	3	83	
306	10141826	3	83	
307	10141827	3	83	
308	10141828	3	83	
309	10141829	3	83	
310	10141830	3	83	
311	10141831	3	83	
312	10141832	3	83	
313	10141833	3	83	
314	10141834	3	83	
315	10141835	3	83	
316	10141836	3	83	
317	10141837	3	83	
318	10141838	3	83	
319	10141839	3	86	
320	10141840	3	86	
321	10141841	3	86	
322	10141842	3	86	
323	10141843	3	86	
324	10141844	3	86	
325	10141845	3	86	
326	10141846	3	86	
327	10141847	3	86	
328	10141848	3	86	
329	10141849	3	86	
330	10141850	3	86	
331	10141851	3	86	
332	10141852	3	86	
333	10141853	3	86	
334	10141854	3	86	
335	10141855	3	50	
336	10141856	3	87	
337	10141857	3	87	
338	10141858	3	87	
339	10141859	3	87	
340	10141860	3	87	
341	10141861	3	87	
342	10141862	3	87	
343	10141863	3	87	
344	10141864	3	87	
345	10141865	3	87	
346	10141866	3	87	
347	10141867	3	87	
348	10141868	3	87	
349	10141869	3	87	
350	10141870	3	87	
351	10141871	3	87	
352	10141872	3	48	
353	10141873	3	52	
354	10141874	3	52	
355	10141875	3	52	
356	10141876	3	52	
357	10141877	3	52	
358	10141878	3	52	
359	10141879	3	52	
360	10141880	3	52	
361	10141881	3	85	
362	10141882	3	85	
363	10141883	3	85	
364	10141884	3	85	
365	10141885	3	85	
366	10141886	3	85	
367	10141887	3	85	
368	10141888	3	85	
369	10141889	3	85	
370	10141890	3	85	
371	10141891	3	85	
372	10141892	3	85	
373	10141893	3	85	
374	10141894	3	85	
375	10141895	3	85	
376	10141896	3	85	
377	10141897	3	33	
378	10141898	3	29	
379	10141899	3	88	
380	10141900	3	88	
381	10141901	3	88	
382	10141902	3	88	
383	10141903	3	88	
384	10141904	3	88	
385	10141905	3	88	
386	10141906	3	88	
387	10141907	3	88	
388	10141908	3	88	
389	10141909	3	88	
390	10141910	3	88	
391	10141911	3	88	
392	10141912	3	88	
393	10141913	3	88	
394	10141914	3	88	
395	10141915	3	81	
396	10141916	3	82	
397	10141918	3	48	
398	10141919	3	43	
399	10141920	3	56	
400	10141921	3	89	
401	10141922	3	89	
402	10141923	3	89	
403	10141924	3	89	
404	10141925	3	89	
405	10141926	3	89	
406	10141927	3	89	
407	10141928	3	89	
408	10141929	3	89	
409	10141930	3	89	
410	10141931	3	89	
411	10141932	3	89	
412	10141933	3	89	
413	10141934	3	89	
414	10141935	3	89	
415	10141936	3	89	
416	10141937	3	33	
417	10141938	3	91	
418	10141939	3	91	
419	10141940	3	91	
420	10141941	3	91	
421	10141942	3	91	
422	10141943	3	91	
423	10141944	3	91	
424	10141945	3	92	
425	10141946	3	91	
426	10141947	3	91	
427	10141948	3	91	
428	10141949	3	91	
429	10141950	3	91	
430	10141951	3	91	
431	10141952	3	91	
432	10141953	3	91	
433	10141954	3	93	
434	10141955	3	93	
435	10141956	3	93	
436	10141957	3	93	
437	10141958	3	93	
438	10141959	3	93	
439	10141960	3	93	
440	10141961	3	93	
441	10141962	3	93	
442	10141963	3	93	
443	10141964	3	93	
444	10141965	3	93	
445	10141966	3	93	
446	10141967	3	93	
447	10141968	3	93	
448	10141969	3	93	
449	10141970	3	94	
450	10141971	3	94	
451	10141972	3	94	
452	10141973	3	94	
453	10141974	3	94	
454	10141975	3	94	
455	10141976	3	94	
456	10141977	3	94	
457	10141978	3	94	
458	10141979	3	94	
459	10141980	3	94	
460	10141981	3	94	
461	10141982	3	94	
462	10141983	3	94	
463	10141984	3	94	
464	10141985	3	94	
465	10141986	3	87	
466	10141987	3	51	
467	10141988	3	32	
468	10141989	3	27	
469	10141325	3	98	
470	10141326	3	98	
471	10141327	3	98	
472	10141328	3	98	
473	10141329	3	98	
474	10141330	3	98	
475	10141331	3	98	
476	10141332	3	98	
477	10141333	3	98	
478	10141334	3	98	
479	10141335	3	98	
480	10141336	3	98	
481	10141337	3	98	
482	10141338	3	98	
483	10141339	3	98	
484	10141340	3	98	
485	10141990	3	32	
486	10141991	3	99	
487	10141992	3	99	
488	10141993	3	99	
489	10141994	3	99	
490	10141995	3	99	
491	10141996	3	99	
492	10141997	3	99	
493	10141998	3	99	
494	10141999	3	99	
495	10142000	3	99	
496	10142001	3	99	
497	10142002	3	99	
498	10142003	3	99	
499	10142004	3	99	
500	10142005	3	99	
501	10142006	3	99	
502	10142008	3	100	
503	10142009	3	100	
504	10142010	3	100	
505	10142011	3	100	
506	10142012	3	100	
507	10142013	3	100	
508	10142014	3	100	
509	10142015	3	100	
510	10142016	3	100	
511	10142017	3	100	
512	10142018	3	100	
513	10142019	3	100	
514	10142020	3	100	
515	10142021	3	100	
516	10142022	3	100	
517	10142023	3	100	
518	10142024	3	100	
519	10142025	3	100	
520	10142007	3	50	
521	10142026	3	101	
522	10142027	3	101	
523	10142028	3	101	
524	10142029	3	101	
525	10142030	3	101	
526	10142031	3	101	
527	10142032	3	101	
528	10142033	3	101	
529	10142034	3	101	
530	10142035	3	101	
531	10142036	3	101	
532	10142037	3	101	
533	10142038	3	101	
534	10142039	3	101	
535	10142040	3	101	
536	10142041	3	101	
537	10142042	3	27	
538	10142043	3	102	
539	10142044	3	102	
540	10142045	3	102	
541	10142046	3	102	
542	10142047	3	102	
543	10142048	3	102	
544	10142049	3	102	
545	10142050	3	102	
546	10142051	3	102	
547	10142052	3	102	
548	10142053	3	102	
549	10142054	3	102	
550	10142055	3	102	
551	10142056	3	102	
552	10142057	3	102	
553	10142058	3	102	
554	10142060	3	103	
555	10142061	3	103	
556	10142062	3	103	
557	10142063	3	103	
558	10142064	3	103	
559	10142065	3	103	
560	10142066	3	103	
561	10142067	3	103	
562	10142068	3	103	
563	10142069	3	103	
564	10142070	3	103	
565	10142071	3	103	
566	10142072	3	103	
567	10142073	3	103	
568	10142074	3	103	
569	10142075	3	103	
570	10142077	3	103	
571	10142078	3	103	
572	10142076	3	43	
573	10142079	3	32	
574	10142059	3	50	
575	10142080	3	104	
576	10142081	3	105	
577	10142082	3	106	
578	10142083	3	106	
579	10142084	3	106	
580	10142085	3	106	
581	10142102	3	107	
582	10142103	3	107	
583	10142104	3	107	
584	10142105	3	107	
585	10142106	3	107	
586	10142107	3	107	
587	10142108	3	107	
588	10142109	3	107	
589	10142110	3	107	
590	10142111	3	107	
591	10142112	3	107	
592	10142113	3	107	
593	10142114	3	107	
594	10142115	3	107	
595	10142116	3	107	
596	10142117	3	107	
597	10142118	3	108	
598	10142119	3	108	
599	10142120	3	108	
600	10142121	3	108	
601	10142122	3	108	
602	10142123	3	108	
603	10142124	3	108	
604	10142125	3	108	
605	10142126	3	108	
606	10142127	3	108	
607	10142128	3	108	
608	10142129	3	108	
609	10142130	3	108	
610	10142131	3	108	
611	10142132	3	108	
612	10142133	3	108	
613	10142086	3	109	
614	10142087	3	109	
615	10142088	3	109	
616	10142089	3	109	
617	10142090	3	109	
618	10142091	3	109	
619	10142092	3	109	
620	10142093	3	109	
621	10142094	3	109	
622	10142095	3	109	
623	10142096	3	109	
624	10142097	3	109	
625	10142098	3	109	
626	10142099	3	109	
627	10142100	3	109	
628	10142101	3	109	
629	10142182	3	113	
630	10142183	3	113	
631	10142184	3	113	
632	10142185	3	113	
633	10142186	3	113	
634	10142187	3	113	
635	10142188	3	113	
636	10142189	3	113	
637	10142190	3	113	
638	10142191	3	113	
639	10142192	3	113	
640	10142193	3	113	
641	10142194	3	113	
642	10142195	3	113	
643	10142196	3	113	
644	10142197	3	113	
645	10142134	3	110	
646	10142135	3	110	
647	10142136	3	110	
648	10142137	3	110	
649	10142138	3	110	
650	10142139	3	110	
651	10142140	3	110	
652	10142141	3	110	
653	10142142	3	110	
654	10142143	3	110	
655	10142144	3	110	
656	10142145	3	110	
657	10142146	3	110	
658	10142147	3	110	
659	10142148	3	110	
660	10142149	3	110	
661	10142150	3	111	
662	10142151	3	111	
663	10142152	3	111	
664	10142153	3	111	
665	10142154	3	111	
666	10142155	3	111	
667	10142156	3	111	
668	10142157	3	111	
669	10142158	3	111	
670	10142159	3	111	
671	10142160	3	111	
672	10142161	3	111	
673	10142162	3	111	
674	10142163	3	111	
675	10142164	3	111	
676	10142165	3	111	
677	10142166	3	112	
678	10142167	3	112	
679	10142168	3	112	
680	10142169	3	112	
681	10142170	3	112	
682	10142171	3	112	
683	10142172	3	112	
684	10142173	3	112	
685	10142174	3	112	
686	10142175	3	112	
687	10142176	3	112	
688	10142177	3	112	
689	10142178	3	112	
690	10142179	3	112	
691	10142180	3	112	
692	10142181	3	112	
693	10142198	3	110	
694	10142199	3	110	
695	10142200	3	111	
696	10142201	3	111	
697	10142202	3	112	
698	10142203	3	112	
699	10142204	3	114	
