INT	INT	INT	INT	INT	INT	INT	STRING
ExteriorID	女性发型ID	男性发型ID	预留ID	预留ID	预留ID	门派ID限定	拓展显示
1	1	100	1	1	1	-1	#G	
2	2	101	1	1	1	-1	#G	
3	3	102	1	1	1	-1	#G	
4	4	103	1	1	1	-1	#G	
5	5	104	1	1	1	-1	#G	
6	6	105	1	1	2	-1	#G	
7	7	106	1	1	3	-1	#G	
8	8	107	1	1	4	-1	#G	
9	9	108	1	1	5	-1	#G	
10	10	109	1	1	6	-1	#G	
11	11	110	1	1	7	-1	#G	
12	12	111	1	1	8	-1	#G	
13	13	112	1	1	9	-1	#G	
14	14	113	1	1	10	-1	#G	
15	15	114	1	1	11	-1	#G	
16	16	115	1	1	12	-1	#G	
17	17	116	1	1	13	-1	#G	
18	18	117	1	1	14	-1	#G	
19	19	118	1	1	15	-1	#G	
20	20	119	1	1	16	-1	#G	
21	22	121	1	1	17	-1	#G	
22	23	122	1	1	18	-1	#G	
23	24	123	1	1	19	-1	#G	
24	25	124	1	1	20	-1	#G	
25	26	125	1	1	21	-1	#G	
26	27	126	1	1	22	-1	#G	
27	28	127	1	1	23	-1	#G	
28	29	128	1	1	24	-1	#G	
29	30	129	1	1	25	-1	#G	
30	31	130	1	1	26	-1	#G	
31	32	131	1	1	27	-1	#G	
32	33	132	1	1	28	-1	#G	
33	34	133	1	1	29	-1	#G	
34	35	134	1	1	30	-1	#G	
35	36	135	1	1	31	-1	#G	
36	37	136	1	1	32	-1	#G	
37	38	137	1	1	33	-1	#G	
38	39	138	1	1	34	-1	#G	
39	40	139	1	1	35	-1	#G	
40	41	140	1	1	36	-1	#G	
41	42	141	1	1	37	-1	#G	
42	43	142	1	1	38	-1	#G	
43	44	143	1	1	39	-1	#G	
44	46	145	1	1	40	-1	#G	
45	45	144	1	1	41	-1	#G	
46	47	146	1	1	42	-1	#G	
47	48	147	1	1	43	-1	#G	
48	49	148	1	1	44	-1	#G	
49	50	149	1	1	45	-1	#G	
50	51	150	1	1	46	-1	#G	
51	52	151	1	1	47	-1	#G	
52	53	152	1	1	48	-1	#G	
53	54	153	1	1	49	-1	#G	
54	55	154	1	1	50	-1	#G	
55	56	155	1	1	51	-1	#G	
56	57	156	1	1	52	-1	#G	
57	58	157	1	1	53	-1	#G	
58	59	158	1	1	54	-1	#G	
59	60	159	1	1	55	-1	#G	
60	63	162	1	0	1	-1	#G	
61	62	161	1	1	56	-1	#G	
62	64	163	1	1	57	-1	#G	
63	65	164	1	0	58	-1	#G	
64	66	165	1	1	59	-1	#G	
65	67	166	1	1	60	-1	#G	
66	68	167	1	1	61	-1	#G	
67	69	168	1	1	62	-1	#G	
68	70	169	1	1	63	-1	#G	
69	71	170	1	1	64	-1	#G	
70	72	171	1	1	65	-1	#G	
71	73	172	1	1	66	-1	#G	
72	74	173	1	1	67	-1	#G	
73	75	174	1	1	68	-1	#G	
74	76	175	1	1	69	-1	#G	
75	77	176	1	1	70	-1	#G	
76	78	177	1	1	71	-1	#G	
77	79	178	1	1	72	-1	#G	
78	80	179	1	1	73	-1	#G	
79	81	180	1	1	74	-1	#G	
80	82	181	1	1	75	-1	#G	
81	83	182	1	1	76	-1	#G	
82	84	183	1	1	77	-1	#G	
83	85	184	1	1	78	-1	#G	
84	86	185	1	1	79	-1	#G	
85	87	186	1	1	80	-1	#G	
86	88	187	1	1	81	-1	#G	
