INT	INT	INT	INT	INT	INT	INT	STRING	STRING
ExteriorID	女性发型ID	男性发型ID	预留ID	预留ID	预留ID	门派ID限定	拓展显示	发型图名称
1	0	5	10	1	1	-1	#G	流云发型图	
2	1	6	10	1	2	-1	#G	游仙发型图	
3	2	7	10	1	3	-1	#G	流思发型图	
4	3	8	10	1	4	-1	#G	景瑶发型图	
5	4	9	10	1	5	-1	#G	叠羽发型图	
6	15	10	10	1	6	-1	#G	长忆发型图	
7	16	11	10	1	7	-1	#G	寰海发型图	
8	17	12	10	1	8	-1	#G	鬓华发型图	
9	18	13	10	1	9	-1	#G	洛玄发型图	
10	19	14	10	1	10	-1	#G	宝锦发型图	
11	20	30	10	1	11	-1	#G	妙风发型图	
12	21	31	10	1	12	-1	#G	辉月发型图	
13	22	32	10	1	13	-1	#G	天髻发型图	
14	23	33	10	1	14	-1	#G	凤髻发型图	
15	24	34	10	1	15	-1	#G	入云发型图	
16	25	35	10	1	16	-1	#G	云鬓发型图	
17	26	36	10	1	17	-1	#G	追思发型图	
18	27	37	10	1	18	-1	#G	行云发型图	
19	28	38	10	1	19	-1	#G	蝉翼发型图	
20	29	39	10	1	20	-1	#G	飞燕发型图	
21	40	44	10	1	21	-1	#G	凌云发型图	
22	41	45	10	1	22	-1	#G	夜行发型图	
23	42	46	10	1	23	-1	#G	飘雪发型图	
24	43	47	10	1	24	-1	#G	云髻发型图	
25	52	53	10	1	25	-1	#G	雪羽发型图	
26	48	49	10	1	26	-1	#G	明漪发型图	
27	50	51	10	1	27	-1	#G	仙侣发型图	
28	56	57	10	1	28	-1	#G	飞瀑发型图	
29	58	59	10	1	29	-1	#G	岚云发型图	
30	54	55	10	1	30	-1	#G	漓梦发型图	
31	60	61	10	1	31	-1	#G	枉纠发型图	
32	62	63	10	1	32	-1	#G	狂澜发型图	
33	65	64	10	1	33	-1	#G	幽帘发型图	
34	67	66	10	1	34	-1	#G	了尘发型图	
35	69	68	10	1	35	-1	#G	沁盘发型图	
36	71	73	10	1	36	-1	#G	如月发型图	
37	70	72	10	1	37	-1	#G	逸轻发型图	
38	76	75	10	1	38	-1	#G	英武发型图	
39	74	77	10	1	39	-1	#G	幽凉发型图	
40	78	79	10	1	40	-1	#G	云水发型图	
41	80	81	10	1	41	-1	#G	浚逸发型图	
42	82	83	10	1	42	-1	#G	连城发型图	
43	84	85	10	1	43	-1	#G	晓山重发型图	
44	88	89	10	1	44	-1	#G	天阙发型图	
45	90	91	10	1	45	-1	#G	鹿鸣发型图	
46	92	93	10	1	46	-1	#G	哞牛发型图	
47	94	95	10	1	47	-1	#G	萌鸡发型图	
48	96	97	10	1	48	-1	#G	疏影发型图	
49	98	99	10	1	49	-1	#G	山椿发型图	
50	100	101	10	1	50	-1	#G	星辉发型图	
51	102	103	10	1	51	-1	#G	煌羽发型图	
52	104	105	10	1	52	-1	#G	绒趣发型图	
53	106	107	10	1	53	-1	#G	披靡发型图	
54	108	109	10	1	54	-1	#G	情丝发型图	
55	110	111	10	1	55	-1	#G	向晚发型图	
56	112	113	10	1	56	-1	#G	天澜发型图	
57	114	115	10	1	57	-1	#G	长天发型图	
58	116	117	10	1	58	-1	#G	冰清发型图	
59	118	119	10	1	59	-1	#G	祝疆发型图	
60	120	121	10	1	60	-1	#G	月恋发型图	
61	122	123	10	1	61	-1	#G	文渊发型图	
62	124	125	10	1	62	-1	#G	丹绮发型图	
63	126	127	10	1	63	-1	#G	照霜发型图	
64	128	129	10	1	64	-1	#G	夜阑发型图	
65	130	131	10	1	65	-1	#G	炎阳发型图	
66	132	133	10	1	66	-1	#G	流彩发型图	
67	134	135	10	1	67	-1	#G	迷蝶发型图	
68	136	137	10	1	68	-1	#G	云海间发型图	
69	138	139	10	1	69	-1	#G	眷侣发型图	
70	140	141	10	1	70	-1	#G	长舞发型图	
71	142	143	10	1	71	-1	#G	金风发型图	
72	146	147	10	1	72	-1	#G	嘉盟发型图	
73	144	145	10	1	73	-1	#G	霜华发型图	
74	148	149	10	1	74	-1	#G	垂云发型图	
75	150	151	10	1	75	-1	#G	相知发型图	
76	152	153	10	1	76	-1	#G	聆月发型图	
77	154	155	10	1	77	-1	#G	追忆发型图	
78	158	159	10	1	78	-1	#G	迷梦发型图	
79	156	157	10	1	79	-1	#G	湘醉发型图	
80	160	161	10	1	80	-1	#G	铃鹿发型图	
81	162	163	10	1	81	-1	#G	烬灭发型图	
82	164	165	10	1	82	-1	#G	锦色发型图	
83	166	167	10	1	83	-1	#G	听晓发型图	
84	168	169	10	1	84	-1	#G	霞冠发型图	
85	170	171	10	1	85	-1	#G	余白发型图	
86	172	173	10	1	86	-1	#G	幽语发型图	
87	174	175	10	1	87	-1	#G	雪玉发型图	
88	176	177	10	1	88	-1	#G	藏云发型图	
89	178	179	10	1	89	-1	#G	酣梦发型图	
90	184	185	10	0	1	-1	#G	蒙面发型图	
91	182	183	10	1	90	-1	#G	瑚光发型图	
92	186	187	10	1	91	-1	#G	解愁发型图	
93	188	189	10	0	92	-1	#G	明昭发型图	
94	190	191	10	1	93	-1	#G	朔夜发型图	
95	192	193	10	1	94	-1	#G	落雨发型图	
96	194	195	10	1	95	-1	#G	婚冠发型图	
97	196	197	10	1	96	-1	#G	灵霞发型图	
98	198	199	10	1	97	-1	#G	霜鬓发型图	
99	200	201	10	1	98	-1	#G	竹影发型图	
100	202	203	10	1	99	-1	#G	重岳发型图	
101	204	205	10	1	100	-1	#G	波澜发型图	
102	206	207	10	1	101	-1	#G	离怨发型图	
103	208	209	10	1	102	-1	#G	拂晓发型图	
104	210	211	10	1	103	-1	#G	肉夹馍发型图	
105	212	213	10	1	104	-1	#G	染烛发型图	
106	214	215	10	1	105	-1	#G	银灯发型图	
107	216	217	10	1	106	-1	#G	缭乱发型图	
108	218	219	10	1	107	-1	#G	暖冬发型图	
109	220	221	10	1	108	-1	#G	淋雪发型图	
110	222	223	10	1	109	-1	#G	银砂发型图	
111	224	225	10	1	110	-1	#G	雪辉发型图	
112	226	227	10	1	111	-1	#G	曼珠发型图	
113	228	229	10	1	112	-1	#G	蛇影发型图	
114	230	231	10	1	113	-1	#G	不渝发型图	
115	232	233	10	1	114	-1	#G	故梦发型图	
116	234	235	10	1	115	-1	#G	斐然发型图	
117	236	237	10	1	116	-1	#G	照堂发型图	
118	238	239	10	1	117	-1	#G	登龙发型图	
119	240	241	10	1	118	-1	#G	蓬夏发型图	
120	242	243	10	1	119	-1	#G	朝暑发型图	
121	244	245	10	1	120	-1	#G	醉墨发型图	
122	246	247	10	1	121	-1	#G	泊风发型图	
123	248	249	10	1	122	-1	#G	噬天发型图	
124	250	251	10	1	123	-1	#G	夜话发型图	
125	252	253	10	1	124	-1	#G	奇梦发型图	
126	254	255	10	1	125	-1	#G	浮光发型图	
127	256	257	10	1	126	-1	#G	灵幻发型图	
128	258	259	10	1	127	-1	#G	清韵发型图	
