INT	INT	INT	INT	INT	INT	INT
ExteriorId	女性头像	男性头像	预留ID	预留ID	预留ID	门派ID
1	1	13	1	1	1	-1	
2	2	14	1	1	2	-1	
3	3	15	1	1	3	-1	
4	4	16	1	1	4	-1	
5	5	17	1	1	5	-1	
6	6	18	1	1	6	-1	
7	7	19	1	1	7	-1	
8	8	20	1	1	8	-1	
9	9	21	1	1	9	-1	
10	10	22	1	1	10	-1	
11	11	23	1	1	11	-1	
12	12	24	1	1	12	-1	
13	25	29	1	1	13	-1	
14	26	30	1	1	14	-1	
15	27	31	1	1	15	-1	
16	28	32	1	1	16	-1	
17	33	37	1	1	17	-1	
18	34	38	1	1	18	-1	
19	35	39	1	1	19	-1	
20	36	40	1	1	20	-1	
21	41	43	1	1	21	-1	
22	42	44	1	1	22	-1	
23	46	45	1	1	23	-1	
24	48	47	1	1	24	-1	
25	49	52	1	1	25	-1	
26	50	53	1	1	26	-1	
27	51	54	1	1	27	-1	
28	55	56	1	1	28	-1	
29	57	58	1	1	29	-1	
30	59	60	1	1	30	-1	
31	61	62	1	1	31	-1	
32	63	64	1	1	32	-1	
33	65	66	1	1	33	-1	
34	67	68	1	1	34	-1	
35	69	70	1	1	35	-1	
36	71	72	1	1	36	-1	
37	73	74	1	1	37	-1	
38	75	76	1	1	38	-1	
39	77	78	1	1	39	-1	
