INT	INT	INT	INT
Index	ItemID	ExteriorID	MenPaiLimited
1	38002608	1	-1
2	38002609	2	-1
3	38002610	3	-1
4	38002611	4	-1
5	38002612	5	-1
6	38002613	6	-1
7	38002614	7	-1
8	38002616	8	-1
9	38002615	9	-1
10	38002617	10	-1
11	38002618	11	-1
12	38002619	12	-1
13	38002620	13	-1
14	38002621	14	-1
15	38002626	15	-1
16	38002627	16	-1
17	38002628	17	-1
18	38002629	18	-1
19	38002630	19	-1
20	38002963	20	-1
23	38003019	23	-1
24	38003020	24	-1
25	38003021	25	-1
26	38003022	26	-1
27	38002994	27	-1
28	38003023	28	-1
29	38003024	29	-1
30	38003214	30	-1
31	38003215	31	-1
32	38003216	32	-1
33	38003217	33	-1
34	38003323	34	-1
35	38003322	35	-1
36	38003327	36	-1
37	38003377	37	-1
38	38003378	38	-1
39	38003448	39	-1
40	38003449	40	-1
41	38003450	41	-1
42	38003587	42	168
43	38003588	42	360
44	38003589	42	720
45	38003582	45	-1
46	38003604	46	-1
47	38003609	47	-1
48	38003663	48	-1
49	38003664	48	720
50	38003669	49	-1
51	38003670	50	-1
52	38003671	51	-1
53	38003672	52	-1
54	38003679	53	-1
55	38003680	54	-1
