INT	INT	INT	INT	INT
GemId	目标ID	消耗元宝	目标ID2	消耗元宝
50301001	50401001	1856	-1	-1
50301002	50401002	1856	-1	-1
50302001	50402001	1856	-1	-1
50302002	50402002	1856	-1	-1
50302003	50402003	1856	-1	-1
50302004	50402004	1856	-1	-1
50302005	50402005	2336	-1	-1
50302006	50402006	2336	-1	-1
50302007	50402007	2336	-1	-1
50302008	50402008	2336	-1	-1
50303001	50403001	1856	-1	-1
50304002	50404002	1856	-1	-1
50311001	50411001	1856	-1	-1
50311002	50411002	1856	-1	-1
50312001	50412001	1856	-1	-1
50312002	50412002	1856	-1	-1
50312003	50412003	1856	-1	-1
50312004	50412004	1856	-1	-1
50312005	50412005	2336	-1	-1
50312006	50412006	2336	-1	-1
50312007	50412007	2336	-1	-1
50312008	50412008	2336	-1	-1
50313001	50413001	1856	-1	-1
50313002	50413002	1856	-1	-1
50313003	50413003	1856	-1	-1
50313004	50413004	1856	-1	-1
50313005	50413005	1856	-1	-1
50313006	50413006	1936	-1	-1
50314001	50414001	1856	-1	-1
50321001	50421001	7056	-1	-1
50321002	50421002	7056	-1	-1
50321003	50421003	7056	-1	-1
50321004	50421004	7056	-1	-1
50321103	50421103	7154	-1	-1
50321203	50421203	7154	-1	-1
50321303	50421303	7154	-1	-1
50321403	50421403	7154	-1	-1
50401001	50501001	9128	-1	-1
50401002	50501002	9128	-1	-1
50402001	50502001	9128	-1	-1
50402002	50502002	9128	-1	-1
50402003	50502003	9128	-1	-1
50402004	50502004	9128	-1	-1
50402005	50502005	9928	-1	-1
50402006	50502006	9928	-1	-1
50402007	50502007	9928	-1	-1
50402008	50502008	9928	-1	-1
50403001	50503001	9128	-1	-1
50404002	50504002	9128	-1	-1
50411001	50511001	9128	-1	-1
50411002	50511002	9128	-1	-1
50412001	50512001	9128	-1	-1
50412002	50512002	9128	-1	-1
50412003	50512003	9128	-1	-1
50412004	50512004	9128	-1	-1
50412005	50512005	9928	-1	-1
50412006	50512006	9928	-1	-1
50412007	50512007	9928	-1	-1
50412008	50512008	9928	-1	-1
50413001	50513001	9128	-1	-1
50413002	50513002	9128	-1	-1
50413003	50513003	9128	-1	-1
50413004	50513004	9128	-1	-1
50413005	50513005	9128	-1	-1
50413006	50513006	9528	-1	-1
50414001	50514001	9128	-1	-1
50421001	50521001	29032	-1	-1
50421002	50521002	29032	-1	-1
50421003	50521003	29032	-1	-1
50421004	50521004	29032	-1	-1
50421103	50521103	29130	50421104	9068
50421104	50521104	29130	-1	-1
50421203	50521203	29130	50421204	9068
50421204	50521204	29130	-1	-1
50421303	50521303	29130	50421304	9068
50421304	50521304	29130	-1	-1
50421403	50521403	29130	50421404	9068
50421404	50521404	29130	-1	-1
50501001	50601001	45248	-1	-1
50501002	50601002	45248	-1	-1
50502001	50602001	45248	-1	-1
50502002	50602002	45248	-1	-1
50502003	50602003	45248	-1	-1
50502004	50602004	45248	-1	-1
50502005	50602005	46688	-1	-1
50502006	50602006	46688	-1	-1
50502007	50602007	46688	-1	-1
50502008	50602008	46688	-1	-1
50503001	50603001	45248	-1	-1
50504002	50604002	45248	-1	-1
50511001	50611001	45248	-1	-1
50511002	50611002	45248	-1	-1
50512001	50612001	45248	-1	-1
50512002	50612002	45248	-1	-1
50512003	50612003	45248	-1	-1
50512004	50612004	45248	-1	-1
50512005	50612005	46688	-1	-1
50512006	50612006	46688	-1	-1
50512007	50612007	46688	-1	-1
50512008	50612008	46688	-1	-1
50513001	50613001	45248	-1	-1
50513002	50613002	45248	-1	-1
50513003	50613003	45248	-1	-1
50513004	50613004	45248	-1	-1
50513005	50613005	45248	-1	-1
50513006	50613006	47248	-1	-1
50514001	50614001	45248	-1	-1
50521001	50621001	139072	-1	-1
50521002	50621002	139072	-1	-1
50521003	50621003	139072	-1	-1
50521004	50621004	139072	-1	-1
50521103	50621103	139170	50521104	9388
50521104	50621104	139170	50521105	39596
50521105	50621105	139170	-1	-1
50521203	50621203	139170	50521204	9388
50521204	50621204	139170	50521205	39596
50521205	50621205	139170	-1	-1
50521303	50621303	139170	50521304	9388
50521304	50621304	139170	50521305	39596
50521305	50621305	139170	-1	-1
50521403	50621403	139170	50521404	9388
50521404	50621404	139170	50521405	39596
50521405	50621405	139170	-1	-1
50601001	50701001	192996	-1	-1
50601002	50701002	192996	-1	-1
50602001	50702001	192996	-1	-1
50602002	50702002	192996	-1	-1
50602003	50702003	192996	-1	-1
50602004	50702004	192996	-1	-1
50602005	50702005	195396	-1	-1
50602006	50702006	195396	-1	-1
50602007	50702007	195396	-1	-1
50602008	50702008	195396	-1	-1
50603001	50703001	192996	-1	-1
50604002	50704002	192996	-1	-1
50611001	50711001	192996	-1	-1
50611002	50711002	192996	-1	-1
50612001	50712001	192996	-1	-1
50612002	50712002	192996	-1	-1
50612003	50712003	192996	-1	-1
50612004	50712004	192996	-1	-1
50612005	50712005	195396	-1	-1
50612006	50712006	195396	-1	-1
50612007	50712007	195396	-1	-1
50612008	50712008	195396	-1	-1
50613001	50713001	192996	-1	-1
50613002	50713002	192996	-1	-1
50613003	50713003	192996	-1	-1
50613004	50713004	192996	-1	-1
50613005	50713005	192996	-1	-1
50613006	50713006	200996	-1	-1
50614001	50714001	192996	-1	-1
50621001	50721001	584996	-1	-1
50621002	50721002	584996	-1	-1
50621003	50721003	584996	-1	-1
50621004	50721004	584996	-1	-1
50621103	50721103	585094	50621104	9488
50621104	50721104	585094	50621105	39696
50621105	50721105	585094	50621106	185456
50621106	50721106	585094	-1	-1
50621203	50721203	585094	50621204	9488
50621204	50721204	585094	50621205	39696
50621205	50721205	585094	50621206	185456
50621206	50721206	585094	-1	-1
50621303	50721303	585094	50621304	9488
50621304	50721304	585094	50621305	39696
50621305	50721305	585094	50621306	185456
50621306	50721306	585094	-1	-1
50621403	50721403	585094	50621404	9488
50621404	50721404	585094	50621405	39696
50621405	50721405	585094	50621406	185456
50621406	50721406	585094	-1	-1
50701001	50801001	722492	-1	-1
50701002	50801002	722492	-1	-1
50702001	50802001	722492	-1	-1
50702002	50802002	722492	-1	-1
50702003	50802003	722492	-1	-1
50702004	50802004	722492	-1	-1
50702005	50802005	725252	-1	-1
50702006	50802006	725252	-1	-1
50702007	50802007	725252	-1	-1
50702008	50802008	725252	-1	-1
50703001	50803001	722492	-1	-1
50704002	50804002	722492	-1	-1
50711001	50811001	722492	-1	-1
50711002	50811002	722492	-1	-1
50712001	50812001	722492	-1	-1
50712002	50812002	722492	-1	-1
50712003	50812003	722492	-1	-1
50712004	50812004	722492	-1	-1
50712005	50812005	725252	-1	-1
50712006	50812006	725252	-1	-1
50712007	50812007	725252	-1	-1
50712008	50812008	725252	-1	-1
50713001	50813001	722492	-1	-1
50713002	50813002	722492	-1	-1
50713003	50813003	722492	-1	-1
50713004	50813004	722492	-1	-1
50713005	50813005	722492	-1	-1
50713006	50813006	752492	-1	-1
50714001	50814001	722492	-1	-1
50721001	50821001	2173760	-1	-1
50721002	50821002	2173760	-1	-1
50721003	50821003	2173760	-1	-1
50721004	50821004	2173760	-1	-1
50721103	50821103	2173858	50721104	9588
50721104	50821104	2173858	50721105	39796
50721105	50821105	2173858	50721106	185556
50721106	50821106	2173858	50721107	536590
50721107	50821107	2173858	-1	-1
50721203	50821203	2173858	50721204	9588
50721204	50821204	2173858	50721205	39796
50721205	50821205	2173858	50721206	185556
50721206	50821206	2173858	50721207	536590
50721207	50821207	2173858	-1	-1
50721303	50821303	2173858	50721304	9588
50721304	50821304	2173858	50721305	39796
50721305	50821305	2173858	50721306	185556
50721306	50821306	2173858	50721307	536590
50721307	50821307	2173858	-1	-1
50721403	50821403	2173858	50721404	9588
50721404	50821404	2173858	50721405	39796
50721405	50821405	2173858	50721406	185556
50721406	50821406	2173858	50721407	536590
50721407	50821407	2173858	-1	-1
50821103	-1	-1	50821104	9688
50821104	-1	-1	50821105	39896
50821105	-1	-1	50821106	185656
50821106	-1	-1	50821107	536690
50821107	-1	-1	50821108	2174558
50821203	-1	-1	50821204	9688
50821204	-1	-1	50821205	39896
50821205	-1	-1	50821206	185656
50821206	-1	-1	50821207	536690
50821207	-1	-1	50821208	2174558
50821303	-1	-1	50821304	9688
50821304	-1	-1	50821305	39896
50821305	-1	-1	50821306	185656
50821306	-1	-1	50821307	536690
50821307	-1	-1	50821308	2174558
50821403	-1	-1	50821404	9688
50821404	-1	-1	50821405	39896
50821405	-1	-1	50821406	185656
50821406	-1	-1	50821407	536690
50821407	-1	-1	50821408	2174558
