INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
编号	名称$1$	对应模型	对应生活技能ID	对应任务ID	Tips默认$1$	打开时间默认	脚本ID	打开动画
1	铜矿	草药矿石/铜矿石.obj	7	0		0	710000	0	
2	铁矿	草药矿石/铁矿石.obj	7	0		0	710000	0	
3	银矿	草药矿石/银矿石.obj	7	0		0	710000	0	
4	寒铁矿	草药矿石/寒铁矿石.obj	7	0		0	710000	0	
5	金矿	草药矿石/金矿石.obj	7	0		0	710000	0	
6	玄铁矿	草药矿石/玄铁矿石.obj	7	0		0	710000	0	
7	水晶矿	草药矿石/水晶矿石.obj	7	0		0	710000	0	
8	翡翠矿	草药矿石/翡翠矿石.obj	7	0		0	710000	0	
9	真武矿	草药矿石/真武矿石.obj	7	0		0	710000	0	
10	龙血矿	草药矿石/龙血矿石.obj	7	0		0	710000	0	
11	凤血矿	草药矿石/凤血矿石.obj	7	0		0	710000	0	
12	女娲石	草药矿石/女娲石.obj	7	0		0	710000	0	
13	昆山矿玉	草药矿石/昆山矿玉.obj	7	0		0	710000	0	
14	众生矿石	草药矿石/众生矿石.obj	7	0		0	710000	0	
31	种植牌	0物品/铁幌子.mesh	11	0		0	711003	0	
32	小麦	0灌木/小灌1.mesh	-1	0		0	711004	0	
33	小麦熟	0灌木/大灌1.mesh	11	0		0	711005	0	
34	出鬼水缸	0物品/水缸1.mesh	12	0		0	713000	0	
35	鱼群	小动物/鱼群02.mesh	10	0		0	712000	0	
36	藏宝点	0物品/水缸1.mesh	13	0		0	713000	0	
49	白狼大王宝箱	0物品/镖箱.mesh	26	0		0	715000	0	
50	烽火台	0物品/镖箱.mesh	26	0		0	715001	0	
51	六品叶人参	长白山/人参2.mesh	26	0		0	715002	0	
93	散落的柴火	师门任务/木柴.obj	26	0		0	715007	0	
94	散落的蘑菇	师门任务/蘑菇.obj	26	0		0	715008	0	
95	散落的松果	师门任务/松果.obj	26	0		0	715009	0	
96	满月	师门任务/满月.obj	26	0		0	715003	0	
97	眼儿媚	师门任务/眼儿媚.obj	26	0		0	715004	0	
98	红妆素裹	师门任务/红妆素裹.obj	26	0		0	715005	0	
99	抓破美人脸	0物品/仙莲子.mesh	26	0		0	715006	0	
101	白英	草药矿石/红花.obj	8	0		0	710000	0	
102	蒲黄	草药矿石/青叶.obj	8	0		0	710000	0	
103	川贝	草药矿石/川贝.obj	8	0		0	710000	0	
104	元胡	草药矿石/元胡.obj	8	0		0	710000	0	
105	枇杷	草药矿石/枇杷.obj	8	0		0	710000	0	
106	甘草	草药矿石/甘草.obj	8	0		0	710000	0	
107	金银花	草药矿石/枸杞子.obj	8	0		0	710000	0	
108	黃芩	草药矿石/黃芩.obj	8	0		0	710000	0	
109	枸杞	草药矿石/枸杞子.obj	8	0		0	710000	0	
110	沉香	草药矿石/枇杷.obj	8	0		0	710000	0	
111	杜仲	草药矿石/杜仲.obj	8	0		0	710000	0	
112	苍术	草药矿石/苍术.obj	8	0		0	710000	0	
113	茯苓	草药矿石/茯苓.obj	8	0		0	710000	0	
114	防风	草药矿石/防风.obj	8	0		0	710000	0	
115	香薷	草药矿石/香薷.obj	8	0		0	710000	0	
116	黄连	草药矿石/元胡.obj	8	0		0	710000	0	
117	当归	草药矿石/青叶.obj	8	0		0	710000	0	
118	桂心	草药矿石/双花.obj	8	0		0	710000	0	
119	香附	草药矿石/桅子.obj	8	0		0	710000	0	
120	藿香	草药矿石/苍术.obj	8	0		0	710000	0	
121	回神草	草药矿石/香薷.obj	8	0		0	710000	0	
122	首乌	草药矿石/元胡.obj	8	0		0	710000	0	
123	冬虫夏草	草药矿石/红花.obj	8	0		0	710000	0	
124	龙葵籽	草药矿石/黃芩.obj	8	0		0	710000	0	
125	象贝	草药矿石/枇杷.obj	8	0		0	710000	0	
126	人参	草药矿石/川贝.obj	8	0		0	710000	0	
127	灵芝	草药矿石/防风.obj	8	0		0	710000	0	
128	荀草	草药矿石/茯苓.obj	8	0		0	710000	0	
129	莲子	草药矿石/甘草.obj	8	0		0	710000	0	
130	枯木春	草药矿石/枸杞子.obj	8	0		0	710000	0	
201	草鱼	小动物/鱼群03.model	9	0		0	712000	0	
202	鲫鱼	小动物/鱼群03.model	9	0		0	712000	0	
203	鲢鱼	小动物/鱼群03.model	9	0		0	712000	0	
204	平鱼	小动物/鱼群03.model	9	0		0	712000	0	
205	鳝鱼	小动物/鱼群03.model	9	0		0	712000	0	
206	黑鱼	小动物/鱼群03.model	9	0		0	712000	0	
207	斗鱼	小动物/鱼群03.model	9	0		0	712000	0	
208	鲳鱼	小动物/鱼群03.model	9	0		0	712000	0	
209	银鱼	小动物/鱼群03.model	9	0		0	712000	0	
210	鲑鱼	小动物/鱼群03.model	9	0		0	712000	0	
211	骨舌鱼	小动物/鱼群03.model	9	0		0	712000	0	
212	六线鱼	小动物/鱼群03.model	9	0		0	712000	0	
213	青鱼	小动物/鱼群04.model	9	0		0	712000	0	
214	箭鱼	小动物/鱼群04.model	9	0		0	712000	0	
215	鲈鱼	小动物/鱼群04.model	9	0		0	712000	0	
216	扁头鱼	小动物/鱼群04.model	9	0		0	712000	0	
217	油力鱼	小动物/鱼群04.model	9	0		0	712000	0	
218	秋刀鱼	小动物/鱼群04.model	9	0		0	712000	0	
219	梭鱼	小动物/鱼群04.model	9	0		0	712000	0	
220	光背鱼	小动物/鱼群04.model	9	0		0	712000	0	
221	钩鱼	小动物/鱼群04.model	9	0		0	712000	0	
222	摆鳍鱼	小动物/鱼群04.model	9	0		0	712000	0	
223	珍珠鱼	小动物/鱼群04.model	9	0		0	712000	0	
224	文昌鱼	小动物/鱼群04.model	9	0		0	712000	0	
225	草鱼	小动物/鱼群01.model	9	0		0	712000	0	
226	鲫鱼	小动物/鱼群01.model	9	0		0	712000	0	
227	鲢鱼	小动物/鱼群01.model	9	0		0	712000	0	
228	平鱼	小动物/鱼群01.model	9	0		0	712000	0	
229	鳝鱼	小动物/鱼群01.model	9	0		0	712000	0	
230	黑鱼	小动物/鱼群01.model	9	0		0	712000	0	
231	斗鱼	小动物/鱼群01.model	9	0		0	712000	0	
232	鲳鱼	小动物/鱼群01.model	9	0		0	712000	0	
233	银鱼	小动物/鱼群01.model	9	0		0	712000	0	
234	鲑鱼	小动物/鱼群01.model	9	0		0	712000	0	
235	骨舌鱼	小动物/鱼群01.model	9	0		0	712000	0	
236	六线鱼	小动物/鱼群01.model	9	0		0	712000	0	
237	青鱼	小动物/鱼群02.model	9	0		0	712000	0	
238	箭鱼	小动物/鱼群02.model	9	0		0	712000	0	
239	鲈鱼	小动物/鱼群02.model	9	0		0	712000	0	
240	扁头鱼	小动物/鱼群02.model	9	0		0	712000	0	
241	油力鱼	小动物/鱼群02.model	9	0		0	712000	0	
242	秋刀鱼	小动物/鱼群02.model	9	0		0	712000	0	
243	梭鱼	小动物/鱼群02.model	9	0		0	712000	0	
244	光背鱼	小动物/鱼群02.model	9	0		0	712000	0	
245	钩鱼	小动物/鱼群02.model	9	0		0	712000	0	
246	摆鳍鱼	小动物/鱼群02.model	9	0		0	712000	0	
247	珍珠鱼	小动物/鱼群02.model	9	0		0	712000	0	
248	文昌鱼	小动物/鱼群02.model	9	0		0	712000	0	
249	胭脂鱼	小动物/鱼群02.model	9	0		0	712000	0	
250	七星鱼	小动物/鱼群01.model	9	0		0	712000	0	
251	长吻鱼	小动物/鱼群01.model	9	0		0	712000	0	
252	多鳍鱼	小动物/鱼群01.model	9	0		0	712000	0	
253	翘嘴红鮊	小动物/鱼群02.model	9	0		0	712000	0	
254	秋白鲑	小动物/鱼群01.model	9	0		0	712000	0	
255	蝶鳍鱼	小动物/鱼群01.model	9	0		0	712000	0	
256	文鳐鱼	小动物/鱼群01.model	9	0		0	712000	0	
501	早产小麦（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
502	早产小麦（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
503	早产小麦	种植/小麦大.mesh	10	0		0	711002	0	
504	早产大米（幼苗）	种植/大米小.mesh	-1	0		0	711000	0	
505	早产大米（生长中）	种植/大米中.mesh	-1	0		0	711001	0	
506	早产大米	种植/大米大.mesh	10	0		0	711002	0	
507	早产玉米（幼苗）	种植/种植玉米小.mesh	-1	0		0	711000	0	
508	早产玉米（生长中）	种植/种植玉米中.mesh	-1	0		0	711001	0	
509	早产玉米	种植/种植玉米大.mesh	10	0		0	711002	0	
510	早产花生（幼苗）	种植/花生小.mesh	-1	0		0	711000	0	
511	早产花生（生长中）	种植/花生中.mesh	-1	0		0	711001	0	
512	早产花生	种植/花生大.mesh	10	0		0	711002	0	
513	早产红薯（幼苗）	种植/红薯小.mesh	-1	0		0	711000	0	
514	早产红薯（生长中）	种植/红薯中.mesh	-1	0		0	711001	0	
515	早产红薯	种植/红薯大.mesh	10	0		0	711002	0	
516	早产高粱（幼苗）	种植/高粱小.mesh	-1	0		0	711000	0	
517	早产高粱（生长中）	种植/高粱中.mesh	-1	0		0	711001	0	
518	早产高粱	种植/高粱大.mesh	10	0		0	711002	0	
519	早产芝麻（幼苗）	种植/芝麻小.mesh	-1	0		0	711000	0	
520	早产芝麻（生长中）	种植/芝麻中.mesh	-1	0		0	711001	0	
521	早产芝麻	种植/芝麻大.mesh	10	0		0	711002	0	
522	早产绿豆（幼苗）	种植/绿豆小.mesh	-1	0		0	711000	0	
523	早产绿豆（生长中）	种植/绿豆中.mesh	-1	0		0	711001	0	
524	早产绿豆	种植/绿豆大.mesh	10	0		0	711002	0	
525	早产黄豆（幼苗）	种植/黄豆小.mesh	-1	0		0	711000	0	
526	早产黄豆（生长中）	种植/黄豆中.mesh	-1	0		0	711001	0	
527	早产黄豆	种植/黄豆大.mesh	10	0		0	711002	0	
528	早产蚕豆（幼苗）	种植/蚕豆小.mesh	-1	0		0	711000	0	
529	早产蚕豆（生长中）	种植/蚕豆中.mesh	-1	0		0	711001	0	
530	早产蚕豆	种植/蚕豆大.mesh	10	0		0	711002	0	
531	早产马铃薯（幼苗）	种植/土豆小.mesh	-1	0		0	711000	0	
532	早产马铃薯（生长中）	种植/土豆中.mesh	-1	0		0	711001	0	
533	早产马铃薯	种植/土豆大.mesh	10	0		0	711002	0	
534	早产芋头（幼苗）	种植/芋头小.mesh	-1	0		0	711000	0	
535	早产芋头（生长中）	种植/芋头中.mesh	-1	0		0	711001	0	
536	早产芋头	种植/芋头大.mesh	10	0		0	711002	0	
537	早产苎麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
538	早产苎麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
539	早产苎麻	种植/小麦大.mesh	10	0		0	711002	0	
540	早产草棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
541	早产草棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
542	早产草棉	种植/小麦大.mesh	10	0		0	711002	0	
543	早产亚麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
544	早产亚麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
545	早产亚麻	种植/小麦大.mesh	10	0		0	711002	0	
546	早产木棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
547	早产木棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
548	早产木棉	种植/小麦大.mesh	10	0		0	711002	0	
549	早产黄麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
550	早产黄麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
551	早产黄麻	种植/小麦大.mesh	10	0		0	711002	0	
552	早产云棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
553	早产云棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
554	早产云棉	种植/小麦大.mesh	10	0		0	711002	0	
555	早产槿麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
556	早产槿麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
557	早产槿麻	种植/小麦大.mesh	10	0		0	711002	0	
558	早产绒棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
559	早产绒棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
560	早产绒棉	种植/小麦大.mesh	10	0		0	711002	0	
561	早产青麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
562	早产青麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
563	早产青麻	种植/小麦大.mesh	10	0		0	711002	0	
564	早产彩棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
565	早产彩棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
566	早产彩棉	种植/小麦大.mesh	10	0		0	711002	0	
567	早产罗布麻（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
568	早产罗布麻（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
569	早产罗布麻	种植/小麦大.mesh	10	0		0	711002	0	
570	早产陆地棉（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
571	早产陆地棉（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
572	早产陆地棉	种植/小麦大.mesh	10	0		0	711002	0	
573	散落的宝物	师门任务/宝箱.mesh	26	0		0	712501	0	
574	小青蛇	任务蛇1.obj	26	0		0	715010	0	
575	小白蛇	任务蛇2.obj	26	0		0	715011	0	
576	小红蛇	任务蛇3.obj	26	0		0	715012	0	
577	宋军记号	师门任务/箱.obj	26	0		0	715013	0	
578	波斯记号	师门任务/瓶子4.obj	26	0		0	715014	0	
579	辽国记号	师门任务/米筐.obj	26	0		0	715015	0	
580	武当灵芝	师门任务/灵芝.obj	26	0		0	715016	0	
581	武当首乌	师门任务/何首乌.obj	26	0		0	715017	0	
582	武当人参	师门任务/人参2.obj	26	0		0	715018	0	
583	逍遥木制零件	师门任务/傀儡中央模组.obj	26	0		0	715019	0	
584	逍遥石制零件	师门任务/傀儡数据存储器.obj	26	0		0	715020	0	
585	逍遥铜制零件	师门任务/傀儡磁盘驱动器.obj	26	0		0	715021	0	
586	小黄猴	任务猴子1.obj	26	0		0	715022	0	
587	小黑猴	任务猴子2.obj	26	0		0	715023	0	
588	小白猴	任务猴子3.obj	26	0		0	715024	0	
589	毒蜈蚣	任务蜈蚣.obj	26	0		0	715025	0	
590	毒蟾蜍	任务蟾蜍.obj	26	0		0	715026	0	
591	毒蜘蛛	任务蜘蛛.obj	26	0		0	715027	0	
592	葡萄干	师门任务/葡萄干.obj	26	0		0	715028	0	
593	雪莲花	师门任务/雪莲花.obj	26	0		0	715029	0	
594	哈密瓜	师门任务/哈密瓜.obj	26	0		0	715030	0	
595	宝箱	师门任务/宝箱.mesh	26	0		0	715031	0	
596	散落的宝物	师门任务/宝箱.mesh	26	0		0	712502	0	
597	散落的宝物	师门任务/宝箱.mesh	26	0		0	712503	0	
598	散落的宝物	师门任务/宝箱.mesh	26	0		0	712504	0	
599	散落的宝物	师门任务/宝箱.mesh	26	0		0	712505	0	
600	散落的宝物	师门任务/宝箱.mesh	26	0		0	712506	0	
601	散落的宝物	师门任务/宝箱.mesh	26	0		0	712507	0	
602	散落的宝物	师门任务/宝箱.mesh	26	0		0	712508	0	
603	散落的宝物	师门任务/宝箱.mesh	26	0		0	712509	0	
604	散落的宝物	师门任务/宝箱.mesh	26	0		0	712510	0	
605	散落的宝物	师门任务/宝箱.mesh	26	0		0	712511	0	
606	散落的宝物	师门任务/宝箱.mesh	26	0		0	712512	0	
607	散落的宝物	师门任务/宝箱.mesh	26	0		0	712513	0	
608	散落的宝物	师门任务/宝箱.mesh	26	0		0	712514	0	
609	散落的宝物	师门任务/宝箱.mesh	26	0		0	712515	0	
610	散落的宝物	师门任务/宝箱.mesh	26	0		0	712516	0	
611	散落的宝物	师门任务/宝箱.mesh	26	0		0	712517	0	
612	散落的宝物	师门任务/宝箱.mesh	26	0		0	712518	0	
613	散落的宝物	师门任务/宝箱.mesh	26	0		0	712519	0	
614	散落的宝物	师门任务/宝箱.mesh	26	0		0	712520	0	
615	散落的宝物	师门任务/宝箱.mesh	26	0		0	712521	0	
616	散落的宝物	师门任务/宝箱.mesh	26	0		0	712522	0	
617	散落的宝物	师门任务/宝箱.mesh	26	0		0	712523	0	
618	散落的宝物	师门任务/宝箱.mesh	26	0		0	712524	0	
619	散落的宝物	师门任务/宝箱.mesh	26	0		0	712525	0	
620	散落的宝物	师门任务/宝箱.mesh	26	0		0	712528	0	
621	散落的宝物	师门任务/宝箱.mesh	26	0		0	712529	0	
622	散落的宝物	师门任务/宝箱.mesh	26	0		0	712530	0	
623	散落的宝物	师门任务/宝箱.mesh	26	0		0	712531	0	
624	散落的宝物	师门任务/宝箱.mesh	26	0		0	712532	0	
625	散落的宝物	师门任务/宝箱.mesh	26	0		0	712533	0	
701	晚产小麦（幼苗）	种植/小麦小.mesh	-1	0		0	711000	0	
702	晚产小麦（生长中）	种植/小麦中.mesh	-1	0		0	711001	0	
703	晚产小麦	种植/小麦大.mesh	10	0		0	711002	0	
704	晚产大米（幼苗）	种植/大米小.mesh	-1	0		0	711000	0	
705	晚产大米（生长中）	种植/大米中.mesh	-1	0		0	711001	0	
706	晚产大米	种植/大米大.mesh	10	0		0	711002	0	
707	晚产玉米（幼苗）	种植/种植玉米小.mesh	-1	0		0	711000	0	
708	晚产玉米（生长中）	种植/种植玉米中.mesh	-1	0		0	711001	0	
709	晚产玉米	种植/种植玉米大.mesh	10	0		0	711002	0	
710	晚产花生（幼苗）	种植/花生小.mesh	-1	0		0	711000	0	
711	晚产花生（生长中）	种植/花生中.mesh	-1	0		0	711001	0	
712	晚产花生	种植/花生大.mesh	10	0		0	711002	0	
713	晚产红薯（幼苗）	种植/红薯小.mesh	-1	0		0	711000	0	
714	晚产红薯（生长中）	种植/红薯中.mesh	-1	0		0	711001	0	
715	晚产红薯	种植/红薯大.mesh	10	0		0	711002	0	
716	晚产高粱（幼苗）	种植/高粱小.mesh	-1	0		0	711000	0	
717	晚产高粱（生长中）	种植/高粱中.mesh	-1	0		0	711001	0	
718	晚产高粱	种植/高粱大.mesh	10	0		0	711002	0	
719	晚产芝麻（幼苗）	种植/芝麻小.mesh	-1	0		0	711000	0	
720	晚产芝麻（生长中）	种植/芝麻中.mesh	-1	0		0	711001	0	
721	晚产芝麻	种植/芝麻大.mesh	10	0		0	711002	0	
722	晚产绿豆（幼苗）	种植/绿豆小.mesh	-1	0		0	711000	0	
723	晚产绿豆（生长中）	种植/绿豆中.mesh	-1	0		0	711001	0	
724	晚产绿豆	种植/绿豆大.mesh	10	0		0	711002	0	
725	晚产黄豆（幼苗）	种植/黄豆小.mesh	-1	0		0	711000	0	
726	晚产黄豆（生长中）	种植/黄豆中.mesh	-1	0		0	711001	0	
727	晚产黄豆	种植/黄豆大.mesh	10	0		0	711002	0	
728	晚产蚕豆（幼苗）	种植/蚕豆小.mesh	-1	0		0	711000	0	
