INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	FLOAT	FLOAT
null	nIndex	Day	DayIndex	Desc	TargetNum	BounsNum	Isspecial	Image1	Image2	nType	param0	param1	param2
1	0	0	0	添加1个好友	1	3	0	Expression_double	Expression_double_15	0	0	0	0
2	1	0	1	完成1次幸运快活三	1	3	0	Huodong_4	Huodong_4_6	2	1	130	230
3	2	0	2	在帮会频道发言1次	1	5	0	Charm5	Charm5_9	0	1	0	0
4	3	1	0	装备1件时装	1	4	0	Cloth18	Cloth18_9	0	2	0	0
5	4	1	1	完成1次校场切磋	1	6	0	CircularTaskTool13	CircularTaskTool13_1	2	0	100	170
6	5	1	2	装备1把神器	1	6	0	CircularTaskTool82	CircularTaskTool82_15	0	3	0	0
7	6	2	0	添加5个好友	5	8	0	Expression_double	Expression_double_15	0	0	0	0
8	7	2	1	完成1次苏州百变脸谱	1	3	0	Buff5	Buff5_9	2	1	168	168
9	8	2	2	完成1次如下任意帮会任务：国防任务、工程任务、市集任务、科技任务、发展任务、扩张任务	1	10	0	CircularTaskTool22	CircularTaskTool22_2	2	0	140	95
10	9	3	0	进行1次时装染色	1	12	0	MakeMaterial15	MakeMaterial15_15	2	0	246	129
11	10	3	1	参加1次科举	1	10	0	Huodong_8	Huodong_8_16	2	2	50	152
12	11	3	2	在主城领取1次双倍经验	1	5	0	Cloth3	Cloth3_1	2	2	182	141
13	12	4	0	击败1次如下任意副本的最终BOSS：剿匪、熔岩之地、讨伐燕子坞、杀星、初战缥缈峰、挑战缥缈峰	1	10	0	SalaryMission	SalaryMission_6	0	4	0	0
14	13	4	1	击败1次如下任意副本的最终BOSS：棋局、楼兰寻宝、贼兵入侵、偷袭门派、藏经阁	1	10	0	SalaryMission	SalaryMission_11	0	5	0	0
15	14	4	2	制作1件装备	1	8	0	CircularTaskTool70	CircularTaskTool70_14	0	6	0	0
16	15	5	0	在线时间达到半小时	30	4	0	Expression2	Expression2_3	0	7	0	0
17	16	5	1	完成1次跑商	1	12	0	Huodong	Huodong_2	0	8	0	0
18	17	5	2	进入1次寒玉谷	1	5	0	CommonLiveSkill2	CommonLiveSkill2_5	2	1	178	129
19	18	6	0	完成1次组队珍兽繁殖	1	15	0	Charm6	Charm6_16	0	9	0	0
20	19	6	1	完成1次师门任务	1	6	0	SalaryMission	SalaryMission_3	0	10	0	0
21	20	6	2	与3个好友的友好度达到100	3	8	0	Expression_double	Expression_double_8	0	11	0	0
