INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	套装名称	套装装备1	套装装备2	套装装备3	套装装备4	套装装备5	套装装备6	套装装备7	套装装备8	套装装备9	套装装备10	套装装备11	套装装备12	属性ID	属性值	属性ID	属性值	属性ID	属性值
1	落鸿套装·五易	10115015	10114015	10112101	10121017	10122016	10122020	10122024	10122028	10123016	10123020	10123024	10123028	37	5	46	18	0	1224
2	落鸿套装·六度	10115019	10114019	10112105	10121021	10122032	10122036	10122040	10122044	10123032	10123036	10123040	10123044	37	9	46	24	0	1530
3	落鸿套装·七辰	10115023	10114023	10112109	10121025	10122048	10122052	10122056	10122060	10123048	10123052	10123056	10123060	37	11	46	30	0	1836
4	落鸿套装·八荒	10115027	10114027	10112113	10121029	10122064	10122068	10122072	10122076	10123064	10123068	10123072	10123076	36	290	47	15	0	2850
5	落鸿套装·八荒	10115031	10114031	10112117	10121033	10122080	10122084	10122088	10122092	10123080	10123084	10123088	10123092	35	890	46	42	0	2850
6	落鸿套装·八荒	10115035	10114035	10112121	10121037	10122096	10122100	10122104	10122108	10123096	10123100	10123104	10123108	35	890	36	290	0	2850
7	落鸿套装·八荒	10115039	10114039	10112125	10121041	10122112	10122116	10122120	10122124	10123112	10123116	10123120	10123124	35	890	45	72	0	2850
8	落鸿套装·八荒	10115043	10114043	10112129	10121045	10122128	10122132	10122136	10122140	10123128	10123132	10123136	10123140	45	72	47	15	0	2850
9	落鸿套装·八荒	10115047	10114047	10112133	10121049	10122144	10122148	10122152	10122156	10123144	10123148	10123152	10123156	35	890	46	42	0	2850
10	落鸿套装·八荒	10115051	10114051	10112137	10121053	10122160	10122164	10122168	10122172	10123160	10123164	10123168	10123172	37	18	46	42	0	2850
11	落鸿套装·八荒	10115055	10114055	10112141	10121057	10122176	10122180	10122184	10122188	10123176	10123180	10123184	10123188	37	18	46	42	0	2850
12	落鸿套装·八荒	10115059	10114059	10112145	10121061	10122192	10122196	10122200	10122204	10123192	10123196	10123200	10123204	37	18	35	890	0	2850
