INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
ID	特效ID1	音效ID1	特效的绑定点1	特效ID2	音效ID2	特效的绑定点2	特效ID3	音效ID3	特效的绑定点3	特效ID4	音效ID4	特效的绑定点4	特效ID5	音效ID5	特效的绑定点5	预留1	预留2	效果说明	预留
0	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	all_bj0000	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			物理伤害	1	
1	all_bj02		身体受击点	all_bj02		身体受击点	all_bj02		身体受击点	all_bj02		身体受击点	all_bj02		身体受击点			魔法伤害	1	
2	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点	all_bj04		身体受击点			冰伤害	1	
3	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点	all_bj06	Skills\Common\bullet_explode1.wav	身体受击点			火伤害	1	
4	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点	all_bj05	Skills\Common\lighting_1.wav	身体受击点			电伤害	1	
5	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点	all_bj01	Skills\Common\poison_4.wav	身体受击点			毒伤害	1	
6	all_bj03		身体受击点	all_bj03		身体受击点	all_bj03		身体受击点	all_bj03		身体受击点	all_bj03		身体受击点			直接减HP	1	
7	all_bj08		身体受击点	all_bj08		身体受击点	all_bj08		身体受击点	all_bj08		身体受击点	all_bj08		身体受击点			直接减MP	1	
8	all_bj09		身体受击点	all_bj09		身体受击点	all_bj09		身体受击点	all_bj09		身体受击点	all_bj09		身体受击点			直接减SP	1	
9	all_bj01		身体受击点	all_bj01		身体受击点	all_bj01		身体受击点	all_bj01		身体受击点	all_bj01		身体受击点			空	1	
10	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点	all_jiaxie	magic_restore.wav	身体受击点			加血	1	
11	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点	all_jiamo	magic_restore.wav	身体受击点			加魔	1	
12	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点	all_jianu	magic_restore.wav	身体受击点			加怒	1	
13	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点	all_jiaqiang	magic_restore.wav	身体受击点			加强	1	
14	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点	all_jiechuzhuangtai	magic_restore.wav	身体受击点			解控	1	
15	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点	yanhuo02	yanhuo02.wav	前置特效点			烟花(2)	1	
16	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点	yanhuo03	yanhuo03.wav	前置特效点			烟花(3)	1	
17	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点	yanhuo04	yanhuo04.wav	前置特效点			烟花(4)	1	
18	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff111	interface\sound_shengji.wav	脚下光圈点			复活	1	
19	g01_buff23		身体受击点	g01_buff23		身体受击点	g01_buff23		身体受击点	g01_buff23		身体受击点	g01_buff23		身体受击点			净化	1	
20	g01_buff25		头顶状态点	g01_buff25		头顶状态点	g01_buff25		头顶状态点	g01_buff25		头顶状态点	g01_buff25		头顶状态点			驱逐	1	
21	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点	g01_zdo_danfengchaoyang		身体受击点			爆炸	1	
22	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点	g01_zdo_taiyisancai	Skills\Common\explosion_1.wav	身体受击点			开膛	1	
23	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点	g01_zdo_eguangmanying		身体受击点			恶贯满盈爆炸	1	
24	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点	g01_dd_jingangfumoquan_02		脚下光圈点			任务特效	1	
25	all_bj_sd	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj_sd	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj_sd	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj_sd	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj_sd_01	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			伏虎拳特效	1	
26	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点	g01_banruozhang_02		身体受击点			般若掌特效	1	
27	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点	g01_yipailiangsan_05		身体受击点			一拍两散特效	1	
28	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点	g01_wanxiangjiezhi_01		身体受击点			无相截指特效	1	
29	all_bj_cq	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj_cq	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj_cq	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj_cq	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj_cq	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			错骨分筋特效	1	
30	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点	g01_cuixinliepi		身体受击点			摧心裂脾特效	1	
31	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点	g01_tianditongshou		身体受击点			天地同寿特效	1	
32	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点	g01_leitingzhinu		身体受击点			雷霆之怒特效	1	
33	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点	g01_houjibofa_03		身体受击点			厚积薄发特效	1	
34	all_bj_shan	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj_shan	Skills\Weapon\longsword_hit_middle_1.wav	身体受击点	all_bj_shan	Skills\Weapon\sword_hit_light_3.wav	身体受击点	all_bj_shan	Skills\Weapon\sword_hit_light_2.wav	身体受击点	all_bj_shan	Skills\Weapon\sword_hit_heavy_2.wav	身体受击点			鲲跃北溟特效	1	
35	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点	g01_peiranyouyu		身体受击点			沛然有雨特效	1	
36	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点	g01_kanglongyouhui_03		身体受击点			亢龙有悔特效	1	
