INT	INT	STRING	INT	INT	INT
Index	配方ID	备注	附加材料	门派ID	产出物
1	1238	制作60级8星门派阿旭手套少林	-1	0	10112113
2	1239	制作70级8星门派阿旭手套少林	-1	0	10112114
3	1240	制作80级8星门派阿旭手套少林	-1	0	10112115
4	1241	制作90级8星门派阿旭手套少林	-1	0	10112116
5	1238	制作60级8星门派阿旭手套明教	-1	1	10112117
6	1239	制作70级8星门派阿旭手套明教	-1	1	10112118
7	1240	制作80级8星门派阿旭手套明教	-1	1	10112119
8	1241	制作90级8星门派阿旭手套明教	-1	1	10112120
9	1238	制作60级8星门派阿旭手套丐帮	-1	2	10112121
10	1239	制作70级8星门派阿旭手套丐帮	-1	2	10112122
11	1240	制作80级8星门派阿旭手套丐帮	-1	2	10112123
12	1241	制作90级8星门派阿旭手套丐帮	-1	2	10112124
13	1238	制作60级8星门派阿旭手套武当	-1	3	10112125
14	1239	制作70级8星门派阿旭手套武当	-1	3	10112126
15	1240	制作80级8星门派阿旭手套武当	-1	3	10112127
16	1241	制作90级8星门派阿旭手套武当	-1	3	10112128
17	1238	制作60级8星门派阿旭手套峨嵋	-1	4	10112129
18	1239	制作70级8星门派阿旭手套峨嵋	-1	4	10112130
19	1240	制作80级8星门派阿旭手套峨嵋	-1	4	10112131
20	1241	制作90级8星门派阿旭手套峨嵋	-1	4	10112132
21	1238	制作60级8星门派阿旭手套星宿	-1	5	10112133
22	1239	制作70级8星门派阿旭手套星宿	-1	5	10112134
23	1240	制作80级8星门派阿旭手套星宿	-1	5	10112135
24	1241	制作90级8星门派阿旭手套星宿	-1	5	10112136
25	1238	制作60级8星门派阿旭手套大理	-1	6	10112137
26	1239	制作70级8星门派阿旭手套大理	-1	6	10112138
27	1240	制作80级8星门派阿旭手套大理	-1	6	10112139
28	1241	制作90级8星门派阿旭手套大理	-1	6	10112140
29	1238	制作60级8星门派阿旭手套天山	-1	7	10112141
30	1239	制作70级8星门派阿旭手套天山	-1	7	10112142
31	1240	制作80级8星门派阿旭手套天山	-1	7	10112143
32	1241	制作90级8星门派阿旭手套天山	-1	7	10112144
33	1238	制作60级8星门派阿旭手套逍遥	-1	8	10112145
34	1239	制作70级8星门派阿旭手套逍遥	-1	8	10112146
35	1240	制作80级8星门派阿旭手套逍遥	-1	8	10112147
36	1241	制作90级8星门派阿旭手套逍遥	-1	8	10112148
37	1238	制作60级8星门派阿旭手套曼陀	-1	10	10112149
38	1239	制作70级8星门派阿旭手套曼陀	-1	10	10112150
39	1240	制作80级8星门派阿旭手套曼陀	-1	10	10112151
40	1241	制作90级8星门派阿旭手套曼陀	-1	10	10112152
41	1254	制作60级8星门派阿旭护腕少林	-1	0	10114027
42	1255	制作70级8星门派阿旭护腕少林	-1	0	10114028
43	1256	制作80级8星门派阿旭护腕少林	-1	0	10114029
44	1257	制作90级8星门派阿旭护腕少林	-1	0	10114030
45	1254	制作60级8星门派阿旭护腕明教	-1	1	10114031
46	1255	制作70级8星门派阿旭护腕明教	-1	1	10114032
47	1256	制作80级8星门派阿旭护腕明教	-1	1	10114033
48	1257	制作90级8星门派阿旭护腕明教	-1	1	10114034
49	1254	制作60级8星门派阿旭护腕丐帮	-1	2	10114035
50	1255	制作70级8星门派阿旭护腕丐帮	-1	2	10114036
51	1256	制作80级8星门派阿旭护腕丐帮	-1	2	10114037
52	1257	制作90级8星门派阿旭护腕丐帮	-1	2	10114038
53	1254	制作60级8星门派阿旭护腕武当	-1	3	10114039
54	1255	制作70级8星门派阿旭护腕武当	-1	3	10114040
55	1256	制作80级8星门派阿旭护腕武当	-1	3	10114041
56	1257	制作90级8星门派阿旭护腕武当	-1	3	10114042
57	1254	制作60级8星门派阿旭护腕峨嵋	-1	4	10114043
58	1255	制作70级8星门派阿旭护腕峨嵋	-1	4	10114044
59	1256	制作80级8星门派阿旭护腕峨嵋	-1	4	10114045
60	1257	制作90级8星门派阿旭护腕峨嵋	-1	4	10114046
61	1254	制作60级8星门派阿旭护腕星宿	-1	5	10114047
62	1255	制作70级8星门派阿旭护腕星宿	-1	5	10114048
63	1256	制作80级8星门派阿旭护腕星宿	-1	5	10114049
64	1257	制作90级8星门派阿旭护腕星宿	-1	5	10114050
65	1254	制作60级8星门派阿旭护腕大理	-1	6	10114051
66	1255	制作70级8星门派阿旭护腕大理	-1	6	10114052
67	1256	制作80级8星门派阿旭护腕大理	-1	6	10114053
68	1257	制作90级8星门派阿旭护腕大理	-1	6	10114054
69	1254	制作60级8星门派阿旭护腕天山	-1	7	10114055
70	1255	制作70级8星门派阿旭护腕天山	-1	7	10114056
71	1256	制作80级8星门派阿旭护腕天山	-1	7	10114057
72	1257	制作90级8星门派阿旭护腕天山	-1	7	10114058
73	1254	制作60级8星门派阿旭护腕逍遥	-1	8	10114059
74	1255	制作70级8星门派阿旭护腕逍遥	-1	8	10114060
75	1256	制作80级8星门派阿旭护腕逍遥	-1	8	10114061
76	1257	制作90级8星门派阿旭护腕逍遥	-1	8	10114062
77	1254	制作60级8星门派阿旭护腕曼陀	-1	10	10114063
78	1255	制作70级8星门派阿旭护腕曼陀	-1	10	10114064
79	1256	制作80级8星门派阿旭护腕曼陀	-1	10	10114065
80	1257	制作90级8星门派阿旭护腕曼陀	-1	10	10114066
81	1270	制作60级8星门派阿旭护肩少林	-1	0	10115027
82	1271	制作70级8星门派阿旭护肩少林	-1	0	10115028
83	1272	制作80级8星门派阿旭护肩少林	-1	0	10115029
84	1273	制作90级8星门派阿旭护肩少林	-1	0	10115030
85	1270	制作60级8星门派阿旭护肩明教	-1	1	10115031
86	1271	制作70级8星门派阿旭护肩明教	-1	1	10115032
87	1272	制作80级8星门派阿旭护肩明教	-1	1	10115033
88	1273	制作90级8星门派阿旭护肩明教	-1	1	10115034
89	1270	制作60级8星门派阿旭护肩丐帮	-1	2	10115035
90	1271	制作70级8星门派阿旭护肩丐帮	-1	2	10115036
91	1272	制作80级8星门派阿旭护肩丐帮	-1	2	10115037
92	1273	制作90级8星门派阿旭护肩丐帮	-1	2	10115038
93	1270	制作60级8星门派阿旭护肩武当	-1	3	10115039
94	1271	制作70级8星门派阿旭护肩武当	-1	3	10115040
95	1272	制作80级8星门派阿旭护肩武当	-1	3	10115041
96	1273	制作90级8星门派阿旭护肩武当	-1	3	10115042
97	1270	制作60级8星门派阿旭护肩峨嵋	-1	4	10115043
98	1271	制作70级8星门派阿旭护肩峨嵋	-1	4	10115044
99	1272	制作80级8星门派阿旭护肩峨嵋	-1	4	10115045
100	1273	制作90级8星门派阿旭护肩峨嵋	-1	4	10115046
101	1270	制作60级8星门派阿旭护肩星宿	-1	5	10115047
102	1271	制作70级8星门派阿旭护肩星宿	-1	5	10115048
103	1272	制作80级8星门派阿旭护肩星宿	-1	5	10115049
104	1273	制作90级8星门派阿旭护肩星宿	-1	5	10115050
105	1270	制作60级8星门派阿旭护肩大理	-1	6	10115051
106	1271	制作70级8星门派阿旭护肩大理	-1	6	10115052
107	1272	制作80级8星门派阿旭护肩大理	-1	6	10115053
108	1273	制作90级8星门派阿旭护肩大理	-1	6	10115054
109	1270	制作60级8星门派阿旭护肩天山	-1	7	10115055
110	1271	制作70级8星门派阿旭护肩天山	-1	7	10115056
111	1272	制作80级8星门派阿旭护肩天山	-1	7	10115057
112	1273	制作90级8星门派阿旭护肩天山	-1	7	10115058
113	1270	制作60级8星门派阿旭护肩逍遥	-1	8	10115059
114	1271	制作70级8星门派阿旭护肩逍遥	-1	8	10115060
115	1272	制作80级8星门派阿旭护肩逍遥	-1	8	10115061
116	1273	制作90级8星门派阿旭护肩逍遥	-1	8	10115062
117	1270	制作60级8星门派阿旭护肩曼陀	-1	10	10115063
118	1271	制作70级8星门派阿旭护肩曼陀	-1	10	10115064
119	1272	制作80级8星门派阿旭护肩曼陀	-1	10	10115065
120	1273	制作90级8星门派阿旭护肩曼陀	-1	10	10115066
121	1286	制作60级8星门派阿旭腰带少林	-1	0	10121029
122	1287	制作70级8星门派阿旭腰带少林	-1	0	10121030
123	1288	制作80级8星门派阿旭腰带少林	-1	0	10121031
124	1289	制作90级8星门派阿旭腰带少林	-1	0	10121032
125	1286	制作60级8星门派阿旭腰带明教	-1	1	10121033
126	1287	制作70级8星门派阿旭腰带明教	-1	1	10121034
127	1288	制作80级8星门派阿旭腰带明教	-1	1	10121035
128	1289	制作90级8星门派阿旭腰带明教	-1	1	10121036
129	1286	制作60级8星门派阿旭腰带丐帮	-1	2	10121037
130	1287	制作70级8星门派阿旭腰带丐帮	-1	2	10121038
131	1288	制作80级8星门派阿旭腰带丐帮	-1	2	10121039
132	1289	制作90级8星门派阿旭腰带丐帮	-1	2	10121040
133	1286	制作60级8星门派阿旭腰带武当	-1	3	10121041
134	1287	制作70级8星门派阿旭腰带武当	-1	3	10121042
135	1288	制作80级8星门派阿旭腰带武当	-1	3	10121043
136	1289	制作90级8星门派阿旭腰带武当	-1	3	10121044
137	1286	制作60级8星门派阿旭腰带峨嵋	-1	4	10121045
138	1287	制作70级8星门派阿旭腰带峨嵋	-1	4	10121046
139	1288	制作80级8星门派阿旭腰带峨嵋	-1	4	10121047
140	1289	制作90级8星门派阿旭腰带峨嵋	-1	4	10121048
141	1286	制作60级8星门派阿旭腰带星宿	-1	5	10121049
142	1287	制作70级8星门派阿旭腰带星宿	-1	5	10121050
143	1288	制作80级8星门派阿旭腰带星宿	-1	5	10121051
144	1289	制作90级8星门派阿旭腰带星宿	-1	5	10121052
145	1286	制作60级8星门派阿旭腰带大理	-1	6	10121053
146	1287	制作70级8星门派阿旭腰带大理	-1	6	10121054
147	1288	制作80级8星门派阿旭腰带大理	-1	6	10121055
148	1289	制作90级8星门派阿旭腰带大理	-1	6	10121056
149	1286	制作60级8星门派阿旭腰带天山	-1	7	10121057
150	1287	制作70级8星门派阿旭腰带天山	-1	7	10121058
151	1288	制作80级8星门派阿旭腰带天山	-1	7	10121059
152	1289	制作90级8星门派阿旭腰带天山	-1	7	10121060
153	1286	制作60级8星门派阿旭腰带逍遥	-1	8	10121061
154	1287	制作70级8星门派阿旭腰带逍遥	-1	8	10121062
155	1288	制作80级8星门派阿旭腰带逍遥	-1	8	10121063
156	1289	制作90级8星门派阿旭腰带逍遥	-1	8	10121064
157	1286	制作60级8星门派阿旭腰带曼陀	-1	10	10121065
158	1287	制作70级8星门派阿旭腰带曼陀	-1	10	10121066
159	1288	制作80级8星门派阿旭腰带曼陀	-1	10	10121067
160	1289	制作90级8星门派阿旭腰带曼陀	-1	10	10121068
161	1290	制作60级5星阿旭戒指冰	21000028	-1	10122016
162	1291	制作70级5星阿旭戒指冰	21000028	-1	10122017
163	1292	制作80级5星阿旭戒指冰	21000028	-1	10122018
164	1293	制作90级5星阿旭戒指冰	21000028	-1	10122019
165	1290	制作60级5星阿旭戒指火	21000029	-1	10122020
166	1291	制作70级5星阿旭戒指火	21000029	-1	10122021
167	1292	制作80级5星阿旭戒指火	21000029	-1	10122022
168	1293	制作90级5星阿旭戒指火	21000029	-1	10122023
169	1290	制作60级5星阿旭戒指玄	21000030	-1	10122024
170	1291	制作70级5星阿旭戒指玄	21000030	-1	10122025
171	1292	制作80级5星阿旭戒指玄	21000030	-1	10122026
172	1293	制作90级5星阿旭戒指玄	21000030	-1	10122027
173	1290	制作60级5星阿旭戒指毒	21000031	-1	10122028
174	1291	制作70级5星阿旭戒指毒	21000031	-1	10122029
175	1292	制作80级5星阿旭戒指毒	21000031	-1	10122030
176	1293	制作90级5星阿旭戒指毒	21000031	-1	10122031
177	1294	制作60级6星阿旭戒指冰	21000032	-1	10122032
178	1295	制作70级6星阿旭戒指冰	21000032	-1	10122033
179	1296	制作80级6星阿旭戒指冰	21000032	-1	10122034
180	1297	制作90级6星阿旭戒指冰	21000032	-1	10122035
181	1294	制作60级6星阿旭戒指火	21000033	-1	10122036
182	1295	制作70级6星阿旭戒指火	21000033	-1	10122037
183	1296	制作80级6星阿旭戒指火	21000033	-1	10122038
184	1297	制作90级6星阿旭戒指火	21000033	-1	10122039
185	1294	制作60级6星阿旭戒指玄	21000034	-1	10122040
186	1295	制作70级6星阿旭戒指玄	21000034	-1	10122041
187	1296	制作80级6星阿旭戒指玄	21000034	-1	10122042
188	1297	制作90级6星阿旭戒指玄	21000034	-1	10122043
189	1294	制作60级6星阿旭戒指毒	21000035	-1	10122044
190	1295	制作70级6星阿旭戒指毒	21000035	-1	10122045
191	1296	制作80级6星阿旭戒指毒	21000035	-1	10122046
192	1297	制作90级6星阿旭戒指毒	21000035	-1	10122047
193	1298	制作60级7星阿旭戒指冰	21000036	-1	10122048
194	1299	制作70级7星阿旭戒指冰	21000036	-1	10122049
195	1300	制作80级7星阿旭戒指冰	21000036	-1	10122050
196	1301	制作90级7星阿旭戒指冰	21000036	-1	10122051
197	1298	制作60级7星阿旭戒指火	21000037	-1	10122052
198	1299	制作70级7星阿旭戒指火	21000037	-1	10122053
199	1300	制作80级7星阿旭戒指火	21000037	-1	10122054
200	1301	制作90级7星阿旭戒指火	21000037	-1	10122055
201	1298	制作60级7星阿旭戒指玄	21000038	-1	10122056
202	1299	制作70级7星阿旭戒指玄	21000038	-1	10122057
203	1300	制作80级7星阿旭戒指玄	21000038	-1	10122058
204	1301	制作90级7星阿旭戒指玄	21000038	-1	10122059
205	1298	制作60级7星阿旭戒指毒	21000039	-1	10122060
206	1299	制作70级7星阿旭戒指毒	21000039	-1	10122061
207	1300	制作80级7星阿旭戒指毒	21000039	-1	10122062
208	1301	制作90级7星阿旭戒指毒	21000039	-1	10122063
209	1302	制作60级8星门派阿旭戒指冰少林	21000040	0	10122064
210	1303	制作70级8星门派阿旭戒指冰少林	21000040	0	10122065
211	1304	制作80级8星门派阿旭戒指冰少林	21000040	0	10122066
212	1305	制作90级8星门派阿旭戒指冰少林	21000040	0	10122067
213	1302	制作60级8星门派阿旭戒指火少林	21000041	0	10122068
214	1303	制作70级8星门派阿旭戒指火少林	21000041	0	10122069
215	1304	制作80级8星门派阿旭戒指火少林	21000041	0	10122070
216	1305	制作90级8星门派阿旭戒指火少林	21000041	0	10122071
217	1302	制作60级8星门派阿旭戒指玄少林	21000042	0	10122072
218	1303	制作70级8星门派阿旭戒指玄少林	21000042	0	10122073
219	1304	制作80级8星门派阿旭戒指玄少林	21000042	0	10122074
220	1305	制作90级8星门派阿旭戒指玄少林	21000042	0	10122075
221	1302	制作60级8星门派阿旭戒指毒少林	21000043	0	10122076
222	1303	制作70级8星门派阿旭戒指毒少林	21000043	0	10122077
223	1304	制作80级8星门派阿旭戒指毒少林	21000043	0	10122078
224	1305	制作90级8星门派阿旭戒指毒少林	21000043	0	10122079
225	1302	制作60级8星门派阿旭戒指冰明教	21000040	1	10122080
226	1303	制作70级8星门派阿旭戒指冰明教	21000040	1	10122081
227	1304	制作80级8星门派阿旭戒指冰明教	21000040	1	10122082
228	1305	制作90级8星门派阿旭戒指冰明教	21000040	1	10122083
229	1302	制作60级8星门派阿旭戒指火明教	21000041	1	10122084
230	1303	制作70级8星门派阿旭戒指火明教	21000041	1	10122085
231	1304	制作80级8星门派阿旭戒指火明教	21000041	1	10122086
232	1305	制作90级8星门派阿旭戒指火明教	21000041	1	10122087
233	1302	制作60级8星门派阿旭戒指玄明教	21000042	1	10122088
234	1303	制作70级8星门派阿旭戒指玄明教	21000042	1	10122089
235	1304	制作80级8星门派阿旭戒指玄明教	21000042	1	10122090
236	1305	制作90级8星门派阿旭戒指玄明教	21000042	1	10122091
237	1302	制作60级8星门派阿旭戒指毒明教	21000043	1	10122092
238	1303	制作70级8星门派阿旭戒指毒明教	21000043	1	10122093
239	1304	制作80级8星门派阿旭戒指毒明教	21000043	1	10122094
240	1305	制作90级8星门派阿旭戒指毒明教	21000043	1	10122095
241	1302	制作60级8星门派阿旭戒指冰丐帮	21000040	2	10122096
242	1303	制作70级8星门派阿旭戒指冰丐帮	21000040	2	10122097
243	1304	制作80级8星门派阿旭戒指冰丐帮	21000040	2	10122098
244	1305	制作90级8星门派阿旭戒指冰丐帮	21000040	2	10122099
245	1302	制作60级8星门派阿旭戒指火丐帮	21000041	2	10122100
246	1303	制作70级8星门派阿旭戒指火丐帮	21000041	2	10122101
247	1304	制作80级8星门派阿旭戒指火丐帮	21000041	2	10122102
248	1305	制作90级8星门派阿旭戒指火丐帮	21000041	2	10122103
249	1302	制作60级8星门派阿旭戒指玄丐帮	21000042	2	10122104
250	1303	制作70级8星门派阿旭戒指玄丐帮	21000042	2	10122105
251	1304	制作80级8星门派阿旭戒指玄丐帮	21000042	2	10122106
252	1305	制作90级8星门派阿旭戒指玄丐帮	21000042	2	10122107
253	1302	制作60级8星门派阿旭戒指毒丐帮	21000043	2	10122108
254	1303	制作70级8星门派阿旭戒指毒丐帮	21000043	2	10122109
255	1304	制作80级8星门派阿旭戒指毒丐帮	21000043	2	10122110
256	1305	制作90级8星门派阿旭戒指毒丐帮	21000043	2	10122111
257	1302	制作60级8星门派阿旭戒指冰武当	21000040	3	10122112
258	1303	制作70级8星门派阿旭戒指冰武当	21000040	3	10122113
259	1304	制作80级8星门派阿旭戒指冰武当	21000040	3	10122114
260	1305	制作90级8星门派阿旭戒指冰武当	21000040	3	10122115
261	1302	制作60级8星门派阿旭戒指火武当	21000041	3	10122116
262	1303	制作70级8星门派阿旭戒指火武当	21000041	3	10122117
263	1304	制作80级8星门派阿旭戒指火武当	21000041	3	10122118
264	1305	制作90级8星门派阿旭戒指火武当	21000041	3	10122119
265	1302	制作60级8星门派阿旭戒指玄武当	21000042	3	10122120
266	1303	制作70级8星门派阿旭戒指玄武当	21000042	3	10122121
267	1304	制作80级8星门派阿旭戒指玄武当	21000042	3	10122122
268	1305	制作90级8星门派阿旭戒指玄武当	21000042	3	10122123
269	1302	制作60级8星门派阿旭戒指毒武当	21000043	3	10122124
270	1303	制作70级8星门派阿旭戒指毒武当	21000043	3	10122125
271	1304	制作80级8星门派阿旭戒指毒武当	21000043	3	10122126
272	1305	制作90级8星门派阿旭戒指毒武当	21000043	3	10122127
273	1302	制作60级8星门派阿旭戒指冰峨嵋	21000040	4	10122128
274	1303	制作70级8星门派阿旭戒指冰峨嵋	21000040	4	10122129
275	1304	制作80级8星门派阿旭戒指冰峨嵋	21000040	4	10122130
276	1305	制作90级8星门派阿旭戒指冰峨嵋	21000040	4	10122131
277	1302	制作60级8星门派阿旭戒指火峨嵋	21000041	4	10122132
278	1303	制作70级8星门派阿旭戒指火峨嵋	21000041	4	10122133
279	1304	制作80级8星门派阿旭戒指火峨嵋	21000041	4	10122134
280	1305	制作90级8星门派阿旭戒指火峨嵋	21000041	4	10122135
281	1302	制作60级8星门派阿旭戒指玄峨嵋	21000042	4	10122136
282	1303	制作70级8星门派阿旭戒指玄峨嵋	21000042	4	10122137
283	1304	制作80级8星门派阿旭戒指玄峨嵋	21000042	4	10122138
284	1305	制作90级8星门派阿旭戒指玄峨嵋	21000042	4	10122139
285	1302	制作60级8星门派阿旭戒指毒峨嵋	21000043	4	10122140
286	1303	制作70级8星门派阿旭戒指毒峨嵋	21000043	4	10122141
287	1304	制作80级8星门派阿旭戒指毒峨嵋	21000043	4	10122142
288	1305	制作90级8星门派阿旭戒指毒峨嵋	21000043	4	10122143
289	1302	制作60级8星门派阿旭戒指冰星宿	21000040	5	10122144
290	1303	制作70级8星门派阿旭戒指冰星宿	21000040	5	10122145
291	1304	制作80级8星门派阿旭戒指冰星宿	21000040	5	10122146
292	1305	制作90级8星门派阿旭戒指冰星宿	21000040	5	10122147
293	1302	制作60级8星门派阿旭戒指火星宿	21000041	5	10122148
294	1303	制作70级8星门派阿旭戒指火星宿	21000041	5	10122149
295	1304	制作80级8星门派阿旭戒指火星宿	21000041	5	10122150
296	1305	制作90级8星门派阿旭戒指火星宿	21000041	5	10122151
297	1302	制作60级8星门派阿旭戒指玄星宿	21000042	5	10122152
298	1303	制作70级8星门派阿旭戒指玄星宿	21000042	5	10122153
299	1304	制作80级8星门派阿旭戒指玄星宿	21000042	5	10122154
300	1305	制作90级8星门派阿旭戒指玄星宿	21000042	5	10122155
301	1302	制作60级8星门派阿旭戒指毒星宿	21000043	5	10122156
302	1303	制作70级8星门派阿旭戒指毒星宿	21000043	5	10122157
303	1304	制作80级8星门派阿旭戒指毒星宿	21000043	5	10122158
304	1305	制作90级8星门派阿旭戒指毒星宿	21000043	5	10122159
305	1302	制作60级8星门派阿旭戒指冰大理	21000040	6	10122160
306	1303	制作70级8星门派阿旭戒指冰大理	21000040	6	10122161
307	1304	制作80级8星门派阿旭戒指冰大理	21000040	6	10122162
308	1305	制作90级8星门派阿旭戒指冰大理	21000040	6	10122163
309	1302	制作60级8星门派阿旭戒指火大理	21000041	6	10122164
310	1303	制作70级8星门派阿旭戒指火大理	21000041	6	10122165
311	1304	制作80级8星门派阿旭戒指火大理	21000041	6	10122166
312	1305	制作90级8星门派阿旭戒指火大理	21000041	6	10122167
313	1302	制作60级8星门派阿旭戒指玄大理	21000042	6	10122168
314	1303	制作70级8星门派阿旭戒指玄大理	21000042	6	10122169
315	1304	制作80级8星门派阿旭戒指玄大理	21000042	6	10122170
316	1305	制作90级8星门派阿旭戒指玄大理	21000042	6	10122171
317	1302	制作60级8星门派阿旭戒指毒大理	21000043	6	10122172
318	1303	制作70级8星门派阿旭戒指毒大理	21000043	6	10122173
319	1304	制作80级8星门派阿旭戒指毒大理	21000043	6	10122174
320	1305	制作90级8星门派阿旭戒指毒大理	21000043	6	10122175
321	1302	制作60级8星门派阿旭戒指冰天山	21000040	7	10122176
322	1303	制作70级8星门派阿旭戒指冰天山	21000040	7	10122177
323	1304	制作80级8星门派阿旭戒指冰天山	21000040	7	10122178
324	1305	制作90级8星门派阿旭戒指冰天山	21000040	7	10122179
325	1302	制作60级8星门派阿旭戒指火天山	21000041	7	10122180
326	1303	制作70级8星门派阿旭戒指火天山	21000041	7	10122181
327	1304	制作80级8星门派阿旭戒指火天山	21000041	7	10122182
328	1305	制作90级8星门派阿旭戒指火天山	21000041	7	10122183
329	1302	制作60级8星门派阿旭戒指玄天山	21000042	7	10122184
330	1303	制作70级8星门派阿旭戒指玄天山	21000042	7	10122185
331	1304	制作80级8星门派阿旭戒指玄天山	21000042	7	10122186
332	1305	制作90级8星门派阿旭戒指玄天山	21000042	7	10122187
333	1302	制作60级8星门派阿旭戒指毒天山	21000043	7	10122188
334	1303	制作70级8星门派阿旭戒指毒天山	21000043	7	10122189
335	1304	制作80级8星门派阿旭戒指毒天山	21000043	7	10122190
336	1305	制作90级8星门派阿旭戒指毒天山	21000043	7	10122191
337	1302	制作60级8星门派阿旭戒指冰逍遥	21000040	8	10122192
338	1303	制作70级8星门派阿旭戒指冰逍遥	21000040	8	10122193
339	1304	制作80级8星门派阿旭戒指冰逍遥	21000040	8	10122194
340	1305	制作90级8星门派阿旭戒指冰逍遥	21000040	8	10122195
341	1302	制作60级8星门派阿旭戒指火逍遥	21000041	8	10122196
342	1303	制作70级8星门派阿旭戒指火逍遥	21000041	8	10122197
343	1304	制作80级8星门派阿旭戒指火逍遥	21000041	8	10122198
344	1305	制作90级8星门派阿旭戒指火逍遥	21000041	8	10122199
345	1302	制作60级8星门派阿旭戒指玄逍遥	21000042	8	10122200
346	1303	制作70级8星门派阿旭戒指玄逍遥	21000042	8	10122201
347	1304	制作80级8星门派阿旭戒指玄逍遥	21000042	8	10122202
348	1305	制作90级8星门派阿旭戒指玄逍遥	21000042	8	10122203
349	1302	制作60级8星门派阿旭戒指毒逍遥	21000043	8	10122204
350	1303	制作70级8星门派阿旭戒指毒逍遥	21000043	8	10122205
351	1304	制作80级8星门派阿旭戒指毒逍遥	21000043	8	10122206
352	1305	制作90级8星门派阿旭戒指毒逍遥	21000043	8	10122207
353	1302	制作60级8星门派阿旭戒指冰曼陀	21000040	10	10122208
354	1303	制作70级8星门派阿旭戒指冰曼陀	21000040	10	10122209
355	1304	制作80级8星门派阿旭戒指冰曼陀	21000040	10	10122210
356	1305	制作90级8星门派阿旭戒指冰曼陀	21000040	10	10122211
357	1302	制作60级8星门派阿旭戒指火曼陀	21000041	10	10122212
358	1303	制作70级8星门派阿旭戒指火曼陀	21000041	10	10122213
359	1304	制作80级8星门派阿旭戒指火曼陀	21000041	10	10122214
360	1305	制作90级8星门派阿旭戒指火曼陀	21000041	10	10122215
361	1302	制作60级8星门派阿旭戒指玄曼陀	21000042	10	10122216
362	1303	制作70级8星门派阿旭戒指玄曼陀	21000042	10	10122217
363	1304	制作80级8星门派阿旭戒指玄曼陀	21000042	10	10122218
364	1305	制作90级8星门派阿旭戒指玄曼陀	21000042	10	10122219
365	1302	制作60级8星门派阿旭戒指毒曼陀	21000043	10	10122220
366	1303	制作70级8星门派阿旭戒指毒曼陀	21000043	10	10122221
367	1304	制作80级8星门派阿旭戒指毒曼陀	21000043	10	10122222
368	1305	制作90级8星门派阿旭戒指毒曼陀	21000043	10	10122223
369	1306	制作60级5星阿旭护符冰	21000028	-1	10123016
370	1307	制作70级5星阿旭护符冰	21000028	-1	10123017
371	1308	制作80级5星阿旭护符冰	21000028	-1	10123018
372	1309	制作90级5星阿旭护符冰	21000028	-1	10123019
373	1306	制作60级5星阿旭护符火	21000029	-1	10123020
374	1307	制作70级5星阿旭护符火	21000029	-1	10123021
375	1308	制作80级5星阿旭护符火	21000029	-1	10123022
376	1309	制作90级5星阿旭护符火	21000029	-1	10123023
377	1306	制作60级5星阿旭护符玄	21000030	-1	10123024
378	1307	制作70级5星阿旭护符玄	21000030	-1	10123025
379	1308	制作80级5星阿旭护符玄	21000030	-1	10123026
380	1309	制作90级5星阿旭护符玄	21000030	-1	10123027
381	1306	制作60级5星阿旭护符毒	21000031	-1	10123028
