INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	Data1	Data2	Data3	Data4	Data5	Data6	Data7	Data8	Data9	Data10	Data11	Data12	Data13	Data14	Data15	Data16	Data17	Data18	Data19	Data20	Data21	Data22	Data23	Data24	Data25
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
3	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
4	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
5	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
6	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
7	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
8	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
10	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
11	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
13	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
14	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
15	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
16	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
17	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
18	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
20	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
21	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
22	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
23	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
24	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
25	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
26	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
27	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
28	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
30	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
31	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
32	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
33	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
34	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
35	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
36	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
37	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
38	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
40	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
41	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
42	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
43	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
44	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
45	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
46	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
47	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
48	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
49	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
50	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
51	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
52	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
53	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
54	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
55	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
56	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
57	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
58	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
59	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
60	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
61	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
62	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
63	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
64	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
65	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
66	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
67	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
68	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
69	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
70	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
71	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
72	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
73	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
74	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
75	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
76	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
77	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
78	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
79	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
80	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
81	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
82	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
83	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
84	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
85	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
86	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
87	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
88	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
89	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
90	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
91	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
92	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
93	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
94	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
95	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
96	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
97	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
98	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
99	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
100	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
101	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
102	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
103	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
104	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
105	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
106	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
107	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
108	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
109	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
110	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
111	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
112	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
113	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
114	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
115	2	1	1	0	1	1	2	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1
116	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
117	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
118	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
119	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
120	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
