INT	INT
LEVEL	EXP
1	1500
2	1510
3	1540
4	1580
5	1640
6	1710
7	1800
8	1890
9	2000
10	2120
11	2250
12	2390
13	2540
14	2700
15	2870
16	3060
17	3250
18	3450
19	3660
20	3880
21	4120
22	4360
23	4610
24	4870
25	5130
26	5410
27	5700
28	5990
29	6300
30	6610
31	6930
32	7260
33	7600
34	7950
35	8310
36	8670
37	9040
38	9430
39	9820
40	10210
41	10620
42	11040
43	11460
44	11890
45	12330
46	12780
47	13230
48	13690
49	14170
50	14640
51	15130
52	15630
53	16130
54	16640
55	17160
56	17680
57	18220
58	18760
59	19310
60	19860
61	20430
62	21000
63	21580
64	22170
65	22760
66	23360
67	23970
68	24590
69	25210
70	25840
71	26480
72	27130
73	27780
74	28440
75	29110
76	29790
77	30470
78	31160
79	31860
80	32560
81	33270
82	33990
83	34720
84	35450
85	36190
86	36940
87	37690
88	38450
89	39220
90	40000
91	40780
92	41570
93	42360
94	43170
95	43980
96	44790
97	45620
98	46450
99	47280
100	48130
101	48980
102	49840
103	50700
104	51580
105	52450
106	53340
107	54230
108	55130
109	56040
110	56950
111	57870
112	58790
113	59730
114	60660
115	61610
116	62560
117	63520
118	64490
119	65460
120	66440
