INT	INT	INT	INT	INT
SkillID	NewSkillID	材料	消耗金钱	技能等级
1361	1362	20310117	10000	1	
1362	1363	20310118	10000	2	
1363	1364	20310119	15000	3	
1364	1365	20310120	15000	4	
1365	1366	20310121	20000	5	
1366	-1	-1	-1	6	
1367	1368	20310117	10000	1	
1368	1369	20310118	10000	2	
1369	1370	20310119	15000	3	
1370	1371	20310120	15000	4	
1371	1372	20310121	20000	5	
1372	-1	-1	-1	6	
1373	1374	20310117	10000	1	
1374	1375	20310118	10000	2	
1375	1376	20310119	15000	3	
1376	1377	20310120	15000	4	
1377	1378	20310121	20000	5	
1378	-1	-1	-1	6	
1379	1380	20310117	10000	1	
1380	1381	20310118	10000	2	
1381	1382	20310119	15000	3	
1382	1383	20310120	15000	4	
1383	1384	20310121	20000	5	
1384	-1	-1	-1	6	
1385	1386	20310117	10000	1	
1386	1387	20310118	10000	2	
1387	1388	20310119	15000	3	
1388	1389	20310120	15000	4	
1389	1390	20310121	20000	5	
1390	-1	-1	-1	6	
1391	1392	20310117	10000	1	
1392	1393	20310118	10000	2	
1393	1394	20310119	15000	3	
1394	1395	20310120	15000	4	
1395	1396	20310121	20000	5	
1396	-1	-1	-1	6	
1397	1398	20310117	10000	1	
1398	1399	20310118	10000	2	
1399	1400	20310119	15000	3	
1400	1401	20310120	15000	4	
1401	1402	20310121	20000	5	
1402	-1	-1	-1	6	
1403	1404	20310117	10000	1	
1404	1405	20310118	10000	2	
1405	1406	20310119	15000	3	
1406	1407	20310120	15000	4	
1407	1408	20310121	20000	5	
1408	-1	-1	-1	6	
1409	1410	20310117	10000	1	
1410	1411	20310118	10000	2	
1411	1412	20310119	15000	3	
1412	1413	20310120	15000	4	
1413	1414	20310121	20000	5	
1414	-1	-1	-1	6	
1415	1416	20310117	10000	1	
1416	1417	20310118	10000	2	
1417	1418	20310119	15000	3	
1418	1419	20310120	15000	4	
1419	1420	20310121	20000	5	
1420	-1	-1	-1	6	
1421	1422	20310117	10000	1	
1422	1423	20310118	10000	2	
1423	1424	20310119	15000	3	
1424	1425	20310120	15000	4	
1425	1426	20310121	20000	5	
1426	-1	-1	-1	6	
1427	1428	20310117	10000	1	
1428	1429	20310118	10000	2	
1429	1430	20310119	15000	3	
1430	1431	20310120	15000	4	
1431	1432	20310121	20000	5	
1432	-1	-1	-1	6	
1433	1434	20310117	10000	1	
1434	1435	20310118	10000	2	
1435	1436	20310119	15000	3	
1436	1437	20310120	15000	4	
1437	1438	20310121	20000	5	
1438	-1	-1	-1	6	
1439	1440	20310117	10000	1	
1440	1441	20310118	10000	2	
1441	1442	20310119	15000	3	
1442	1443	20310120	15000	4	
1443	1444	20310121	20000	5	
1444	-1	-1	-1	6	
1445	1446	20310117	10000	1	
1446	1447	20310118	10000	2	
1447	1448	20310119	15000	3	
1448	1449	20310120	15000	4	
1449	1450	20310121	20000	5	
1450	-1	-1	-1	6	
1451	1452	20310117	10000	1	
1452	1453	20310118	10000	2	
1453	1454	20310119	15000	3	
1454	1455	20310120	15000	4	
1455	1456	20310121	20000	5	
1456	-1	-1	-1	6	
1457	1458	20310117	10000	1	
1458	1459	20310118	10000	2	
1459	1460	20310119	15000	3	
1460	1461	20310120	15000	4	
1461	1462	20310121	20000	5	
1462	-1	-1	-1	6	
1463	1464	20310117	10000	1	
1464	1465	20310118	10000	2	
1465	1466	20310119	15000	3	
1466	1467	20310120	15000	4	
1467	1468	20310121	20000	5	
1468	-1	-1	-1	6	
1469	1470	20310117	10000	1	
1470	1471	20310118	10000	2	
1471	1472	20310119	15000	3	
1472	1473	20310120	15000	4	
1473	1474	20310121	20000	5	
1474	-1	-1	-1	6	
1475	1476	20310117	10000	1	
1476	1477	20310118	10000	2	
1477	1478	20310119	15000	3	
1478	1479	20310120	15000	4	
1479	1480	20310121	20000	5	
1480	-1	-1	-1	6	
1481	1482	20310117	10000	1	
1482	1483	20310118	10000	2	
1483	1484	20310119	15000	3	
1484	1485	20310120	15000	4	
1485	1486	20310121	20000	5	
1486	-1	-1	-1	6	
1487	1488	20310117	10000	1	
1488	1489	20310118	10000	2	
1489	1490	20310119	15000	3	
1490	1491	20310120	15000	4	
1491	1492	20310121	20000	5	
1492	-1	-1	-1	6	
1493	1494	20310117	10000	1	
1494	1495	20310118	10000	2	
1495	1496	20310119	15000	3	
1496	1497	20310120	15000	4	
1497	1498	20310121	20000	5	
1498	-1	-1	-1	6	
1499	1500	20310117	10000	1	
1500	1501	20310118	10000	2	
1501	1502	20310119	15000	3	
1502	1503	20310120	15000	4	
1503	1504	20310121	20000	5	
1504	-1	-1	-1	6	
1505	1506	20310117	10000	1	
1506	1507	20310118	10000	2	
1507	1508	20310119	15000	3	
1508	1509	20310120	15000	4	
1509	1510	20310121	20000	5	
1510	-1	-1	-1	6	
1511	1512	20310117	10000	1	
1512	1513	20310118	10000	2	
1513	1514	20310119	15000	3	
1514	1515	20310120	15000	4	
1515	1516	20310121	20000	5	
1516	-1	-1	-1	6	
1517	1518	20310117	10000	1	
1518	1519	20310118	10000	2	
1519	1520	20310119	15000	3	
1520	1521	20310120	15000	4	
1521	1522	20310121	20000	5	
1522	-1	-1	-1	6	
1523	1524	20310117	10000	1	
