INT	INT	INT	INT	INT	INT	INT	INT	STRING
EquipID	品阶	套装编号	属性	属性值	属性	属性值	Idx	Desc
10157000	0	0	0	1110	-1	0	0	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157001	0	0	59	177	58	177	1	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157002	0	0	61	177	60	177	2	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157003	0	0	62	220	-1	0	3	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157004	0	0	63	73	-1	0	4	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157005	0	0	37	2	-1	0	5	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157006	0	1	0	1110	-1	0	0	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157007	0	1	59	177	58	177	1	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157008	0	1	61	177	60	177	2	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
