INT	INT	INT	INT	INT
Åä·½ID	»Æ	Ðþ	µØ	Ìì
1154	10157000	10157036	10157072	10157108
1155	10157001	10157037	10157073	10157109
1156	10157002	10157038	10157074	10157110
1157	10157003	10157039	10157075	10157111
1158	10157004	10157040	10157076	10157112
1159	10157005	10157041	10157077	10157113
1160	10157006	10157042	10157078	10157114
1161	10157007	10157043	10157079	10157115
1162	10157008	10157044	10157080	10157116
1163	10157009	10157045	10157081	10157117
1164	10157010	10157046	10157082	10157118
1165	10157011	10157047	10157083	10157119
1166	10157012	10157048	10157084	10157120
1167	10157013	10157049	10157085	10157121
1168	10157014	10157050	10157086	10157122
1169	10157015	10157051	10157087	10157123
1170	10157016	10157052	10157088	10157124
1171	10157017	10157053	10157089	10157125
1172	10157018	10157054	10157090	10157126
1173	10157019	10157055	10157091	10157127
1174	10157020	10157056	10157092	10157128
1175	10157021	10157057	10157093	10157129
1176	10157022	10157058	10157094	10157130
1177	10157023	10157059	10157095	10157131
1178	10157024	10157060	10157096	10157132
1179	10157025	10157061	10157097	10157133
1180	10157026	10157062	10157098	10157134
1181	10157027	10157063	10157099	10157135
1182	10157028	10157064	10157100	10157136
1183	10157029	10157065	10157101	10157137
1184	10157030	10157066	10157102	10157138
1185	10157031	10157067	10157103	10157139
1186	10157032	10157068	10157104	10157140
1187	10157033	10157069	10157105	10157141
1188	10157034	10157070	10157106	10157142
1189	10157035	10157071	10157107	10157143
