INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	AttrIdx	AttrVal	AttrIdx	AttrVal	AttrIdx	AttrVal	AttrIdx	AttrVal	特殊技能	特殊效果	Desc
0	0	1109	-1	0	-1	0	-1	0	-1	-1	流光3件套
1	0	1952	-1	0	-1	0	-1	0	-1	-1	流光3件套
2	0	3150	-1	0	-1	0	-1	0	-1	-1	流光3件套
3	0	4438	-1	0	-1	0	-1	0	-1	-1	流光3件套
4	-1	-1	-1	-1	-1	-1	-1	-1	3759	45532	流光6件套
5	-1	-1	-1	-1	-1	-1	-1	-1	3760	45535	流光6件套
6	-1	-1	-1	-1	-1	-1	-1	-1	3761	45537	流光6件套
7	-1	-1	-1	-1	-1	-1	-1	-1	3762	45539	流光6件套
8	6	10	9	10	12	10	15	10	-1	-1	暮雨3件套
9	6	17	9	17	12	17	15	17	-1	-1	暮雨3件套
10	6	28	9	28	12	28	15	28	-1	-1	暮雨3件套
11	6	40	9	40	12	40	15	40	-1	-1	暮雨3件套
12	0	-1	-1	0	-1	0	-1	0	3763	-1	暮雨6件套
13	0	-1	-1	0	-1	0	-1	0	3764	-1	暮雨6件套
14	0	-1	-1	0	-1	0	-1	0	3765	-1	暮雨6件套
15	0	-1	-1	0	-1	0	-1	0	3766	-1	暮雨6件套
16	37	3	-1	0	-1	0	-1	0	-1	-1	星辉3件套
17	37	6	-1	0	-1	0	-1	0	-1	-1	星辉3件套
18	37	10	-1	0	-1	0	-1	0	-1	-1	星辉3件套
19	37	15	-1	0	-1	0	-1	0	-1	-1	星辉3件套
20	-1	-1	-1	-1	-1	-1	-1	-1	3767	-1	星辉6件套
21	-1	-1	-1	-1	-1	-1	-1	-1	3768	-1	星辉6件套
22	-1	-1	-1	-1	-1	-1	-1	-1	3769	-1	星辉6件套
23	-1	-1	-1	-1	-1	-1	-1	-1	3770	-1	星辉6件套
24	36	90	-1	0	-1	0	-1	0	-1	-1	轻风3件套
25	36	158	-1	0	-1	0	-1	0	-1	-1	轻风3件套
26	36	255	-1	0	-1	0	-1	0	-1	-1	轻风3件套
27	36	360	-1	0	-1	0	-1	0	-1	-1	轻风3件套
28	-1	-1	-1	-1	-1	-1	-1	-1	3771	-1	轻风6件套
29	-1	-1	-1	-1	-1	-1	-1	-1	3772	-1	轻风6件套
30	-1	-1	-1	-1	-1	-1	-1	-1	3773	-1	轻风6件套
31	-1	-1	-1	-1	-1	-1	-1	-1	3774	-1	轻风6件套
32	35	270	-1	0	-1	0	-1	0	-1	-1	夜雪3件套
33	35	475	-1	0	-1	0	-1	0	-1	-1	夜雪3件套
34	35	766	-1	0	-1	0	-1	0	-1	-1	夜雪3件套
35	35	1080	-1	0	-1	0	-1	0	-1	-1	夜雪3件套
36	-1	-1	-1	-1	-1	-1	-1	-1	3775	45554	夜雪6件套
37	-1	-1	-1	-1	-1	-1	-1	-1	3776	45555	夜雪6件套
38	-1	-1	-1	-1	-1	-1	-1	-1	3777	45556	夜雪6件套
39	-1	-1	-1	-1	-1	-1	-1	-1	3778	45557	夜雪6件套
40	48	5	-1	0	-1	0	-1	0	-1	-1	御雷3件套
41	48	8	-1	0	-1	0	-1	0	-1	-1	御雷3件套
42	48	13	-1	0	-1	0	-1	0	-1	-1	御雷3件套
43	48	20	-1	0	-1	0	-1	0	-1	-1	御雷3件套
44	-1	-1	-1	-1	-1	-1	-1	-1	3779	-1	御雷6件套
45	-1	-1	-1	-1	-1	-1	-1	-1	3780	-1	御雷6件套
46	-1	-1	-1	-1	-1	-1	-1	-1	3781	-1	御雷6件套
47	-1	-1	-1	-1	-1	-1	-1	-1	3782	-1	御雷6件套
