INT	INT	INT
ID	等级	最大金钱
1	1	1000000000
2	2	1000000000
3	3	1000000000
4	4	1000000000
5	5	1000000000
6	6	1000000000
7	7	1000000000
8	8	1000000000
9	9	1000000000
10	10	1000000000
11	11	1000000000
12	12	1000000000
13	13	1000000000
14	14	1000000000
15	15	1000000000
16	16	1000000000
17	17	1000000000
18	18	1000000000
19	19	1000000000
20	20	1000000000
21	21	1000000000
22	22	1000000000
23	23	1000000000
24	24	1000000000
25	25	1000000000
26	26	1000000000
27	27	1000000000
28	28	1000000000
29	29	1000000000
30	30	1000000000
31	31	1000000000
32	32	1000000000
33	33	1000000000
34	34	1000000000
35	35	1000000000
36	36	1000000000
37	37	1000000000
38	38	1000000000
39	39	1000000000
40	40	1000000000
41	41	1000000000
42	42	1000000000
43	43	1000000000
44	44	1000000000
45	45	1000000000
46	46	1000000000
47	47	1000000000
48	48	1000000000
49	49	1000000000
50	50	1000000000
51	51	1000000000
52	52	1000000000
53	53	1000000000
54	54	1000000000
55	55	1000000000
56	56	1000000000
57	57	1000000000
58	58	1000000000
59	59	1000000000
60	60	1000000000
61	61	1000000000
62	62	1000000000
63	63	1000000000
64	64	1000000000
65	65	1000000000
66	66	1000000000
67	67	1000000000
68	68	1000000000
69	69	1000000000
70	70	1000000000
71	71	1000000000
72	72	1000000000
73	73	1000000000
74	74	1000000000
75	75	1000000000
76	76	1000000000
77	77	1000000000
78	78	1000000000
79	79	1000000000
80	80	1000000000
81	81	1000000000
82	82	1000000000
83	83	1000000000
84	84	1000000000
85	85	1000000000
86	86	1000000000
87	87	1000000000
88	88	1000000000
89	89	1000000000
90	90	1000000000
91	91	1000000000
92	92	1000000000
93	93	1000000000
94	94	1000000000
95	95	1000000000
96	96	1000000000
97	97	1000000000
98	98	1000000000
99	99	1000000000
100	100	1000000000
101	101	1000000000
102	102	1000000000
103	103	1000000000
104	104	1000000000
105	105	1000000000
106	106	1000000000
107	107	1000000000
108	108	1000000000
109	109	1000000000
110	110	1000000000
111	111	1000000000
112	112	1000000000
113	113	1000000000
114	114	1000000000
115	115	1000000000
116	116	1000000000
117	117	1000000000
118	118	1000000000
119	119	1000000000
120	120	1000000000
121	121	1000000000
122	122	1000000000
123	123	1000000000
124	124	1000000000
125	125	1000000000
126	126	1000000000
127	127	1000000000
128	128	1000000000
129	129	1000000000
130	130	1000000000
131	131	1000000000
132	132	1000000000
133	133	1000000000
134	134	1000000000
135	135	1000000000
136	136	1000000000
137	137	1000000000
138	138	1000000000
139	139	1000000000
140	140	1000000000
141	141	1000000000
142	142	1000000000
143	143	1000000000
144	144	1000000000
145	145	1000000000
146	146	1000000000
147	147	1000000000
148	148	1000000000
149	149	1000000000
150	150	1000000000
