INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标（客户端描述）$1$	任务详细描述$1$	是否有Continue	任务继续信息$1$	任务完成信息$1$	接受任务场景ID	接受任务NPC$1$	完成任务场景ID	完成任务NPC$1$	任务目标场景ID	任务目标NPC$1$	任务目标NPC是否动态	任务目标NPC对白$1$	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	金钱奖励	交子奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	固定物品1奖励数量	固定物品奖励2	固定物品2奖励数量	固定物品奖励3	固定物品3奖励数量	固定物品奖励4	固定物品4奖励数量	固定物品奖励5	固定物品5奖励数量	可选物品奖励1	可选物品1奖励数量	可选物品奖励2	可选物品2奖励数量	可选物品奖励3	可选物品3奖励数量	可选物品奖励4	可选物品4奖励数量	可选物品奖励5	可选物品5奖励数量	隐藏奖励物品1	隐藏物品1奖励数量	隐藏奖励物品2	隐藏物品2奖励数量	隐藏奖励物品3	隐藏物品3奖励数量	送物种类数量（最多5）	第一个物品ID	第一个物品数量	物品是否在接任务时由NPC给予	第二个物品ID	第二个物品数量	物品是否在接任务时由NPC给予	第三个物品ID	第三个物品数量	物品是否在接任务时由NPC给予	第四个物品ID	第四个物品数量	物品是否在接任务时由NPC给予	MissionItem_HashTable列号	第五个物品数量	物品是否在接任务时由NPC给予	后续任务INDEX	预留	预留	预留
1010000	491	17	0	1	0	0	240	179	就地取材	#{MIS_TAR_ADD_013}	#{Mis_S_Wuliang_1010000}	1	#{RW_20080317_02}	#{RW_20080317_03}	6	马五德	6	左子穆	6	左子穆	0		1	-1	-1	-1	0	120	600	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002093	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010001	498	17	0	1	0	0	252	154	封锁敦煌	#{MIS_TAR_ADD_014}	#{Mis_S_Wuliang_1010001}	1	#{RW_20080317_02}	#{RW_20080317_04}	6	辛双清	8	杨文广	8	杨文广	0		9	-1	-1	-1	0	205	900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002094	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010010	502	18	0	1	0	0	263	201	武侯祠	#{MIS_TAR_ADD_016}	#{Mis_S_Jiange_1010010}	0		#{RW_20080317_05}	7	姜桂芝	7	时迈	7	时迈	0		1	-1	-1	-1	0	85	7200	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010011	507	18	0	1	0	0	279	194	三分天下	#{MIS_TAR_ADD_017}	#{Mis_S_Jiange_1010011}	1	#{RW_20080317_02}	#{RW_20080317_06}	7	时迈	7	时迁	7	时迁	0		8	503	504	505	0	65	1980	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413061	1	10410061	1	10422101	1	0	0	0	0	0	0	0	0	0	0	1	40002106	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010012	509	18	0	1	0	0	252	154	求援	#{MIS_TAR_ADD_018}	#{Mis_S_Jiange_1010012}	1	#{RW_20080317_02}	#{RW_20080317_07}	7	姜桂芝	8	杨文广	8	杨文广	0		10	508	-1	-1	0	105	900	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002133	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010020	511	19	0	1	0	0	63	90	蒙尘	#{MIS_TAR_ADD_020}	#{Mis_S_DunHuang_1010020}	1	#{RW_20080317_02}	#{RW_20080317_08}	8	回鹘王女	8	赵行德	8	赵行德	0		10	900	-1	-1	0	132	3360	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40002134	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1010021	6	-1	-1	
1010021	514	19	0	1	0	0	63	81	营救	#{MIS_TAR_ADD_021}	#{Mis_S_DunHuang_1010021}	0		#{RW_20080317_09}	8	赵行德	8	朱王礼	8	朱王礼	0		13	511	-1	-1	0	114	4252	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009400	6	-1	-1	
1010022	516	19	0	1	0	0	63	81	回归	#{MIS_TAR_ADD_022}	#{Mis_S_DunHuang_1010022}	0		#{RW_20080317_10}	8	杨文广	8	朱王礼	8	朱王礼	0		13	515	-1	-1	0	200	5628	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10410062	1	10400061	1	10411068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1010023	518	19	0	1	0	0	55	63	战火	#{MIS_TAR_ADD_023}	#{Mis_S_DunHuang_1010023}	0		#{RW_20080317_11}	8	朱王礼	8	曹延惠	8	曹延惠	0		18	-1	-1	-1	0	82	2856	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10413062	1	10403062	1	10421062	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010321	6	-1	-1	
1010024	519	19	0	1	0	0	200	66	战斗力	#{MIS_TAR_ADD_024}	#{Mis_S_DunHuang_1010024}	0		#{RW_20080317_12}	8	杨文广	3	柴进	3	柴进	0		18	901	-1	-1	0	130	15120	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
