INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标$1$	任务描述3$1$	任务描述4$1$	任务描述5$1$	接受任务场景ID	接受任务NpcName$1$	接受任务NpcGuid	完成任务场景ID	完成任务NpcName$1$	完成任务NpcGuid	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	击杀种类数（最多5）	怪物名称1$1$	是否寻找随机物品	掉落物品1	掉落概率1	掉落数量1	怪物名称2$1$	怪物标志2	掉落物品2	掉落概率2	掉落数量2	怪物名称3$1$	怪物标志3	掉落物品3	掉落概率3	掉落数量3	怪物名称4$1$	怪物标志4	掉落物品4	掉落概率4	掉落数量4	怪物名称5$1$	怪物标志5	掉落物品5	掉落概率5	掉落数量5	金钱奖励	交子奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	个数1	固定物品奖励2	个数2	固定物品奖励3	个数3	固定物品奖励4	个数4	固定物品奖励5	个数5	可选物品奖励1	个数1	可选物品奖励2	个数2	可选物品奖励3	个数3	可选物品奖励4	个数4	可选物品奖励5	个数5	隐藏奖励物品1	个数1	隐藏奖励物品2	个数2	隐藏奖励物品3	个数3	后续任务INDEX	预留	预留	预留
1030000	492	17	0	1	0	0	240	173	代劳	#{MIS_TAR_ADD_456}	#{Mis_L_Wuliang_1030000}	#{RW_20080321_333}	#{RW_20080321_335}	6	葛光佩	0	6	葛光佩	0	1	-1	-1	-1	1	高山白猿	0	40002091	100	8		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	150	1440	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030001	493	17	0	1	0	0	241	181	蜂毒	#{MIS_TAR_ADD_458}	#{Mis_L_Wuliang_1030001}	#{RW_20080321_334}	#{RW_20080321_336}	6	干光豪	0	6	干光豪	0	3	-1	-1	-1	1	大黄蜂	0	40002092	100	12		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	175	2800	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030010	503	18	0	1	0	0	263	201	红色宝藏钥匙	#{MIS_TAR_ADD_003}	#{Mis_L_Jiange_1030010}	#{RW_20080321_337}	#{RW_20080321_340}	7	时迈	0	7	时迈	0	5	-1	-1	-1	1	舞空	0	40002130	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	120	2730	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030011	504	18	0	1	0	0	263	201	黄色宝藏钥匙	#{MIS_TAR_ADD_004}	#{Mis_L_Jiange_1030011}	#{RW_20080321_338}	#{RW_20080321_340}	7	时迈	0	7	时迈	0	5	-1	-1	-1	1	浮桥	0	40002131	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	105	2140	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030012	505	18	0	1	0	0	263	201	蓝色宝藏钥匙	#{MIS_TAR_ADD_005}	#{Mis_L_Jiange_1030012}	#{RW_20080321_339}	#{RW_20080321_340}	7	时迈	0	7	时迈	0	5	-1	-1	-1	1	大脸	0	40002132	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	100	2250	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030031	466	14	0	1	0	0	181	81	蛛丝马迹	#{MIS_TAR_ADD_476}	#{Mis_L_Songshan_1030031}	#{RW_20080321_344}	#{RW_20080321_347}	3	陆凝霜	0	3	陆凝霜	0	18	465	-1	-1	3	卢崖铜人	0	40002136	34	1	卢崖铜人	0	40002137	34	1	卢崖铜人	0	40002138	34	1		0	0	0	0		0	0	0	0	0	175	19740	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10401062	1	10400062	1	10402064	1	10406180	1	0	0	0	0	0	0	0	0	1010032	6	-1	1000221	
1030032	469	14	0	1	0	0	182	81	嵩阳断肠草	#{MIS_TAR_ADD_009}	#{Mis_L_Songshan_1030032}	#{RW_20080321_345}	#{RW_20080321_348}	3	陆松	0	3	陆松	0	20	904	-1	-1	1	铜轨	0	40002139	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	290	9450	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10411069	1	10410063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030040	645	41	0	1	0	0	164	262	断桥花妖	#{MIS_TAR_ADD_482}	#{Mis_L_Xihu_1030040}	#{RW_20080321_349}	#{RW_20080321_352}	30	苏飞	0	30	苏飞	0	23	644	-1	-1	1	断桥花妖	0	40002076	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	2700	22500	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030041	646	41	0	1	0	0	164	262	白堤柳鬼	#{MIS_TAR_ADD_484}	#{Mis_L_Xihu_1030041}	#{RW_20080321_350}	#{RW_20080321_352}	30	苏飞	0	30	苏飞	0	23	644	-1	-1	1	白堤柳鬼	0	40002140	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	2100	21000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	-1	1030042	
1030042	647	41	0	1	0	0	164	262	归风庄	#{MIS_TAR_ADD_486}	#{Mis_L_Xihu_1030042}	#{RW_20080321_351}	#{RW_20080321_352}	30	苏飞	0	30	苏飞	0	23	644	-1	-1	1	归风庄庄客	0	40002141	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	3000	24000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10403063	1	10405062	1	10421064	1	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
