INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	ø™ º ±º‰	÷’÷π ±º‰	nIndex	Point	‘§¡Ù	‘§¡Ù	ShowA	NumA	ShowA	NumA	ShowA	NumA	ShowA	NumA	ShowA	NumA	‘§¡Ù	‘§¡Ù	ShowB	NumB	ShowB	NumB	ShowB	NumB	ShowB	NumB	ShowB	NumB	ShowB	NumB
1	20250127	20250223	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	20250127	20250223	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	20250127	20250223	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	20250127	20250223	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	20250127	20250223	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	20250127	20250223	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	20250127	20250223	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	20250127	20250223	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	20250127	20250223	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	20250127	20250223	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	20250127	20250223	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	20250127	20250223	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	20250127	20250223	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	20250127	20250223	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	20250127	20250223	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
