INT	INT	INT	INT	INT	INT
Index	Time1	Time2	Time3	Time4	EndTime
1	20250127	20250203	20250210	20250217	20250223
2	20250224	20250303	20250310	20250317	20250323
3	20250324	20250331	20250407	20250414	20250420
4	20250421	20250428	20250505	20250512	20250518
5	20250519	20250526	20250602	20250609	20250615
6	20250616	20250623	20250630	20250707	20250713
7	20250714	20250721	20250728	20250804	20250810
8	20250811	20250818	20250825	20250901	20250907
9	20250908	20250915	20250922	20250929	20251005
10	20251006	20251013	20251020	20251027	20251102
11	20251103	20251110	20251117	20251124	20251130
12	20251201	20251208	20251215	20251222	20251228
13	20251229	20260105	20260112	20260119	20260125
14	20260126	20260202	20260209	20260216	20260222
15	20260223	20260302	20260309	20260316	20260322
16	20260323	20260330	20260406	20260413	20260419
17	20260420	20260427	20260504	20260511	20260517
18	20260518	20260525	20260601	20260608	20260614
19	20260615	20260622	20260629	20260706	20260712
20	20260713	20260720	20260727	20260803	20260809
21	20260810	20260817	20260824	20260831	20260906
22	20260907	20260914	20260921	20260928	20261004
23	20261005	20261012	20261019	20261026	20261101
24	20261102	20261109	20261116	20261123	20261129
25	20261130	20261207	20261214	20261221	20261227
26	20261228	20270104	20270111	20270118	20270124
