INT	INT	INT	STRING
Index	ItemId	Ãÿ ‚±‡∫≈	±≥æ∞“≥«©
1	10125382	1	set:CommonFrame29 image:DressBack1
2	10125383	2	set:CommonFrame29 image:DressBack1
3	10125384	3	set:CommonFrame29 image:DressBack1
4	10125385	4	set:CommonFrame29 image:DressBack1
5	10125386	5	set:CommonFrame29 image:DressBack1
6	10125387	6	set:CommonFrame29 image:DressBack1
7	10125388	7	set:CommonFrame29 image:DressBack1
8	10125389	8	set:CommonFrame29 image:DressBack1
9	10125390	9	set:CommonFrame29 image:DressBack1
10	10125391	10	set:CommonFrame29 image:DressBack1
11	10125392	11	set:CommonFrame29 image:DressBack1
12	10125393	12	set:CommonFrame29 image:DressBack1
13	10125394	13	set:CommonFrame29 image:DressBack1
14	10125395	14	set:CommonFrame29 image:DressBack1
15	10125396	15	set:CommonFrame29 image:DressBack1
16	10125397	16	set:CommonFrame29 image:DressBack1
17	10125398	17	set:CommonFrame29 image:DressBack1
18	10125399	18	set:CommonFrame29 image:DressBack1
19	10125400	19	set:CommonFrame29 image:DressBack1
20	10125401	20	set:CommonFrame29 image:DressBack1
21	10125402	21	set:CommonFrame29 image:DressBack1
22	10125403	22	set:CommonFrame29 image:DressBack1
23	10125404	23	set:CommonFrame29 image:DressBack1
24	10125405	24	set:CommonFrame29 image:DressBack1
25	10125406	25	set:CommonFrame29 image:DressBack1
26	10125407	26	set:CommonFrame29 image:DressBack1
27	10125408	27	set:CommonFrame29 image:DressBack1
28	10125409	28	set:CommonFrame29 image:DressBack1
29	10125410	29	set:CommonFrame29 image:DressBack1
30	10125411	30	set:CommonFrame29 image:DressBack1
31	10125412	31	set:CommonFrame29 image:DressBack1
32	10125413	32	set:CommonFrame29 image:DressBack1
33	10125414	33	set:CommonFrame29 image:DressBack1
34	10125415	34	set:CommonFrame29 image:DressBack1
35	10125416	35	set:CommonFrame29 image:DressBack1
36	10125417	36	set:CommonFrame29 image:DressBack1
37	10125418	37	set:CommonFrame29 image:DressBack1
38	10125419	38	set:CommonFrame29 image:DressBack1
39	10125420	39	set:CommonFrame29 image:DressBack1
40	10125421	40	set:CommonFrame29 image:DressBack1
41	10125422	41	set:CommonFrame29 image:DressBack1
42	10125423	42	set:CommonFrame29 image:DressBack1
43	10125424	43	set:CommonFrame29 image:DressBack1
44	10125425	44	set:CommonFrame29 image:DressBack1
45	10125426	45	set:CommonFrame29 image:DressBack1
46	10125427	46	set:CommonFrame29 image:DressBack1
47	10125428	47	set:CommonFrame29 image:DressBack1
48	10125429	48	set:CommonFrame29 image:DressBack1
49	10125430	49	set:CommonFrame29 image:DressBack1
50	10125431	50	set:CommonFrame29 image:DressBack1
51	10125432	51	set:CommonFrame29 image:DressBack1
52	10125433	52	set:CommonFrame29 image:DressBack1
53	10125434	53	set:CommonFrame29 image:DressBack1
54	10125435	54	set:CommonFrame29 image:DressBack1
55	10125436	55	set:CommonFrame29 image:DressBack1
56	10125437	56	set:CommonFrame29 image:DressBack1
57	10125438	57	set:CommonFrame29 image:DressBack1
58	10125439	58	set:CommonFrame29 image:DressBack1
59	10125440	59	set:CommonFrame29 image:DressBack1
60	10125441	60	set:CommonFrame29 image:DressBack1
61	10125442	61	set:CommonFrame29 image:DressBack1
62	10125443	62	set:CommonFrame29 image:DressBack1
63	10125444	63	set:CommonFrame29 image:DressBack1
64	10125445	64	set:CommonFrame29 image:DressBack1
65	10125446	65	set:CommonFrame29 image:DressBack1
66	10125447	66	set:CommonFrame29 image:DressBack1
67	10125448	67	set:CommonFrame29 image:DressBack1
68	10125449	68	set:CommonFrame29 image:DressBack1
69	10125450	69	set:CommonFrame29 image:DressBack1
70	10125451	70	set:CommonFrame29 image:DressBack1
71	10125452	71	set:CommonFrame29 image:DressBack1
72	10125453	72	set:CommonFrame29 image:DressBack1
73	10125454	73	set:CommonFrame29 image:DressBack1
74	10125455	74	set:CommonFrame29 image:DressBack1
75	10125456	75	set:CommonFrame29 image:DressBack1
76	10125457	76	set:CommonFrame29 image:DressBack1
77	10125458	77	set:CommonFrame29 image:DressBack1
78	10125459	78	set:CommonFrame29 image:DressBack1
79	10125460	79	set:CommonFrame29 image:DressBack1
80	10125461	80	set:CommonFrame29 image:DressBack1
81	10125462	81	set:CommonFrame29 image:DressBack1
82	10125463	82	set:CommonFrame29 image:DressBack1
83	10125464	83	set:CommonFrame29 image:DressBack1
84	10125465	84	set:CommonFrame29 image:DressBack1
85	10125466	85	set:CommonFrame29 image:DressBack1
86	10125467	86	set:CommonFrame29 image:DressBack1
87	10125468	87	set:CommonFrame29 image:DressBack1
88	10125469	88	set:CommonFrame29 image:DressBack1
89	10125470	89	set:CommonFrame29 image:DressBack1
90	10125471	90	set:CommonFrame29 image:DressBack1
91	10125472	91	set:CommonFrame29 image:DressBack1
92	10125473	92	set:CommonFrame29 image:DressBack1
93	10125474	93	set:CommonFrame29 image:DressBack1
94	10125475	94	set:CommonFrame29 image:DressBack1
95	10125476	95	set:CommonFrame29 image:DressBack1
96	10125477	96	set:CommonFrame29 image:DressBack1
97	10125478	97	set:CommonFrame29 image:DressBack1
98	10125479	98	set:CommonFrame29 image:DressBack1
99	10125480	99	set:CommonFrame29 image:DressBack1
100	10125481	100	set:CommonFrame29 image:DressBack1
101	10126034	1	set:CommonFrame29 image:DressBack1
102	10126035	2	set:CommonFrame29 image:DressBack1
103	10126036	3	set:CommonFrame29 image:DressBack1
104	10126037	4	set:CommonFrame29 image:DressBack1
105	10126038	5	set:CommonFrame29 image:DressBack1
106	10126039	6	set:CommonFrame29 image:DressBack1
107	10126040	7	set:CommonFrame29 image:DressBack1
108	10126041	8	set:CommonFrame29 image:DressBack1
109	10126042	9	set:CommonFrame29 image:DressBack1
110	10126043	10	set:CommonFrame29 image:DressBack1
111	10126044	11	set:CommonFrame29 image:DressBack1
112	10126045	12	set:CommonFrame29 image:DressBack1
