INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	class(基本类型)	Quality(品质)	Type(类别)	Index(物品号)	EquipPoint(装备点)	Visual	适应规则	套装编号	套装效果值	Name(名称)$1$	Lv(需求等级)	Desc(说明)$1$	基本价格	出售价格	修理失败上限	技能ID：装备点为武器时标识效果ID（From StandardImpact.txt）	脚本ID	图标	类型描述$1$	是否有资质	是否受品质影响	基础外攻攻击	基础内攻攻击	基础外攻防御	基础内攻防御	基础命中	基础闪避	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	玄攻击	玄抵抗	减少玄击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	外攻攻击	按百分比增加外攻攻击	对装备基础外攻攻击百分比加成	外攻防御	按百分比增加外攻防御	对装备基础外攻防御百分比加成	按百分比抵消外攻伤害	内攻攻击	按百分比增加内攻攻击	对装备基础内攻攻击百分比加成	内攻防御	按百分比增加内攻防御	对装备基础内攻防御百分比加成	按百分比抵消内攻伤害	攻击速度(两次攻击间隔时间)	内攻冷却速度	命中	闪避	会心	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体力	定力	身法	会心防御	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	降低目标冰抵抗	降低目标火抵抗	降低目标玄抵抗	降低目标毒抵抗	品质规则	起始数值段	属性条数min	属性条数max	资质min	资质max	升级后变成资源id	INT	INT	INT	INT	INT	INT	INT	INT	升级材料	INT	INT
70100000	7	1	0	0	0	-1	1	-1	-1	1白装爪	1	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	1000	800	3	-1	-1	OtherTools2_16	珍兽武器	0	0	62	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70100001	7	1	0	1	0	-1	1	-1	-1	轻兽爪	45	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	4500	3600	3	-1	-1	PetEquipClaw1_1	珍兽武器	0	0	307	307	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	100	20301009	2	70
70100002	7	1	0	2	0	-1	1	-1	-1	重兽爪	55	简单的珍兽装备，防护全面，攻守兼备。	5500	4400	3	-1	-1	PetEquipClaw1_2	珍兽武器	0	0	377	377	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	100	20301009	2	70
70100003	7	1	0	3	0	-1	1	-1	-1	65白装爪	65	x	6500	5200	3	-1	-1	OtherTools2_19	珍兽武器	0	0	447	447	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	100	20301009	2	70
70100004	7	1	0	4	0	-1	1	-1	-1	75白装爪	75	x	7500	6000	3	-1	-1	OtherTools2_20	珍兽武器	0	0	517	517	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	50	20301009	2	70
70101000	7	1	1	0	1	-1	1	-1	-1	1白装头	1	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	1000	800	3	-1	-1	OtherTools2_16	珍兽面甲	0	0	-1	-1	62	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	50	20301009	2	70
70101001	7	1	1	1	1	-1	1	-1	-1	轻兽盔	45	简单的珍兽装备，由普通兽骨制成，做工轻巧，简单便捷。	4500	3600	3	-1	-1	PetEquipHat1_1	珍兽面甲	0	0	-1	-1	303	303	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	50	20301009	2	70
70101002	7	1	1	2	1	-1	1	-1	-1	重兽盔	55	简单的珍兽装备，防护全面，攻守兼备。	5500	4400	3	-1	-1	PetEquipHat1_2	珍兽面甲	0	0	-1	-1	373	373	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	-1	1	-1	1	-1	50	20301009	2	70
70101003	7	1	1	3	1	-1	1	-1	-1	65白装头	65	x	6500	5200	3	-1	-1	OtherTools2_16	珍兽面甲	0	0	-1	-1	442	442	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	-1	1	-1	1	-1	1	50	20301009	2	70
