INT	INT	INT	INT	INT	INT	INT
资质点	物理攻击	物理防御	魔法攻击	魔法防御	闪避	命中
1	2	2	2	2	-1	2	
2	2	2	2	2	-1	2	
3	2	2	2	2	-1	2	
4	2	2	2	2	-1	2	
5	2	2	2	2	-1	2	
6	2	2	2	2	-1	2	
7	2	2	2	2	-1	2	
8	2	2	2	2	-1	2	
9	2	2	2	2	-1	2	
10	2	2	2	2	-1	2	
11	2	2	2	2	-1	2	
12	2	2	2	2	-1	2	
13	2	2	2	2	-1	2	
14	3	3	3	3	-1	3	
15	3	3	3	3	-1	3	
16	3	3	3	3	-1	3	
17	3	3	3	3	-1	3	
18	3	3	3	3	-1	3	
19	3	3	3	3	-1	3	
20	3	3	3	3	-1	3	
21	3	3	3	3	-1	3	
22	3	3	3	3	-1	3	
23	3	3	3	3	-1	3	
24	3	3	3	3	-1	3	
25	3	3	3	3	-1	3	
26	3	3	3	3	-1	3	
27	3	3	3	3	-1	3	
28	3	3	3	3	-1	3	
29	3	3	3	3	-1	3	
30	3	3	3	3	-1	3	
31	3	3	3	3	-1	3	
32	3	3	3	3	-1	3	
33	3	3	3	3	-1	3	
34	3	3	3	3	-1	3	
35	3	3	3	3	-1	3	
36	3	3	3	3	-1	3	
37	3	3	3	3	-1	3	
38	3	3	3	3	-1	3	
39	4	4	4	4	-1	4	
40	4	4	4	4	-1	4	
41	4	4	4	4	-1	4	
42	4	4	4	4	-1	4	
43	4	4	4	4	-1	4	
44	4	4	4	4	-1	4	
45	4	4	4	4	-1	4	
46	4	4	4	4	-1	4	
47	4	4	4	4	-1	4	
48	4	4	4	4	-1	4	
49	4	4	4	4	-1	4	
50	4	4	4	4	-1	4	
51	4	4	4	4	-1	4	
52	4	4	4	4	-1	4	
53	4	4	4	4	-1	4	
54	4	4	4	4	-1	4	
55	4	4	4	4	-1	4	
56	4	4	4	4	-1	4	
57	4	4	4	4	-1	4	
58	4	4	4	4	-1	4	
59	4	4	4	4	-1	4	
60	4	4	4	4	-1	4	
61	4	4	4	4	-1	4	
62	4	4	4	4	-1	4	
63	5	5	5	5	-1	5	
64	6	6	6	6	-1	6	
65	6	6	6	6	-1	6	
66	6	6	6	6	-1	6	
67	6	6	6	6	-1	6	
68	6	6	6	6	-1	6	
69	6	6	6	6	-1	6	
70	7	7	7	7	-1	7	
71	7	7	7	7	-1	7	
72	7	7	7	7	-1	7	
73	7	7	7	7	-1	7	
74	7	7	7	7	-1	7	
75	7	7	7	7	-1	7	
76	7	7	7	7	-1	7	
77	7	7	7	7	-1	7	
78	7	7	7	7	-1	7	
79	7	7	7	7	-1	7	
80	7	7	7	7	-1	7	
81	7	7	7	7	-1	7	
82	7	7	7	7	-1	7	
83	7	7	7	7	-1	7	
84	8	8	8	8	-1	8	
85	8	8	8	8	-1	8	
86	8	8	8	8	-1	8	
87	8	8	8	8	-1	8	
88	8	8	8	8	-1	8	
89	8	8	8	8	-1	8	
90	8	8	8	8	-1	8	
91	8	8	8	8	-1	8	
92	8	8	8	8	-1	8	
93	8	8	8	8	-1	8	
94	8	8	8	8	-1	8	
95	8	8	8	8	-1	8	
96	8	8	8	8	-1	8	
97	8	8	8	8	-1	8	
98	9	9	9	9	-1	9	
99	9	9	9	9	-1	9	
100	9	9	9	9	-1	9	
101	9	9	9	9	-1	9	
102	9	9	9	9	-1	9	
103	9	9	9	9	-1	9	
104	9	9	9	9	-1	9	
105	9	9	9	9	-1	9	
106	9	9	9	9	-1	9	
107	9	9	9	9	-1	9	
108	9	9	9	9	-1	9	
109	9	9	9	9	-1	9	
110	9	9	9	9	-1	9	
111	9	9	9	9	-1	9	
112	10	10	10	10	-1	10	
113	10	10	10	10	-1	10	
114	10	10	10	10	-1	10	
115	10	10	10	10	-1	10	
116	10	10	10	10	-1	10	
117	10	10	10	10	-1	10	
118	10	10	10	10	-1	10	
119	10	10	10	10	-1	10	
120	10	10	10	10	-1	10	
121	10	10	10	10	-1	10	
122	10	10	10	10	-1	10	
123	10	10	10	10	-1	10	
124	10	10	10	10	-1	10	
125	11	11	11	11	-1	11	
126	12	12	12	12	-1	12	
