INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引	装备点	强化等级	收取金钱	成功率	退化等级	外攻	内攻	外防	内防	命中	闪避
0	0	1	100	7500	0	10	10	10	10	10	10	
1	0	2	115	6000	1	15	15	15	15	15	15	
2	0	3	132	5000	1	21	21	21	21	21	21	
3	0	4	151	4500	1	30	30	30	30	30	30	
4	0	5	173	1500	1	44	44	44	44	44	44	
5	0	6	199	2000	5	70	70	70	70	70	70	
6	0	7	228	1000	5	93	93	93	93	93	93	
7	0	8	261	100	7	135	135	135	135	135	135	
8	0	9	300	50	8	195	195	195	195	195	195	
9	1	1	100	7500	0	10	10	10	10	10	10	
10	1	2	115	6000	1	15	15	15	15	15	15	
11	1	3	132	5000	1	21	21	21	21	21	21	
12	1	4	151	4500	1	30	30	30	30	30	30	
13	1	5	173	1500	1	44	44	44	44	44	44	
14	1	6	199	2000	5	70	70	70	70	70	70	
15	1	7	228	1000	5	93	93	93	93	93	93	
16	1	8	261	100	7	135	135	135	135	135	135	
17	1	9	300	50	8	195	195	195	195	195	195	
18	2	1	100	7500	0	10	10	10	10	10	10	
19	2	2	115	6000	1	15	15	15	15	15	15	
20	2	3	132	5000	1	21	21	21	21	21	21	
21	2	4	151	4500	1	30	30	30	30	30	30	
22	2	5	173	1500	1	44	44	44	44	44	44	
23	2	6	199	2000	5	70	70	70	70	70	70	
24	2	7	228	1000	5	93	93	93	93	93	93	
25	2	8	261	100	7	135	135	135	135	135	135	
26	2	9	300	50	8	195	195	195	195	195	195	
27	3	1	100	7500	0	10	10	10	10	10	10	
28	3	2	115	6000	1	15	15	15	15	15	15	
29	3	3	132	5000	1	21	21	21	21	21	21	
30	3	4	151	4500	1	30	30	30	30	30	30	
31	3	5	173	1500	1	44	44	44	44	44	44	
32	3	6	199	2000	5	70	70	70	70	70	70	
33	3	7	228	1000	5	93	93	93	93	93	93	
34	3	8	261	100	7	135	135	135	135	135	135	
35	3	9	300	50	8	195	195	195	195	195	195	
36	4	1	100	7500	0	10	10	10	10	10	10	
37	4	2	115	6000	1	15	15	15	15	15	15	
38	4	3	132	5000	1	21	21	21	21	21	21	
39	4	4	151	4500	1	30	30	30	30	30	30	
40	4	5	173	1500	1	44	44	44	44	44	44	
41	4	6	199	2000	5	70	70	70	70	70	70	
42	4	7	228	1000	5	93	93	93	93	93	93	
43	4	8	261	100	7	135	135	135	135	135	135	
44	4	9	300	50	8	195	195	195	195	195	195	
