INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
套装编号	套装名字$1$	组件数	预留数据	预留数据	效果类型	效果值	效果值浮动	效果类型	效果值	效果值浮动	效果类型	效果值	效果值浮动	效果类型	效果值	效果值浮动	Impact触发概率	ImpactID	效果说明
0	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	664	-1	35	860	-1	42	34	-1	100	32448	猛击技能释放时额外增加外功攻击（1星套装效果）
1	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	1328	-1	35	1718	-1	42	66	-1	100	32449	猛击技能释放时额外增加外功攻击（2星套装效果）
2	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	1992	-1	35	2576	-1	42	98	-1	100	32450	猛击技能释放时额外增加外功攻击（3星套装效果）
3	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	2654	-1	35	3434	-1	42	132	-1	100	32451	猛击技能释放时额外增加外功攻击（4星套装效果）
4	苍狼啸月·勇	5	-1	-1	-1	-1	-1	19	3318	-1	35	4292	-1	42	164	-1	100	32452	猛击技能释放时额外增加外功攻击（5星套装效果）
5	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	860	-1	0	1218	-1	42	34	-1	100	32538	增加摔绊技能对目标的生效几率（1星套装效果）
6	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	1718	-1	0	2434	-1	42	66	-1	100	32539	增加摔绊技能对目标的生效几率（2星套装效果）
7	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	2576	-1	0	3650	-1	42	98	-1	100	32540	增加摔绊技能对目标的生效几率（3星套装效果）
8	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	3434	-1	0	4868	-1	42	132	-1	100	32541	增加摔绊技能对目标的生效几率（4星套装效果）
9	苍狼啸月·狡	5	-1	-1	-1	-1	-1	35	4292	-1	0	6084	-1	42	164	-1	100	32542	增加摔绊技能对目标的生效几率（5星套装效果）
10	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	860	-1	0	1218	-1	42	34	-1	100	32556	增加虚弱技能对目标的生效几率（1星套装效果）
11	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	1718	-1	0	2434	-1	42	66	-1	100	32557	增加虚弱技能对目标的生效几率（2星套装效果）
12	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	2576	-1	0	3650	-1	42	98	-1	100	32558	增加虚弱技能对目标的生效几率（3星套装效果）
13	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	3434	-1	0	4868	-1	42	132	-1	100	32559	增加虚弱技能对目标的生效几率（4星套装效果）
14	苍狼啸月·慎	5	-1	-1	-1	-1	-1	35	4292	-1	0	6084	-1	42	164	-1	100	32560	增加虚弱技能对目标的生效几率（5星套装效果）
