INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
Index	装备ID	升级材料1	材料消耗1	升级材料2	材料消耗2	升级材料3	材料消耗3	概率	金钱消耗	升级材料1	材料消耗1	升级材料2	材料消耗2	升级材料3	材料消耗3	概率	金钱消耗	升级后的ID	是否升级后的物品	说明
0	70500000	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500001	0	升级后整套的套装效果将提升为：#G外功攻击+1328#W；#G命中+1718#W；#G力量+66#W；#G猛击技能释放时额外增加外功攻击（2星套装效果）#W。
1	70500001	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500002	1	升级后整套的套装效果将提升为：#G外功攻击+1992#W；#G命中+2576#W；#G力量+98#W；#G猛击技能释放时额外增加外功攻击（3星套装效果）#W。
2	70500002	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500003	1	升级后整套的套装效果将提升为：#G外功攻击+2654#W；#G命中+3434#W；#G力量+132#W；#G猛击技能释放时额外增加外功攻击（4星套装效果）#W。
3	70500003	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500004	1	升级后整套的套装效果将提升为：#G外功攻击+3318#W；#G命中+4292#W；#G力量+164#W；#G猛击技能释放时额外增加外功攻击（5星套装效果）#W。
4	70500005	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500006	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G力量+66#W；#G增加摔绊技能对目标的生效几率（2星套装效果）#W。
5	70500006	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500007	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G力量+98#W；#G增加摔绊技能对目标的生效几率（3星套装效果）#W。
6	70500007	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500008	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G力量+132#W；#G增加摔绊技能对目标的生效几率（4星套装效果）#W。
7	70500008	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500009	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G力量+164#W；#G增加摔绊技能对目标的生效几率（5星套装效果）#W。
8	70500010	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500011	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G力量+66#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
9	70500011	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500012	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G力量+98#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
10	70500012	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500013	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G力量+132#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
11	70500013	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500014	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G力量+164#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
12	70500015	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500016	0	升级后整套的套装效果将提升为：#G内功攻击+1328#W；#G命中+1718#W；#G灵气+66#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（2星套装效果）#W。
13	70500016	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500017	1	升级后整套的套装效果将提升为：#G内功攻击+1992#W；#G命中+2576#W；#G灵气+98#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（3星套装效果）#W。
14	70500017	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500018	1	升级后整套的套装效果将提升为：#G内功攻击+2654#W；#G命中+3434#W；#G灵气+132#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（4星套装效果）#W。
15	70500018	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500019	1	升级后整套的套装效果将提升为：#G内功攻击+3318#W；#G命中+4292#W；#G灵气+164#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（5星套装效果）#W。
16	70500020	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500021	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G灵气+66#W；#G增加摔绊技能对目标的生效几率（2星套装效果）#W。
17	70500021	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500022	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G灵气+98#W；#G增加摔绊技能对目标的生效几率（3星套装效果）#W。
18	70500022	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500023	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G灵气+132#W；#G增加摔绊技能对目标的生效几率（4星套装效果）#W。
19	70500023	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500024	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G灵气+164#W；#G增加摔绊技能对目标的生效几率（5星套装效果）#W。
20	70500025	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500026	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G灵气+66#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
21	70500026	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500027	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G灵气+98#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
