INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT
ID	BaseQual	MaxLife	INT	魂意值上限	魂意值上限	魂意值上限	魂意值上限	魂意值上限	魂意值上限	SkillIdx	兽魂爆发模型	兽魂爆发模型	兽魂爆发模型	兽魂爆发模型	兽魂爆发模型	兽魂爆发模型	绑定Loca索引	绑定Loca索引	绑定Loca索引	绑定Loca索引	绑定Loca索引	绑定Loca索引	CostItem	INT	STRING	STRING	ExteriorId
70600000	2	300	0	600	1500	4000	9000	20000	20000	0	7318	7318	7328	7328	7328	7338	795	795	796	796	796	780	38002515	3	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y神魂檀箱#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R青龙兽魂#WBOSS#W#r使用#Y魂神之卷#W进入#G玄武岛·镜#W中击败#R失控的青龙兽魂	set:CommonNPCHeader36 image:CommonNPCHeader36_12	15
70600001	2	300	0	600	1500	4000	9000	20000	20000	1	7321	7321	7331	7331	7331	7341	787	787	788	788	788	789	38002516	3	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y神魂檀箱#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R玄武兽魂#WBOSS#W#r使用#Y魂神之卷#W进入#G玄武岛·镜#W中击败#R失控的玄武兽魂	set:CommonNPCHeader36 image:CommonNPCHeader36_14	14
70600002	2	300	0	600	1500	4000	9000	20000	20000	2	7315	7315	7325	7325	7325	7335	773	773	774	774	774	768	38002517	3	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y神魂檀箱#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R白虎兽魂#WBOSS#W#r使用#Y魂神之卷#W进入#G玄武岛·镜#W中击败#R失控的白虎兽魂	set:PetHeader11 image:PetHeader11_5	13
70600003	2	300	0	600	1500	4000	9000	20000	20000	3	7314	7314	7324	7324	7324	7334	770	770	771	771	771	772	38002518	3	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y神魂檀箱#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R朱雀兽魂#WBOSS#W#r使用#Y魂神之卷#W进入#G玄武岛·镜#W中击败#R失控的朱雀兽魂	set:PetHeader11 image:PetHeader11_4	12
70600004	2	300	0	600	1500	4000	9000	20000	20000	4	7319	7319	7329	7329	7329	7339	781	781	782	782	782	783	38002519	3	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y神魂檀箱#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R九尾兽魂#WBOSS#W#r使用#Y魂神之卷#W进入#G玄武岛·镜#W中击败#R失控的九尾兽魂	set:CommonNPCHeader36 image:CommonNPCHeader36_13	11
70600005	1	300	0	450	1120	3000	6750	15000	15000	5	7322	7322	7332	7332	7332	7342	790	790	791	791	791	769	38002520	2	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y荒魂檀箱#W#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R锦鳞兽魂#WBOSS	set:PetHeader11 image:PetHeader11_1	10
70600006	1	300	0	450	1120	3000	6750	15000	15000	6	7316	7316	7326	7326	7326	7336	775	775	776	776	776	767	38002521	2	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y荒魂檀箱#W#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R幻蝶兽魂#WBOSS	set:PetHeader11 image:PetHeader11_6	9
70600007	1	300	0	450	1120	3000	6750	15000	15000	7	7320	7320	7330	7330	7330	7340	784	784	785	785	785	786	38002522	2	#Y获得途径：#G#r青丘试炼#W副本掉落#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y荒魂檀箱#W#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R霜鹤兽魂#WBOSS	set:PetHeader11 image:PetHeader11_3	8
70600008	1	300	0	450	1120	3000	6750	15000	15000	8	7317	7317	7327	7327	7327	7337	777	777	778	778	778	779	38002523	2	#Y获得途径：#G#r青丘试炼#W副本掉落#r四象荣誉商店兑换#r#G大理#R神秘商人#{_INFOAIM131,57,2,神秘商人}#W处购买#Y荒魂檀箱#W#r#G苏州#R云决决#{_INFOAIM91,144,1,云决决}#W处进行魂尘唤玉#r击败#G玄武岛·镜#W上随机刷新的#R金乌兽魂#WBOSS	set:PetHeader11 image:PetHeader11_7	7
