INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
0	10	2000	4500	4501	7000	7001	9500	9501	12000	12001	15000	15001	18000	珍兽出战时，增加血上限%s点	珍兽融魂时，给玩家增血上限%s点，增加的血上限数值跟此条扩展属性数值、珍兽的最高资质、成长率相关	增加血上限%s点
1	30	35	90	91	140	141	190	191	240	241	300	301	360	珍兽出战时，增加力量%s点	珍兽融魂时，给玩家增加力量%s点，增加的力量数值跟此条扩展属性数值、珍兽的力量资质、成长率相关	增加力量%s点
2	30	35	90	91	140	141	190	191	240	241	300	301	360	珍兽出战时，增加灵气%s点	珍兽融魂时，给玩家增加灵气%s点，增加的灵气数值跟此条扩展属性数值、珍兽的灵气资质、成长率相关	增加灵气%s点
3	20	35	90	91	140	141	190	191	240	241	300	301	360	珍兽出战时，增加体力%s点	珍兽融魂时，给玩家增加体力%s点，增加的体力数值跟此条扩展属性数值、珍兽的体力资质、成长率相关	增加体力%s点
4	30	35	90	91	140	141	190	191	240	241	300	301	360	珍兽出战时，增加定力%s点	珍兽融魂时，给玩家增加定力%s点，增加的定力数值跟此条扩展属性数值、珍兽的定力资质、成长率相关	增加定力%s点
5	30	35	90	91	140	141	190	191	240	241	300	301	360	珍兽出战时，增加身法%s点	珍兽融魂时，给玩家增加身法%s点，增加的身法数值跟此条扩展属性数值、珍兽的身法资质、成长率相关	增加身法%s点
6	30	350	1200	1201	1850	1851	2500	2501	3200	3201	4000	4001	4800	珍兽出战时，增加内、外功攻击%s点	珍兽融魂时，给玩家增加内、外功攻击%s点，增加的攻击数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	增加内、外功攻击%s点
7	30	400	1350	1351	2100	2101	2850	2851	3600	3601	4500	4501	5400	珍兽出战时，增加命中%s点	珍兽融魂时，给玩家增加命中%s点，增加的命中数值跟此条扩展属性数值、珍兽的最高资质、成长率相关	增加命中%s点
8	30	135	450	451	700	701	950	951	1200	1201	1500	1501	1800	珍兽出战时，增加闪避%s点	珍兽融魂时，给玩家增加闪避%s点，增加的闪避数值跟此条扩展属性数值、珍兽的身法资质、成长率相关	增加闪避%s点
9	30	12	24	25	38	39	52	53	66	67	82	83	95	珍兽出战时，增加会心%s点	珍兽融魂时，给玩家增加会心%s点，增加的会心数值跟此条扩展属性数值、珍兽的最高资质、成长率相关	增加会心%s点
10	30	12	24	25	38	39	52	53	66	67	82	83	95	珍兽出战时，增加会心防御%s点	珍兽融魂时，给玩家增加会心防御%s点，增加的会心防御数值跟此条扩展属性数值、珍兽的身法资质、成长率相关	增加会心防御%s点
11	5	15	32	33	49	50	66	67	84	85	105	106	120	珍兽出战时，增加冰抗%s点	珍兽融魂时，给玩家增加冰抗%s点，增加的冰抗数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	增加冰抗%s点
12	5	15	32	33	49	50	66	67	84	85	105	106	120	珍兽出战时，增加火抗%s点	珍兽融魂时，给玩家增加火抗%s点，增加的火抗数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	增加火抗%s点
13	5	15	32	33	49	50	66	67	84	85	105	106	120	珍兽出战时，增加玄抗%s点	珍兽融魂时，给玩家增加玄抗%s点，增加的玄抗数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	增加玄抗%s点
14	5	15	32	33	49	50	66	67	84	85	105	106	120	珍兽出战时，增加毒抗%s点	珍兽融魂时，给玩家增加毒抗%s点，增加的毒抗数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	增加毒抗%s点
15	10	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	珍兽出战时，有%s%%的概率免疫减速	珍兽融魂时，玩家有%s%%的概率免疫减速，概率数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	有%s%%的概率免疫减速
16	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	珍兽出战时，有%s%%的概率免疫封穴	珍兽融魂时，玩家有%s%%的概率免疫封穴，概率数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	有%s%%的概率免疫封穴
17	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	珍兽出战时，有%s%%的概率免疫麻痹	珍兽融魂时，玩家有%s%%的概率免疫麻痹，概率数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	有%s%%的概率免疫麻痹
18	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	珍兽出战时，有%s%%的概率免疫散功	珍兽融魂时，玩家有%s%%的概率免疫散功，概率数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	有%s%%的概率免疫散功
19	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	珍兽出战时，有%s%%的概率免疫封印	珍兽融魂时，玩家有%s%%的概率免疫封印，概率数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	有%s%%的概率免疫封印
20	5	200	450	460	700	710	950	960	1200	1210	1500	1510	1700	珍兽出战时，有%s%%的概率免疫失明	珍兽融魂时，玩家有%s%%的概率免疫失明，概率数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	有%s%%的概率免疫失明
21	3	300	600	610	900	910	1250	1260	1600	1610	2000	2010	2500	珍兽出战时，受到的伤害降低%s%%	珍兽融魂时，玩家受到的伤害降低%s点，降低的伤害数值跟此条扩展属性数值、珍兽的体力资质、成长率相关	受到的伤害降低%s%%
22	5	300	600	610	900	910	1250	1260	1600	1610	2000	2010	2500	珍兽出战时，造成的伤害提高%s%%	珍兽融魂时，玩家造成的伤害提高%s点，增加的伤害数值跟此条扩展属性数值、珍兽的力量资质、灵气资质、成长率相关	造成的伤害提高%s%%
