INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
INT	SkillID1	SkillID2	SkillID3	SkillID4	SkillID5	SkillID6	INT	TypeIdx	AttrIdx	Attr1	Attr2	Attr3	Attr4	Attr5	Attr6	Attr1	Attr2	Attr3	Attr4	Attr5	Attr6	Desc	TypeIdx	AttrIdx	Attr1	Attr2	Attr3	Attr4	Attr5	Attr6	Attr1	Attr2	Attr3	Attr4	Attr5	Attr6	Desc	STRING	STRING	TypeIdx	AttrIdx	Attr1	Attr2	Attr3	Attr4	Attr5	Attr6	Attr1	Attr2	Attr3	Attr4	Attr5	Attr6	Desc	Name
0	3463	3464	3465	3466	3467	3468	165	0	21	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的冰攻击%d点	0	23	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标冰抗%d点	青龙魂附·天罡	set:PetSoulSkill2 image:PetSoulSkill2_4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	3469	3470	3471	3472	3473	3474	165	0	30	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的毒攻击%d点	0	32	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标毒抗%d点	玄武魂附·九幽	set:PetSoulSkill2 image:PetSoulSkill2_10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	3475	3476	3477	3478	3479	3480	165	0	27	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的玄攻击%d点	0	29	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标玄抗%d点	白虎魂附·永夜	set:PetSoulSkill1 image:PetSoulSkill1_1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	3481	3482	3483	3484	3485	3486	165	0	24	50	90	140	200	270	350	50	90	140	200	270	350	提高主人的火攻击%d点	0	26	20	35	50	70	95	125	20	35	50	70	95	125	提高主人的忽略目标火抗%d点	朱雀魂附·重明	set:PetSoulSkill2 image:PetSoulSkill2_13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	3487	3488	3489	3490	3491	3492	165	0	5	2300	4500	7500	11000	15200	21000	2300	4500	7500	11000	15200	21000	提高主人的血上限%d点	0	-1	5	10	16	24	33	45	5	10	16	24	33	45	提高主人对珍兽造成的伤害%d%%	九尾魂附·千秋	set:PetSoulSkill1 image:PetSoulSkill1_12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	3493	3494	3495	3496	3497	3498	165	0	21	35	63	98	140	189	245	35	63	98	140	189	245	提高主人的冰攻击%d点	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	提高主人的命中%d点	锦鳞魂附·寒潮	set:PetSoulSkill1 image:PetSoulSkill1_11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	3499	3500	3501	3502	3503	3504	165	0	27	35	63	98	140	189	245	35	63	98	140	189	245	提高主人的玄攻击%d点	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	提高主人的命中%d点	幻蝶魂附·晓梦	set:PetSoulSkill1 image:PetSoulSkill1_8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	3505	3506	3507	3508	3509	3510	165	0	30	35	63	98	140	189	245	35	63	98	140	189	245	提高主人的毒攻击%d点	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	提高主人的命中%d点	霜鹤魂附·鸩羽	set:PetSoulSkill2 image:PetSoulSkill2_7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	3511	3512	3513	3514	3515	3516	165	0	24	35	63	98	140	189	245	35	63	98	140	189	245	提高主人的火攻击%d点	0	34	391	705	1096	1566	2114	2740	391	705	1096	1566	2114	2740	提高主人的命中%d点	金乌魂附·燎日	set:PetSoulSkill1 image:PetSoulSkill1_10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	3517	3518	3519	3520	3521	3522	165	0	35	5	10	15	20	30	40	5	10	15	20	30	40	提高主人的会心%d点	0	36	5	10	15	20	30	40	5	10	15	20	30	40	提高主人的会心防御%d点	鹿蜀魂附·聆风	set:PetSoulSkill1 image:PetSoulSkill1_15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
