INT	INT	INT	INT	STRING	INT	STRING	STRING
ID(递增)	CLASS	LEVEL	槽位（未实现）	称号（限长20个CHAR）$1$	有效期（小时，未实现）	COLOR	描述$1$
0	0	1	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。
1	0	2	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。	
2	0	3	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。	
3	0	4	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。	
4	0	5	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。	
5	0	6	-1	天灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级悟性称号#r天御之息，皎皎圣灵。	
6	0	7	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。	
7	0	8	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。	
8	0	9	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。	
9	0	10	-1	神噬仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级悟性称号#r圣霄惊鸿，仙魂庇护。	
10	1	0	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。	
11	1	1	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。	
12	1	2	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。	
13	1	3	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。	
14	1	4	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。	
15	1	5	-1	风灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级资质称号#r闻风而行，心有灵犀。	
16	1	6	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。	
17	1	7	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。	
18	1	8	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。	
19	1	9	-1	云荒神兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级资质称号#r腾云飘渺，八荒之神。	
20	2	1	-1	地灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级成长率称号#r地藏慈悲，纯灵之善。	
21	2	2	-1	地灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级成长率称号#r地藏慈悲，纯灵之善。	
22	2	3	-1	地灵兽	-1	#e195e1a#c72d27c	[已废弃]珍兽初级成长率称号#r地藏慈悲，纯灵之善。	
23	2	4	-1	神殇仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级成长率称号#r苍穹九魄，神赐之兽。	
24	2	5	-1	神殇仙兽	-1	#ebb3e9f#cfd94b0	[已废弃]珍兽高级成长率称号#r苍穹九魄，神赐之兽。	
100001	3	100	-1	灵兽	-1	#e195e1a#c72d27c	#Y资质#G卓尔不群#Y的珍兽才能获得此称号。	
100002	3	200	-1	圣兽	-1	#e195e1a#c72d27c	#Y资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100003	3	300	-1	仙兽	-1	#e195e1a#c72d27c	#Y资质#G天下无双#Y的珍兽才能获得此称号。	
100004	3	400	-1	神兽	-1	#ebb3e9f#cfd94b0	#Y资质#G震古烁今#Y的珍兽才能获得此称号。	
100010	3	111	-1	地兽	-1	#e195e1a#c72d27c	#Y成长#G卓尔不群#Y的珍兽才能获得此称号。	
100011	3	211	-1	地灵兽	-1	#e195e1a#c72d27c	#Y成长、资质#G卓尔不群#Y的珍兽才能获得此称号。	
100012	3	311	-1	地圣兽	-1	#e195e1a#c72d27c	#Y成长#G卓尔不群#Y，资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100013	3	411	-1	地仙兽	-1	#ebb3e9f#cfd94b0	#Y成长#G卓尔不群#Y，资质#G天下无双#Y的珍兽才能获得此称号。	
100014	3	511	-1	地神兽	-1	#ebb3e9f#cfd94b0	#Y成长#G卓尔不群#Y，资质#G震古烁今#Y的珍兽才能获得此称号。	
100020	3	222	-1	天兽	-1	#e195e1a#c72d27c	#Y成长#G超凡脱俗#Y的珍兽才能获得此称号。	
100021	3	322	-1	天灵兽	-1	#e195e1a#c72d27c	#Y成长#G超凡脱俗#Y，资质#G卓尔不群#Y的珍兽才能获得此称号。	
100022	3	422	-1	天圣兽	-1	#ebb3e9f#cfd94b0	#Y成长、资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100023	3	522	-1	天仙兽	-1	#ebb3e9f#cfd94b0	#Y成长#G超凡脱俗#Y，资质#G天下无双#Y的珍兽才能获得此称号。	
100024	3	622	-1	天神兽	-1	#e96491f#gFF0FA0	#Y成长#G超凡脱俗#Y，资质#G震古烁今#Y的珍兽才能获得此称号。	
100030	3	333	-1	元兽	-1	#e195e1a#c72d27c	#Y成长#G天下无双#Y的珍兽才能获得此称号。	
100031	3	433	-1	元灵兽	-1	#ebb3e9f#cfd94b0	#Y成长#G天下无双#Y，资质#G卓尔不群#Y的珍兽才能获得此称号。	
100032	3	533	-1	元圣兽	-1	#ebb3e9f#cfd94b0	#Y成长#G天下无双#Y，资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100033	3	633	-1	元仙兽	-1	#e96491f#gFF0FA0	#Y成长、资质#G天下无双#Y的珍兽才能获得此称号。	
100034	3	733	-1	元神兽	-1	#e96491f#gFF0FA0	#Y成长#G天下无双#Y，资质#G震古烁今#Y的珍兽才能获得此称号。	
100040	3	444	-1	超兽	-1	#ebb3e9f#cfd94b0	#Y成长#G震古烁今#Y的珍兽才能获得此称号。	
100041	3	544	-1	超灵兽	-1	#ebb3e9f#cfd94b0	#Y成长#G震古烁今#Y，资质#G卓尔不群#Y的珍兽才能获得此称号。	
100042	3	644	-1	超圣兽	-1	#e96491f#gFF0FA0	#Y成长#G震古烁今#Y，资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100043	3	744	-1	超仙兽	-1	#e96491f#gFF0FA0	#Y成长#G震古烁今#Y，资质#G天下无双#Y的珍兽才能获得此称号。	
100044	3	844	-1	超神兽	-1	#e96491f#gFF0FA0	#Y成长、资质#G震古烁今#Y的珍兽才能获得此称号。	
100100	3	210	-1	长生兽	-1	#e195e1a#c72d27c	#Y悟性#G卓尔不群#Y的珍兽才能获得此称号。	
100101	3	310	-1	长生灵兽	-1	#e195e1a#c72d27c	#Y悟性、资质#G卓尔不群#Y的珍兽才能获得此称号。	
100102	3	410	-1	长生圣兽	-1	#ebb3e9f#cfd94b0	#Y悟性#G卓尔不群#Y，资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100103	3	510	-1	长生仙兽	-1	#ebb3e9f#cfd94b0	#Y悟性#G卓尔不群#Y，资质#G天下无双#Y的珍兽才能获得此称号。	
100104	3	610	-1	长生神兽	-1	#e96491f#gFF0FA0	#Y悟性#G卓尔不群#Y，资质#G震古烁今#Y的珍兽才能获得此称号。	
100110	3	321	-1	长生地兽	-1	#e195e1a#c72d27c	#Y悟性、成长#G卓尔不群#Y的珍兽才能获得此称号。	
100111	3	421	-1	长生地灵兽	-1	#ebb3e9f#cfd94b0	#Y悟性、成长、资质#G卓尔不群#Y的珍兽才能获得此称号。	
100112	3	521	-1	长生地圣兽	-1	#ebb3e9f#cfd94b0	#Y悟性、成长#G卓尔不群#Y，资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100113	3	621	-1	长生地仙兽	-1	#e96491f#gFF0FA0	#Y悟性、成长#G卓尔不群#Y，资质#G天下无双#Y的珍兽才能获得此称号。	
100114	3	721	-1	长生地神兽	-1	#e96491f#gFF0FA0	#Y悟性、成长#G卓尔不群#Y，资质#G震古烁今#Y的珍兽才能获得此称号。	
100120	3	432	-1	长生天兽	-1	#ebb3e9f#cfd94b0	#Y悟性#G卓尔不群#Y，成长#G超凡脱俗#Y的珍兽才能获得此称号。	
100121	3	532	-1	长生天灵兽	-1	#ebb3e9f#cfd94b0	#Y悟性、资质#G卓尔不群#Y，成长#G超凡脱俗#Y的珍兽才能获得此称号。	
100122	3	632	-1	长生天圣兽	-1	#e96491f#gFF0FA0	#Y悟性#G卓尔不群#Y，成长、资质#G超凡脱俗#Y的珍兽才能获得此称号。	
100123	3	732	-1	长生天仙兽	-1	#e96491f#gFF0FA0	#Y悟性#G卓尔不群#Y，成长#G超凡脱俗#Y，资质#G天下无双#Y的珍兽才能获得此称号。	
100124	3	832	-1	长生天神兽	-1	#e96491f#gFF0FA0	#Y悟性#G卓尔不群#Y，成长#G超凡脱俗#Y，资质#G震古烁今#Y的珍兽才能获得此称号。	
100130	3	543	-1	长生元兽	-1	#ebb3e9f#cfd94b0	#Y悟性#G卓尔不群#Y，成长#G天下无双#Y的珍兽才能获得此称号。	
100131	3	643	-1	长生元灵兽	-1	#e96491f#gFF0FA0	#Y悟性、资质#G卓尔不群#Y，成长#G天下无双#Y的珍兽才能获得此称号。	
