INT	INT	STRING	STRING	INT	INT	STRING	INT	INT
nId	nType	Name	Str	INT	INT	STRING	INT	nValid
1	1	白羊座	GRYM_221213_51	0	1		1	1
2	1	金牛座	GRYM_221213_52	0	1		1	1
3	1	双子座	GRYM_221213_53	0	1		1	1
4	1	巨蟹座	GRYM_221213_54	0	1		1	1
5	1	处女座	GRYM_221213_55	0	1		1	1
6	1	狮子座	GRYM_221213_56	0	1		1	1
7	1	天秤座	GRYM_221213_57	0	1		1	1
8	1	天蝎座	GRYM_221213_58	0	1		1	1
9	1	射手座	GRYM_221213_59	0	1		1	1
10	1	摩羯座	GRYM_221213_60	0	1		1	1
11	1	水瓶座	GRYM_221213_61	0	1		1	1
12	1	双鱼座	GRYM_221213_62	0	1		1	1
13	2	捕鱼党	GRYM_221213_63	0	1		1	1
14	2	采矿党	GRYM_221213_65	0	1		1	1
15	2	采药党	GRYM_221213_67	0	1		1	1
16	2	烹饪党	GRYM_221213_69	0	1		1	1
17	2	种植党	GRYM_221213_71	0	1		1	1
18	2	副本党	GRYM_221213_121	0	1		1	1
19	2	外观党	GRYM_221213_122	0	1		1	1
20	2	扫街党	GRYM_221213_123	0	1		1	1
21	2	拍照党	GRYM_221213_124	0	1		1	1
22	2	打架党	GRYM_221213_125	0	1		1	1
23	3	妙笔生花	GRYM_221213_73	0	1		1	1
24	3	古风摇曳	GRYM_221213_74	0	1		1	1
25	3	喜二次元	GRYM_221213_75	0	1		1	1
26	3	猫猫狗狗	GRYM_221213_76	0	1		1	1
27	3	独享生活	GRYM_221213_77	0	1		1	1
28	3	能吃能睡	GRYM_221213_78	0	1		1	1
29	3	打局游戏	GRYM_221213_79	0	1		1	1
30	3	成熟稳重	GRYM_221213_80	0	1		1	1
31	3	性格开朗	GRYM_221213_81	0	1		1	1
32	3	可可爱爱	GRYM_221213_82	0	1		1	1
33	3	夜晚行动	GRYM_221213_83	0	1		1	1
34	3	温润如玉	GRYM_221213_84	0	1		1	1
35	3	十分中二	GRYM_221213_85	0	1		1	1
36	3	大男子汉	GRYM_221213_86	0	1		1	1
37	3	能说会逗	GRYM_221213_87	0	1		1	1
38	3	高冷话少	GRYM_221213_88	0	1		1	1
39	3	自带磁场	GRYM_221213_89	0	1		1	1
40	3	天然呆萌	GRYM_221213_90	0	1		1	1
41	3	御姐气质	GRYM_221213_91	0	1		1	1
42	3	凶猛动物	GRYM_221213_92	0	1		1	1
43	3	声萌人甜	GRYM_221213_93	0	1		1	1
