INT	INT	STRING	STRING	STRING	INT	INT
Index	ItemId	Name	单位字典	单位	Num	Cost
1	38002376	秘血铸玉	#{XLRW_210725_510}	枚	1	20000
2	38002377	逐浪断刃	#{XLRW_210725_511}	片	1	20000
3	38002378	百功壶	#{XLRW_210725_512}	把	1	20000
4	38002379	断云瓦	#{XLRW_210725_511}	片	1	20000
5	38002380	长羽	#{XLRW_210725_513}	根	1	20000
6	38002381	白翎	#{XLRW_210725_513}	根	1	20000
7	38002382	九足鼎	#{XLRW_210725_514}	鼎	1	20000
8	38002383	八荒流火	#{XLRW_210725_515}	块	1	20000
9	38002384	四十八列天玄拓本·其一	#{XLRW_210725_516}	卷	1	20000
10	38002385	四十八列天玄拓本·其二	#{XLRW_210725_516}	卷	1	20000
11	38002386	鉴香宝炉	#{XLRW_210725_514}	鼎	1	20000
12	38002387	擎明镜	#{XLRW_210725_517}	面	1	20000
13	38002388	双蛟灵牌	#{XLRW_210725_515}	块	1	20000
14	38002389	虎尾残杖	#{XLRW_210725_518}	截	1	20000
15	38002390	寒月盏	#{XLRW_210725_519}	盏	1	20000
16	38002391	拙笔	#{XLRW_210725_520}	杆	1	20000
17	38002392	百兽观砚	#{XLRW_210725_521}	方	1	20000
18	38002393	良骨	#{XLRW_210725_515}	块	1	20000
19	38002394	莲山小荷	#{XLRW_210725_58}	个	1	20000
20	38002395	陇巖玉符	#{XLRW_210725_515}	块	1	20000
