INT	INT	INT	INT	INT	INT	STRING
Idx	归属类别	激活道具	有效时间(小时)	动作数量	对应有效动作	名称
1	1	30103065	168	2	26	动作：七夕情侣
2	2	30103066	72	2	51	动作：野蛮女友
3	3	30103067	72	2	76	动作：卿卿我我
4	4	30103068	72	2	101	动作：爱意正浓
5	5	30103069	72	2	126	动作：江湖我行
6	2	30103070	168	2	51	动作：野蛮女友
7	2	30103071	360	2	51	动作：野蛮女友
8	5	30103072	168	2	126	动作：江湖我行
9	5	30103073	360	2	126	动作：江湖我行
10	6	30103074	168	6	151	动作：剑荡江湖
11	6	30103075	360	6	151	动作：剑荡江湖
12	6	30103076	720	6	151	动作：剑荡江湖
13	7	30103077	72	3	176	动作：灵魂舞者
14	8	30103078	72	3	201	动作：这就是爱
15	3	30103079	168	2	76	动作：卿卿我我
16	9	30103080	8640	4	226	动作：佳期如梦
17	9	30103081	168	4	226	动作：佳期如梦
18	10	30103082	720	3	251	动作：拭剑江湖
19	11	30103083	720	1	301	动作：凌波共月
20	12	30103084	-1	1	301	动作：凌波共月
21	13	30103085	-1	1	326	动作：久别再逢
22	14	30103086	-1	1	351	动作：儿女情长
