INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	盟会ID	预留	ActIndex	ItemId	Name	Num	nCostType	Cost	预留	Limited	预留	预留	预留	预留
1	1	0	0	21000000	粳稻	1	1	10000	1	200	1	1	1	2
2	1	0	1	21000001	茭白	1	1	20000	1	200	1	1	1	2
3	1	0	2	21000002	盈月笋	1	1	40000	1	200	1	1	1	2
4	1	0	3	21000003	流华松露	1	1	60000	1	200	1	1	1	2
5	1	0	4	21000044	一夕纯火	1	1	10000	1	100	1	1	1	3
6	1	0	5	21000045	十全真火	1	1	20000	1	100	1	1	1	3
7	1	0	6	21000046	百变奇火	1	1	30000	1	100	1	1	1	3
8	1	0	7	21000047	千炼玄火	1	1	40000	1	100	1	1	1	3
9	1	0	8	21000048	万钧天火	1	1	100000	1	5	1	1	1	3
10	2	0	0	21000004	甘草	1	1	10000	1	200	1	1	1	2
11	2	0	1	21000005	芝兰	1	1	20000	1	200	1	1	1	2
12	2	0	2	21000006	血茯苓	1	1	40000	1	200	1	1	1	2
13	2	0	3	21000007	彼岸灵花	1	1	60000	1	200	1	1	1	3
14	2	0	4	21000044	一夕纯火	1	1	10000	1	100	1	1	1	3
15	2	0	5	21000045	十全真火	1	1	20000	1	100	1	1	1	3
16	2	0	6	21000046	百变奇火	1	1	30000	1	100	1	1	1	3
17	2	0	7	21000047	千炼玄火	1	1	40000	1	100	1	1	1	3
18	2	0	8	21000048	万钧天火	1	1	100000	1	5	1	1	1	3
19	3	0	0	21000008	青铜	1	1	10000	1	200	1	1	1	2
20	3	0	1	21000009	玄铁块	1	1	20000	1	200	1	1	1	2
21	3	0	2	21000010	锻月银	1	1	40000	1	200	1	1	1	2
22	3	0	3	21000011	霄华鎏金	1	1	60000	1	200	1	1	1	2
23	3	0	4	21000044	一夕纯火	1	1	10000	1	100	1	1	1	3
24	3	0	5	21000045	十全真火	1	1	20000	1	100	1	1	1	3
25	3	0	6	21000046	百变奇火	1	1	30000	1	100	1	1	1	3
26	3	0	7	21000047	千炼玄火	1	1	40000	1	100	1	1	1	3
27	3	0	8	21000048	万钧天火	1	1	100000	1	5	1	1	1	3
28	4	0	0	21000016	桦枝	1	1	10000	1	200	1	1	1	2
29	4	0	1	21000017	霜竹	1	1	20000	1	200	1	1	1	2
30	4	0	2	21000018	贞云松	1	1	40000	1	200	1	1	1	2
31	4	0	3	21000019	怀雅檀木	1	1	60000	1	200	1	1	1	2
32	4	0	4	21000044	一夕纯火	1	1	10000	1	100	1	1	1	3
33	4	0	5	21000045	十全真火	1	1	20000	1	100	1	1	1	3
34	4	0	6	21000046	百变奇火	1	1	30000	1	100	1	1	1	3
35	4	0	7	21000047	千炼玄火	1	1	40000	1	100	1	1	1	3
36	4	0	8	21000048	万钧天火	1	1	100000	1	5	1	1	1	3
