INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
副本ID	图标	副本名称	所需等级	二级等级	金币扫荡所需等级	需要扫荡点	最大可保存的扫荡点	能否双倍经验	双倍经验所需元宝	双倍经验所需金币	预留	预留	BOSS数	名称	图标	名称	图标	名称	图标	名称	图标	名称	图标	名称	图标	普通怪等级	普通怪物经验	BOSS等级	BOSS经验	脚本ID	可扫荡次数	n1week	n2week	n3week	n4week	nPrivilegedExclusive	39级	49级	59级	69级	79级	89级	99级	109级	119级	预留	预留	isCanYinbi	costYinbi
1	set:Huodong_12 image:Huodong_12_1	一个都不能跑	30	0	65	6	120	1	5	50000	0	0	1	余毒	set:FightNPCHeader1 image:FightNPCHeader1_17											30	77326	129	321082	50100	5	1	3	5	-1	1	4	4	4	4	6	6	9	9	9	1	0	1	100000
2	set:Huodong_12 image:Huodong_12_2	除害	30	0	65	6	120	1	5	50000	0	0	1	红熊王	set:FightNPCHeader7 image:FightNPCHeader7_8											30	75360	129	288800	50101	5	1	3	5	-1	1	4	4	4	4	6	6	9	9	9	1	0	1	100000
3	set:Huodong_12 image:Huodong_12_5	剿匪	30	0	65	6	120	1	5	150000	0	0	1	葛荣	set:FightNPCHeader7 image:FightNPCHeader7_13											30	45216	129	150576	50102	5	1	3	5	-1	1	4	4	4	4	6	6	9	9	9	1	0	1	100000
4	set:Huodong_12 image:Huodong_12_6	黄金之链	75	45	90	6	120	1	5	50000	0	0	1	王阎	set:CommonNPCHeader2 image:CommonNPCHeader2_15											75	164294	129	301174	50220	5	0	2	4	6	2	0	0	0	0	4	6	9	9	9	1	0	1	100000
5	set:Huodong_12 image:Huodong_12_3	玄佛珠	75	45	90	6	120	1	5	50000	0	0	1	洪棘妖王	set:FightNPCHeader8 image:FightNPCHeader8_7											75	253835	129	464635	50221	5	0	2	4	6	2	0	0	0	0	4	6	9	9	9	1	0	1	100000
6	set:Huodong_12 image:Huodong_12_4	熔岩之地	75	45	90	6	120	1	5	150000	0	0	1	火焰妖魔	set:FightNPCHeader8 image:FightNPCHeader8_13											75	283860	129	521740	50222	5	0	2	4	6	2	0	0	0	0	4	6	9	9	9	1	0	1	100000
7	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	讨伐燕子坞	60	0	65	8	80	1	15	200000	0	0	3	段延庆	set:SweepBoss1 image:SweepBoss1_8	鸠摩智	set:SweepBoss1 image:SweepBoss1_15	慕容复	set:SweepBoss2 image:SweepBoss2_2							60	347373	129	893216	401040	3	2	4	6	-1	3	0	0	0	4	5	6	7	8	8	1	0	-1	-1
8	set:SalaryMission image:SalaryMission_12	杀星	70	45	80	8	80	1	5	200000	0	0	6	1号BOSS	set:CommonNPCHeader15 image:CommonNPCHeader15_23	2号BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_3	3号BOSS	set:CommonNPCHeader15 image:CommonNPCHeader15_22	4号BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_1	5号BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_7	6号BOSS	set:CommonNPCHeader16 image:CommonNPCHeader16_6	0	0	0	0	402048	2	-1	-1	-1	-1	4	0	0	0	0	4	5	6	8	8	1	0	1	400000
9	set:Huodong_9 image:Huodong_9_6	初战缥缈峰	75	0	-1	8	80	1	5	-1	0	0	5	哈大霸	set:FightNPCHeader9 image:FightNPCHeader9_16	桑土公	set:FightNPCHeader9 image:FightNPCHeader9_18	乌老大	set:FightNPCHeader9 image:FightNPCHeader9_14	任平生	set:CommonNPCHeader14 image:CommonNPCHeader14_17	李秋水	set:FightNPCHeader9 image:FightNPCHeader9_17			75	7190	109	11572	402276	2	2	3	5	-1	5	0	0	0	0	4	5	6	8	8	1	0	-1	-1
10	set:Huodong_9 image:Huodong_9_6	挑战缥缈峰	90	0	-1	8	80	1	20	-1	0	0	5	哈大霸	set:FightNPCHeader9 image:FightNPCHeader9_16	桑土公	set:FightNPCHeader9 image:FightNPCHeader9_18	乌老大	set:FightNPCHeader9 image:FightNPCHeader9_14	任平生	set:CommonNPCHeader14 image:CommonNPCHeader14_17	李秋水	set:FightNPCHeader9 image:FightNPCHeader9_17			95	9992	109	11572	402263	3	0	1	4	-1	6	0	0	0	0	0	0	4	6	8	1	0	-1	-1
11	set:Huodong_12 image:Huodong_12_9	水月山庄	80	0	80	8	80	1	20	200000	0	0	4	十三	set:FightNPCHeader12 image:FightNPCHeader12_5	梵无救	set:FightNPCHeader12 image:FightNPCHeader12_4	阿莺	set:FightNPCHeader12 image:FightNPCHeader12_6	耶律泓佑	set:FightNPCHeader12 image:FightNPCHeader12_7					80	41198	119	46355	891070	2	-1	1	5	-1	7	0	0	0	0	0	4	6	8	8	1	11	-1	-1
12	set:Huodong_14 image:Huodong_14_4	青丘试炼（普通）	85	0	-1	8	80	1	20	-1	0	0	4	云卷舒	set:FightNPCHeader13 image:FightNPCHeader13_15	逸	set:FightNPCHeader13 image:FightNPCHeader13_16	艾虎	set:FightNPCHeader13 image:FightNPCHeader13_18	云飘飘	set:FightNPCHeader13 image:FightNPCHeader13_17					85	29250	119	70960	893020	2	3	6	-1	-1	8	0	0	0	0	0	4	4	4	4	1	13	-1	-1
13	set:Huodong_14 image:Huodong_14_4	青丘试炼（困难）	85	0	-1	8	80	1	20	-1	0	0	4	云卷舒	set:FightNPCHeader13 image:FightNPCHeader13_15	逸	set:FightNPCHeader13 image:FightNPCHeader13_16	艾虎	set:FightNPCHeader13 image:FightNPCHeader13_18	云飘飘	set:FightNPCHeader13 image:FightNPCHeader13_17					85	73130	119	177400	893104	1	3	6	-1	-1	9	0	0	0	0	0	4	4	4	4	1	13	-1	-1
14	set:CommonNPCHeader46 image:CommonNPCHeader46_20	往日梦境（普通）	65	0	-1	8	80	1	20	-1	0	0	4	白世镜	set:CommonNPCHeader46 image:CommonNPCHeader46_17	单正	set:CommonNPCHeader46 image:CommonNPCHeader46_18	谭婆	set:CommonNPCHeader46 image:CommonNPCHeader46_19	玄苦	set:CommonNPCHeader46 image:CommonNPCHeader46_20					65	30202	119	57510	998480	1	0	-1	-1	-1	10	0	0	0	4	4	4	4	4	4	1	10	-1	-1
15	set:CommonNPCHeader46 image:CommonNPCHeader46_20	往日梦境（困难）	65	0	-1	8	80	1	20	-1	0	0	4	白世镜	set:CommonNPCHeader46 image:CommonNPCHeader46_17	单正	set:CommonNPCHeader46 image:CommonNPCHeader46_18	谭婆	set:CommonNPCHeader46 image:CommonNPCHeader46_19	玄苦	set:CommonNPCHeader46 image:CommonNPCHeader46_20					65	45480	119	89690	998487	1	0	-1	-1	-1	11	0	0	0	4	4	4	4	4	4	1	10	-1	-1
