INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
ID	NAME	逻辑ID	MenPaiID	流派类别	流派层数	对应生效技能	最大等级	效果等级	效果值	效果等级	效果值	效果等级	效果值	效果等级	效果值	效果等级	效果值	限制类别	param1	param2	逻辑ID的特殊读取	逻辑ID的特殊读取	逻辑ID的特殊读取	掌握后自动习得的技能	DESC
1	且醉且狂	-1	2	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	丐帮神丐被动
2	蟠龙击·神威	39	2	0	2	341	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	丐帮神丐X1
3	龙息	4	2	0	2	351	5	10	40	20	80	30	120	50	160	80	200	-1	-1	-1	-1	-1	-1	-1	丐帮神丐X2
4	破阵急奏	2	2	0	3	343	5	20	2	30	4	50	6	80	8	130	10	2	5	-1	-1	-1	-1	-1	丐帮神丐X3
5	烟锁迷阵	3	2	0	3	343	5	20	100	30	200	50	300	80	400	130	500	2	5	-1	-1	42841	-1	-1	丐帮神丐X4
6	揽杯倾盏	5	2	0	3	351	5	20	10	30	20	50	30	80	40	130	50	3	5	-1	-1	-1	-1	-1	丐帮神丐X5
7	虬龙返	7	2	0	4	341	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	-1	-1	-1	-1	丐帮神丐X6
8	醉里腾挪	8	2	0	4	-1	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	-1	-1	-1	-1	丐帮神丐X7
9	酩酊龙舞	11	2	0	5	347	5	80	100	120	200	200	300	320	400	520	500	-1	-1	15	50	-1	-1	-1	丐帮神丐X8
10	酣然一醉	12	2	0	5	347	5	80	30	120	60	200	90	320	120	520	150	-1	-1	15	50	-1	-1	-1	丐帮神丐X9
11	吞风饮雨	13	2	0	5	347	5	80	1	120	2	200	3	320	4	520	5	6	5	15	1	351	364	-1	丐帮神丐X10
12	杀破狼	-1	2	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	丐帮战将被动
13	蟠龙击·神威	39	2	1	2	341	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	丐帮战将Y1
14	千里烟瘴	1	2	1	2	342	5	10	150	20	300	30	450	50	600	80	750	-1	-1	-1	-1	6	-1	-1	丐帮战将Y2
15	速战速决	2	2	1	3	361	5	20	20	30	40	50	60	80	80	130	100	13	5	-1	-1	-1	-1	-1	丐帮战将Y3
16	风掠广陌	6	2	1	3	361	5	20	1	30	2	50	3	80	4	130	5	13	5	-1	-1	-1	-1	-1	丐帮战将Y4
17	千里疾驰	2	2	1	3	342	5	20	5	30	10	50	15	80	20	130	25	14	5	-1	-1	-1	-1	-1	丐帮战将Y5
18	龙行乾坤	9	2	1	4	341	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	2	365	-1	-1	丐帮战将Y6
19	迭步蓄势	10	2	1	4	-1	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	丐帮战将Y7
20	断肠天涯	14	2	1	5	365	5	80	100	120	200	200	300	320	400	520	500	18	5	-1	-1	-1	-1	-1	丐帮战将Y8
21	乾坤覆	15	2	1	5	365	5	80	50	120	100	200	100	320	150	520	150	18	5	-1	-1	-1	-1	-1	丐帮战将Y9
22	潜龙入海	16	2	1	5	360	5	80	50	120	100	200	150	320	200	520	250	19	5	-1	-1	-1	-1	-1	丐帮战将Y10
23	禅武印	-1	0	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	少林武僧被动
24	伏虎拳·神威	39	0	0	2	281	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	少林武僧X1
25	佛灯压顶	1	0	0	2	282	5	10	150	20	300	30	450	50	600	80	750	-1	-1	-1	-1	5	-1	-1	少林武僧X2
26	摩诃碎甲	27	0	0	3	291	5	20	20	30	40	50	60	80	80	130	100	24	5	-1	-1	1	-1	-1	少林武僧X3
27	行道迟迟	27	0	0	3	295	5	20	-50	30	-100	50	-150	80	-200	130	-250	24	5	-1	-1	-1	-1	-1	少林武僧X4
28	禅力裂地	1	0	0	3	283	5	20	150	30	300	50	450	80	600	130	750	25	5	-1	-1	5	-1	-1	少林武僧X5
29	长虹凌日	18	0	0	4	297	5	40	2	70	4	110	6	180	8	290	10	-1	-1	10	-1	35	-1	-1	少林武僧X6
30	伏虎迎佛	49	0	0	4	281	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	283	-1	-1	少林武僧X7
31	不动如山	86	0	0	5	305	5	80	30	120	60	200	90	320	120	520	150	-1	-1	15	-1	-1	-1	-1	少林武僧X8
32	舍身除魔	32	0	0	5	306	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	少林武僧X9
33	佛手开天	33	0	0	5	283	5	80	40	120	80	200	120	320	160	520	200	28	5	15	-1	-1	-1	-1	少林武僧X10
34	法身印	-1	0	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	少林罗汉被动
35	伏虎拳·神威	39	0	1	2	281	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	少林罗汉Y1
36	佛法无边	6	0	1	2	282	5	10	1	20	2	30	3	50	4	80	5	-1	-1	-1	-1	-1	-1	-1	少林罗汉Y2
37	无垢佛身	2	0	1	3	301	5	20	10	30	20	50	30	80	40	130	50	35	5	-1	-1	-1	-1	-1	少林罗汉Y3
38	筋骨道基	28	0	1	3	301	5	20	10	30	20	50	30	80	40	130	50	35	5	-1	-1	-1	-1	-1	少林罗汉Y4
39	梵音镇神	29	0	1	3	287	5	20	42853	30	42854	50	42855	80	42856	130	42857	36	5	-1	-1	3294	-1	-1	少林罗汉Y5
40	魔心种佛	30	0	1	4	-1	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	293	2	-1	少林罗汉Y6
41	金刚怒目	31	0	1	4	-1	5	40	1	70	2	110	3	180	4	290	5	-1	-1	10	-1	-1	-1	-1	少林罗汉Y7
42	诸佛无相	2	0	1	5	293	5	80	2	120	4	200	6	320	8	520	10	40	5	-1	-1	-1	-1	-1	少林罗汉Y8
43	佛心行持	34	0	1	5	293	5	80	1000	120	2000	200	3000	320	4000	520	5000	40	5	-1	-1	-1	-1	-1	少林罗汉Y9
44	佛缘业火	35	0	1	5	289	5	80	10	120	20	200	30	320	40	520	50	41	5	-1	-1	-1	-1	-1	少林罗汉Y10
45	不死不休	-1	1	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3293	明教豪侠被动
46	摧心掌·神威	39	1	0	2	311	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	明教豪侠X1
47	烽燧相望	2	1	0	2	312	5	10	2	20	4	30	6	50	8	80	10	-1	-1	-1	-1	-1	-1	-1	明教豪侠X2
48	天罗地网	20	1	0	3	313	5	20	20	30	40	50	60	80	80	130	100	46	5	-1	-1	-1	-1	-1	明教豪侠X3
49	引火成缚	20	1	0	3	325	5	20	20	30	40	50	60	80	80	130	100	46	5	-1	-1	-1	-1	-1	明教豪侠X4
50	一炬万顷	29	1	0	3	327	5	20	42858	30	42859	50	42860	80	42861	130	42862	47	5	-1	-1	3295	-1	-1	明教豪侠X5
51	撼岳龙腾	49	1	0	4	311	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	313	-1	-1	明教豪侠X6
52	步步为营	38	1	0	4	311	5	40	42863	70	42864	110	42865	180	42866	290	42867	-1	-1	10	-1	-1	-1	-1	明教豪侠X7
53	东风已至	40	1	0	5	325	5	80	50	120	100	200	150	320	200	520	250	51	5	-1	-1	-1	-1	-1	明教豪侠X8
54	焚天炽地	41	1	0	5	313	5	80	40	120	80	200	120	320	160	520	200	51	5	-1	-1	-1	-1	-1	明教豪侠X9
55	火浪滔天	42	1	0	5	335	5	80	200	120	400	200	600	320	800	520	1000	-1	-1	15	-1	-1	-1	-1	明教豪侠X10
56	怒焰焚世	-1	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	明教修罗被动
57	摧心掌·神威	39	1	1	2	311	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	明教修罗Y1
58	明光悬	2	1	1	2	313	5	10	1	20	2	30	3	50	4	80	5	-1	-1	-1	-1	-1	-1	-1	明教修罗Y2
59	骤雨颓垣	21	1	1	3	321	5	20	50	30	100	50	150	80	200	130	250	57	5	-1	-1	-1	-1	-1	明教修罗Y3
60	化坎入离	36	1	1	3	321	5	20	200	30	400	50	600	80	800	130	1000	57	5	-1	-1	-1	-1	-1	明教修罗Y4
61	雷霆之怒	37	1	1	3	317	5	20	200	30	400	50	600	80	800	130	1000	58	5	-1	-1	-1	-1	-1	明教修罗Y5
62	烛芯烬	9	1	1	4	313	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	10	335	-1	-1	明教修罗Y6
63	慨当以慷	23	1	1	4	311	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	明教修罗Y7
64	天地为炉	43	1	1	5	335	5	80	20	120	40	200	60	320	80	520	100	62	5	-1	-1	-1	-1	-1	明教修罗Y8
65	付之一烬	44	1	1	5	335	5	80	40	120	80	200	120	320	160	520	200	-1	-1	15	-1	110	279	-1	明教修罗Y9
66	乘势追击	45	1	1	5	330	5	80	60	120	120	200	180	320	240	520	300	63	5	-1	-1	-1	-1	-1	明教修罗Y10
67	海纳川行诀	-1	3	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	武当气宗被动
68	八卦掌·神威	39	3	0	2	371	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	武当气宗X1
69	万辰莹辉	80	3	0	2	376	5	10	20	20	40	30	60	50	80	80	100	-1	-1	-1	-1	7	-1	-1	武当气宗X2
70	踏碎星河	33	3	0	3	377	5	20	60	30	120	50	180	80	240	130	300	68	5	-1	-1	-1	-1	-1	武当气宗X3
71	酣然魂逝	83	3	0	3	377	5	20	100	30	200	50	300	80	400	130	500	68	5	-1	-1	-1	-1	-1	武当气宗X4
72	澹兮岚萦	34	3	0	3	394	5	20	2000	30	4000	50	6000	80	8000	130	10000	69	5	-1	-1	-1	-1	-1	武当气宗X5
73	八卦衍	49	3	0	4	371	5	40	30	70	60	110	90	180	120	290	150	-1	-1	10	2	373	-1	-1	武当气宗X6
74	紫气东来	81	3	0	4	382	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	-1	-1	-1	武当气宗X7
75	一剑万钧	33	3	0	5	373	5	80	70	120	140	200	210	320	280	520	350	73	5	-1	-1	-1	-1	-1	武当气宗X8
76	纳灵凝丹	85	3	0	5	373	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	武当气宗X9
77	太初将至	2	3	0	5	378	5	80	2	120	4	200	6	320	8	520	10	-1	-1	15	-1	-1	-1	-1	武当气宗X10
78	七步登云庭	-1	3	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	武当剑侠被动
79	八卦掌·神威	39	3	1	2	371	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	武当剑侠Y1
80	清风快哉	2	3	1	2	372	5	10	2	20	4	30	6	50	8	80	10	-1	-1	-1	-1	-1	-1	-1	武当剑侠Y2
81	虚步青云	2	3	1	3	379	5	20	4	30	8	50	12	80	16	130	20	79	5	-1	-1	-1	-1	-1	武当剑侠Y3
82	裁风绊月	27	3	1	3	374	5	20	-30	30	-60	50	-90	80	-120	130	-150	79	5	-1	-1	-1	-1	-1	武当剑侠Y4
83	斗转星驰	2	3	1	3	395	5	20	1	30	2	50	3	80	4	130	5	80	5	-1	-1	-1	-1	-1	武当剑侠Y5
84	爻动星移	9	3	1	4	371	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	2	395	-1	-1	武当剑侠Y6
85	星涛怒浪	56	3	1	4	395	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	-1	20	-1	-1	武当剑侠Y7
86	天钺横空	33	3	1	5	395	5	80	30	120	60	200	90	320	120	520	150	84	5	-1	-1	-1	-1	-1	武当剑侠Y8
87	罡风袭月	82	3	1	5	374	5	80	42848	120	42849	200	42850	320	42851	520	42852	-1	-1	15	-1	-1	-1	-1	武当剑侠Y9
88	星隐鹤啼	84	3	1	5	387	5	80	2	120	4	200	6	320	8	520	10	85	5	-1	-1	-1	-1	-1	武当剑侠Y10
89	医者仁心	-1	4	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	峨嵋月医被动
90	拜月·神威	39	4	0	2	401	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	峨嵋月医X1
91	盈裕太渊	46	4	0	2	407	5	10	50	20	100	30	150	50	200	80	250	-1	-1	-1	-1	-1	-1	-1	峨嵋月医X2
92	甘木灵佑	47	4	0	3	409	5	20	200	30	400	50	600	80	800	130	1000	90	5	-1	-1	-1	-1	-1	峨嵋月医X3
93	净繁芜	48	4	0	3	409	5	20	100	30	200	50	300	80	400	130	500	90	5	-1	110	279	-1	-1	峨嵋月医X4
94	凝神皈心	2	4	0	3	413	5	20	20	30	40	50	60	80	80	130	100	91	5	-1	-1	-1	-1	-1	峨嵋月医X5
95	风清月朗	49	4	0	4	424	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	426	-1	-1	峨嵋月医X6
