INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Level	nTransTime	nNeedItem	nNeedNum	nNeedMoney	Attr0	Attr1	Attr2	Attr3	Attr4	Attr5	Attr6	Attr7	Attr8	Attr9	Attr10	Attr11	Attr12	Attr13	Attr14	Attr15	Attr16	Attr17	Attr18	Attr19	Attr20	Attr21	Attr22	Attr23	Attr24	Attr25	Attr26	Attr27	Attr28	Attr29	Attr30	Attr31	Attr32	Attr33	Attr34	Attr35	Attr36	Attr37	Attr38	Attr39	Attr40	Attr41	Attr42	Attr43	Attr44	Attr45	Attr46	Attr47	Attr48	Attr49	Attr50	Attr51	Attr52	Attr53	Attr54	Attr55	Attr56	Attr57	Attr58	Attr59	Attr60	Attr61	Attr62	Attr63	Attr64	Attr65
1	8	20900001	2	40000	665	0	0	405	0	0	9	3	0	9	3	0	9	3	0	9	3	0	0	106	0	0	106	0	0	0	106	0	0	106	0	0	0	0	0	118	39	1	0	0	0	0	6	6	6	6	5	1	2	0	0	0	0	0	3	3	3	3	0	0	0	0	0	0	14	14
2	8	20900001	4	80000	726	0	0	442	0	0	10	3	0	10	3	0	10	3	0	10	3	0	0	116	0	0	116	0	0	0	116	0	0	116	0	0	0	0	0	129	43	2	0	0	0	0	7	7	7	7	6	2	2	0	0	0	0	0	3	3	3	3	0	0	0	0	0	0	15	15
3	8	20900001	6	120000	786	0	0	478	0	0	10	4	0	10	4	0	10	4	0	10	4	0	0	125	0	0	125	0	0	0	125	0	0	125	0	0	0	0	0	140	46	2	0	0	0	0	8	8	8	8	6	2	2	0	0	0	0	0	4	4	4	4	0	0	0	0	0	0	17	17
4	8	20900001	8	160000	847	0	0	515	0	0	11	4	0	11	4	0	11	4	0	11	4	0	0	135	0	0	135	0	0	0	135	0	0	135	0	0	0	0	0	151	50	2	0	0	0	0	9	9	9	9	7	2	2	0	0	0	0	0	4	4	4	4	0	0	0	0	0	0	18	18
5	8	20900001	10	200000	907	0	0	552	0	0	12	4	0	12	4	0	12	4	0	12	4	0	0	145	0	0	145	0	0	0	145	0	0	145	0	0	0	0	0	161	54	2	0	0	0	0	10	10	10	10	7	2	3	0	0	0	0	0	4	4	4	4	0	0	0	0	0	0	19	19
6	8	20900001	12	240000	968	0	0	589	0	0	13	5	0	13	5	0	13	5	0	13	5	0	0	154	0	0	154	0	0	0	154	0	0	154	0	0	0	0	0	172	57	2	0	0	0	0	11	11	11	11	8	2	3	0	0	0	0	0	5	5	5	5	0	0	0	0	0	0	21	21
7	8	20900001	14	280000	1028	0	0	626	0	0	14	5	0	14	5	0	14	5	0	14	5	0	0	164	0	0	164	0	0	0	164	0	0	164	0	0	0	0	0	183	61	2	0	0	0	0	12	12	12	12	8	2	3	0	0	0	0	0	5	5	5	5	0	0	0	0	0	0	22	22
8	8	20900001	16	320000	1089	0	0	663	0	0	15	5	0	15	5	0	15	5	0	15	5	0	0	174	0	0	174	0	0	0	174	0	0	174	0	0	0	0	0	194	64	3	0	0	0	0	13	13	13	13	9	3	3	0	0	0	0	0	5	5	5	5	0	0	0	0	0	0	23	23
9	8	20900001	18	360000	1149	0	0	700	0	0	16	6	0	16	6	0	16	6	0	16	6	0	0	184	0	0	184	0	0	0	184	0	0	184	0	0	0	0	0	205	68	3	0	0	0	0	14	14	14	14	10	3	4	0	0	0	0	0	6	6	6	6	0	0	0	0	0	0	25	25
10	9	20900001	20	400000	1210	0	0	736	0	0	16	6	0	16	6	0	16	6	0	16	6	0	0	193	0	0	193	0	0	0	193	0	0	193	0	0	0	0	0	215	72	3	0	0	0	0	15	15	15	15	10	3	4	0	0	0	0	0	6	6	6	6	0	0	0	0	0	0	26	26
11	9	20900001	23	460000	1270	0	0	773	0	0	17	6	0	17	6	0	17	6	0	17	6	0	0	203	0	0	203	0	0	0	203	0	0	203	0	0	0	0	0	226	75	3	0	0	0	0	16	16	16	16	11	3	4	0	0	0	0	0	6	6	6	6	0	0	0	0	0	0	27	27
12	9	20900001	26	520000	1331	0	0	810	0	0	18	6	0	18	6	0	18	6	0	18	6	0	0	213	0	0	213	0	0	0	213	0	0	213	0	0	0	0	0	237	79	3	0	0	0	0	17	17	17	17	11	3	4	0	0	0	0	0	6	6	6	6	0	0	0	0	0	0	28	28
13	9	20900001	29	580000	1391	0	0	847	0	0	19	7	0	19	7	0	19	7	0	19	7	0	0	222	0	0	222	0	0	0	222	0	0	222	0	0	0	0	0	248	82	3	0	0	0	0	18	18	18	18	12	3	4	0	0	0	0	0	7	7	7	7	0	0	0	0	0	0	30	30
14	9	20900001	32	640000	1452	0	0	884	0	0	20	7	0	20	7	0	20	7	0	20	7	0	0	232	0	0	232	0	0	0	232	0	0	232	0	0	0	0	0	258	86	4	0	0	0	0	19	19	19	19	12	4	5	0	0	0	0	0	7	7	7	7	0	0	0	0	0	0	31	31
15	9	20900001	35	700000	1512	0	0	921	0	0	21	7	0	21	7	0	21	7	0	21	7	0	0	242	0	0	242	0	0	0	242	0	0	242	0	0	0	0	0	269	90	4	0	0	0	0	20	20	20	20	13	4	5	0	0	0	0	0	7	7	7	7	0	0	0	0	0	0	32	32
16	9	20900001	38	760000	1573	0	0	957	0	0	21	8	0	21	8	0	21	8	0	21	8	0	0	251	0	0	251	0	0	0	251	0	0	251	0	0	0	0	0	280	93	4	0	0	0	0	21	21	21	21	13	4	5	0	0	0	0	0	8	8	8	8	0	0	0	0	0	0	34	34
17	9	20900001	41	820000	1633	0	0	994	0	0	22	8	0	22	8	0	22	8	0	22	8	0	0	261	0	0	261	0	0	0	261	0	0	261	0	0	0	0	0	291	97	4	0	0	0	0	22	22	22	22	14	4	5	0	0	0	0	0	8	8	8	8	0	0	0	0	0	0	35	35
18	9	20900001	44	880000	1694	0	0	1031	0	0	23	8	0	23	8	0	23	8	0	23	8	0	0	271	0	0	271	0	0	0	271	0	0	271	0	0	0	0	0	302	100	4	0	0	0	0	23	23	23	23	14	4	5	0	0	0	0	0	8	8	8	8	0	0	0	0	0	0	36	36
