INT	INT	INT	INT	INT	INT	INT
Index	nSkillID	nSkillLevel	nNextLevSkillID	nNeedItemID	nNeedCount	nNeedMoney
1	3945	1	3946	38002969	1	200000
2	3946	2	3947	38002969	1	200000
3	3947	3	3948	38002969	2	400000
4	3948	4	3949	38002969	2	400000
5	3949	5	3950	38002969	2	400000
6	3950	6	3951	38002969	3	600000
7	3951	7	3952	38002969	3	600000
8	3952	8	3953	38002969	3	600000
9	3953	9	3954	38002969	3	600000
10	3954	10	-1	-1	-1	0
11	3955	1	3956	38002970	1	200000
12	3956	2	3957	38002970	1	200000
13	3957	3	3958	38002970	2	400000
14	3958	4	3959	38002970	2	400000
15	3959	5	3960	38002970	2	400000
16	3960	6	3961	38002970	3	600000
17	3961	7	3962	38002970	3	600000
18	3962	8	3963	38002970	3	600000
19	3963	9	3964	38002970	3	600000
20	3964	10	-1	-1	-1	0
21	3965	1	3966	38002971	1	200000
22	3966	2	3967	38002971	1	200000
23	3967	3	3968	38002971	2	400000
24	3968	4	3969	38002971	2	400000
25	3969	5	3970	38002971	2	400000
26	3970	6	3971	38002971	3	600000
27	3971	7	3972	38002971	3	600000
28	3972	8	3973	38002971	3	600000
29	3973	9	3974	38002971	3	600000
30	3974	10	-1	-1	-1	0
31	4415	1	4416	38002969	1	200000
32	4416	2	4417	38002969	1	200000
33	4417	3	4418	38002969	2	400000
34	4418	4	4419	38002969	2	400000
35	4419	5	4420	38002969	2	400000
36	4420	6	4421	38002969	3	600000
37	4421	7	4422	38002969	3	600000
38	4422	8	4423	38002969	3	600000
39	4423	9	4424	38002969	3	600000
40	4424	10	-1	-1	-1	0
41	4425	1	4426	38002970	1	200000
42	4426	2	4427	38002970	1	200000
43	4427	3	4428	38002970	2	400000
44	4428	4	4429	38002970	2	400000
45	4429	5	4430	38002970	2	400000
46	4430	6	4431	38002970	3	600000
47	4431	7	4432	38002970	3	600000
48	4432	8	4433	38002970	3	600000
49	4433	9	4434	38002970	3	600000
50	4434	10	-1	-1	-1	0
51	4436	1	4437	38002971	1	200000
52	4437	2	4438	38002971	1	200000
53	4438	3	4439	38002971	2	400000
54	4439	4	4440	38002971	2	400000
55	4440	5	4441	38002971	2	400000
56	4441	6	4442	38002971	3	600000
57	4442	7	4443	38002971	3	600000
58	4443	8	4444	38002971	3	600000
59	4444	9	4445	38002971	3	600000
60	4445	10	-1	-1	-1	0
61	4446	1	4447	38002969	1	200000
62	4447	2	4448	38002969	1	200000
63	4448	3	4449	38002969	2	400000
64	4449	4	4450	38002969	2	400000
65	4450	5	4451	38002969	2	400000
66	4451	6	4452	38002969	3	600000
67	4452	7	4453	38002969	3	600000
68	4453	8	4454	38002969	3	600000
69	4454	9	4455	38002969	3	600000
70	4455	10	-1	-1	-1	0
71	4456	1	4457	38002970	1	200000
72	4457	2	4458	38002970	1	200000
73	4458	3	4459	38002970	2	400000
74	4459	4	4460	38002970	2	400000
75	4460	5	4461	38002970	2	400000
76	4461	6	4462	38002970	3	600000
77	4462	7	4463	38002970	3	600000
78	4463	8	4464	38002970	3	600000
79	4464	9	4465	38002970	3	600000
80	4465	10	-1	-1	-1	0
81	4466	1	4467	38002971	1	200000
82	4467	2	4468	38002971	1	200000
83	4468	3	4469	38002971	2	400000
84	4469	4	4470	38002971	2	400000
85	4470	5	4471	38002971	2	400000
86	4471	6	4472	38002971	3	600000
87	4472	7	4473	38002971	3	600000
88	4473	8	4474	38002971	3	600000
89	4474	9	4475	38002971	3	600000
90	4475	10	-1	-1	-1	0
91	4476	1	4477	38002969	1	200000
92	4477	2	4478	38002969	1	200000
93	4478	3	4479	38002969	2	400000
94	4479	4	4480	38002969	2	400000
95	4480	5	4481	38002969	2	400000
96	4481	6	4482	38002969	3	600000
97	4482	7	4483	38002969	3	600000
98	4483	8	4484	38002969	3	600000
99	4484	9	4485	38002969	3	600000
100	4485	10	-1	-1	-1	0
101	4486	1	4487	38002970	1	200000
102	4487	2	4488	38002970	1	200000
103	4488	3	4489	38002970	2	400000
104	4489	4	4490	38002970	2	400000
105	4490	5	4491	38002970	2	400000
106	4491	6	4492	38002970	3	600000
107	4492	7	4493	38002970	3	600000
108	4493	8	4494	38002970	3	600000
109	4494	9	4495	38002970	3	600000
110	4495	10	-1	-1	-1	0
111	4496	1	4497	38002971	1	200000
112	4497	2	4498	38002971	1	200000
113	4498	3	4499	38002971	2	400000
114	4499	4	4500	38002971	2	400000
115	4500	5	4501	38002971	2	400000
116	4501	6	4502	38002971	3	600000
117	4502	7	4503	38002971	3	600000
118	4503	8	4504	38002971	3	600000
119	4504	9	4505	38002971	3	600000
120	4505	10	-1	-1	-1	0
121	4506	1	4507	38002969	1	200000
122	4507	2	4508	38002969	1	200000
123	4508	3	4509	38002969	2	400000
124	4509	4	4510	38002969	2	400000
125	4510	5	4511	38002969	2	400000
126	4511	6	4512	38002969	3	600000
127	4512	7	4513	38002969	3	600000
128	4513	8	4514	38002969	3	600000
129	4514	9	4515	38002969	3	600000
130	4515	10	-1	-1	-1	0
131	4516	1	4517	38002970	1	200000
132	4517	2	4518	38002970	1	200000
133	4518	3	4519	38002970	2	400000
134	4519	4	4520	38002970	2	400000
135	4520	5	4521	38002970	2	400000
136	4521	6	4522	38002970	3	600000
137	4522	7	4523	38002970	3	600000
138	4523	8	4524	38002970	3	600000
139	4524	9	4525	38002970	3	600000
140	4525	10	-1	-1	-1	0
141	4526	1	4527	38002971	1	200000
142	4527	2	4528	38002971	1	200000
143	4528	3	4529	38002971	2	400000
144	4529	4	4530	38002971	2	400000
145	4530	5	4531	38002971	2	400000
146	4531	6	4532	38002971	3	600000
147	4532	7	4533	38002971	3	600000
148	4533	8	4534	38002971	3	600000
149	4534	9	4535	38002971	3	600000
150	4535	10	-1	-1	-1	0
151	4536	1	4537	38002969	1	200000
152	4537	2	4538	38002969	1	200000
153	4538	3	4539	38002969	2	400000
154	4539	4	4540	38002969	2	400000
155	4540	5	4541	38002969	2	400000
156	4541	6	4542	38002969	3	600000
157	4542	7	4543	38002969	3	600000
158	4543	8	4544	38002969	3	600000
