INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT
10158007	2	10102000	1256	815	816	816	
10158008	2	10102000	1252	815	816	816	
10158009	1	10101000	1257	815	816	816	
10158010	2	10102000	1251	815	816	816	
10158011	2	10102000	1255	815	816	816	
10158012	3	10103000	1253	815	816	816	
10158013	3	10103000	1254	815	816	816	
10158014	2	10102000	1256	815	816	816	
10158015	2	10102000	1252	815	816	816	
10158016	1	10101000	1257	815	816	816	
10158017	2	10102000	1251	815	816	816	
10158018	2	10102000	1255	815	816	816	
10158019	3	10103000	1253	815	816	816	
10158020	3	10103000	1254	815	816	816	
10158021	2	10102000	1256	815	816	816	
10158022	2	10102000	1252	815	816	816	
10158023	1	10101000	1257	815	816	816	
10158024	2	10102000	1251	815	816	816	
10158025	2	10102000	1255	815	816	816	
10158026	3	10103000	1253	815	816	816	
10158027	3	10103000	1254	815	816	816	
