INT	INT	INT	INT	INT	INT	INT
INDEX(Level*100+孔数)	耗钱	物品1	消耗数1	耗钱2	物品2	消耗数2
101	3000	20109001	1	-1	-1	-1
102	3600	20109001	1	-1	-1	-1	
103	4200	20109001	1	-1	-1	-1	
104	30000000	20109101	1	10000	20310111	1	
201	3120	20109001	1	-1	-1	-1	
202	3744	20109001	1	-1	-1	-1	
203	4368	20109001	1	-1	-1	-1	
204	30000000	20109101	1	10000	20310111	1	
301	3244	20109001	1	-1	-1	-1	
302	3893	20109001	1	-1	-1	-1	
303	4542	20109001	1	-1	-1	-1	
304	30000000	20109101	1	10000	20310111	1	
401	3374	20109001	1	-1	-1	-1	
402	4049	20109001	1	-1	-1	-1	
403	4724	20109001	1	-1	-1	-1	
404	30000000	20109101	1	10000	20310111	1	
501	3509	20109001	1	-1	-1	-1	
502	4211	20109001	1	-1	-1	-1	
503	4913	20109001	1	-1	-1	-1	
504	30000000	20109101	1	10000	20310111	1	
601	3649	20109001	1	-1	-1	-1	
602	4379	20109001	1	-1	-1	-1	
603	5109	20109001	1	-1	-1	-1	
604	30000000	20109101	1	10000	20310111	1	
701	3795	20109001	1	-1	-1	-1	
702	4555	20109001	1	-1	-1	-1	
703	5314	20109001	1	-1	-1	-1	
704	30000000	20109101	1	10000	20310111	1	
801	3947	20109001	1	-1	-1	-1	
802	4737	20109001	1	-1	-1	-1	
803	5526	20109001	1	-1	-1	-1	
804	30000000	20109101	1	10000	20310111	1	
901	4105	20109001	1	-1	-1	-1	
902	4926	20109001	1	-1	-1	-1	
903	5747	20109001	1	-1	-1	-1	
904	30000000	20109101	1	10000	20310111	1	
1001	4269	20109001	1	-1	-1	-1	
1002	5123	20109001	1	-1	-1	-1	
1003	5977	20109001	1	-1	-1	-1	
1004	30000000	20109101	1	10000	20310111	1	
1101	4440	20109002	1	-1	-1	-1	
1102	5328	20109002	1	-1	-1	-1	
1103	6217	20109002	1	-1	-1	-1	
1104	30000000	20109101	1	10000	20310111	1	
1201	4618	20109002	1	-1	-1	-1	
1202	5542	20109002	1	-1	-1	-1	
1203	6465	20109002	1	-1	-1	-1	
1204	30000000	20109101	1	10000	20310111	1	
1301	4803	20109002	1	-1	-1	-1	
1302	5763	20109002	1	-1	-1	-1	
1303	6724	20109002	1	-1	-1	-1	
1304	30000000	20109101	1	10000	20310111	1	
1401	4995	20109002	1	-1	-1	-1	
1402	5994	20109002	1	-1	-1	-1	
1403	6993	20109002	1	-1	-1	-1	
1404	30000000	20109101	1	10000	20310111	1	
1501	5195	20109002	1	-1	-1	-1	
1502	6234	20109002	1	-1	-1	-1	
1503	7273	20109002	1	-1	-1	-1	
1504	30000000	20109101	1	10000	20310111	1	
1601	5402	20109002	1	-1	-1	-1	
1602	6483	20109002	1	-1	-1	-1	
1603	7563	20109002	1	-1	-1	-1	
1604	30000000	20109101	1	10000	20310111	1	
1701	5618	20109002	1	-1	-1	-1	
1702	6742	20109002	1	-1	-1	-1	
1703	7866	20109002	1	-1	-1	-1	
1704	30000000	20109101	1	10000	20310111	1	
1801	5843	20109002	1	-1	-1	-1	
1802	7012	20109002	1	-1	-1	-1	
1803	8181	20109002	1	-1	-1	-1	
1804	30000000	20109101	1	10000	20310111	1	
1901	6077	20109002	1	-1	-1	-1	
