INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
ID	名称$1$	ToolTips$1$	类别	逻辑ID	隐形级别	陷阱专用标记	可激活次数	生存期持续特效	生存期持续音效	激发特效	激发音效	死亡特效	死亡音效	预留	预留	预留	 子弹ID	持续时间	激活或触发时间间隔	触发半径	影响半径	预留	预留	影响个体数目	沧海新增	预留	预留	预留	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	详细说明(内部使用)
1	漫天花雨	漫天花雨	0	1	0	0	0	漫天花雨3	-1		0		0	0	0	0	0	125000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
2	飞火流星	飞火流星	0	1	0	0	0	yanhuo19	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
3	八面玲珑	八面玲珑	0	1	0	0	0	yanhuo20	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
4	雪落无声	雪落无声	0	1	0	0	0	yanhuo31	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
5	落英缤纷	落英缤纷	0	1	0	0	0	yanhuo32	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
6	舞榭歌台	舞榭歌台	0	1	0	0	0	yanhuo33	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
7	剑雨飘香	剑雨飘香	0	1	0	0	0	yanhuo099	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
8	九曲连环	九曲连环	0	1	0	0	0	yanhuo199	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
9	紫气东来	紫气东来	0	1	0	0	0	yanhuo201	-1		0		0	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
