INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
TransId	源场景名称	原场景ID	传送NPC名	INT	POSX	POSZ	INT	INT	INT	INT	TARSCENE	STRING	NeedLevel	TARPOSX	TARPOSZ
1	洛阳	0	汪旱	184	230	129	128	1001	-1	-1	1	苏州	10	111	160	
2	洛阳	0	汪旱	184	230	129	128	1007	-1	-1	1	苏州-铁匠铺	10	239	128	
3	洛阳	0	汪旱	184	230	129	128	1002	-1	-1	2	大理	10	241	136	
4	洛阳	0	汪旱	184	230	129	128	1011	-1	-1	186	楼兰	75	285	130	
5	洛阳	0	汪旱	184	230	129	128	1010	-1	-1	420	束河古镇	20	202	211	
6	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	16	门派-星宿	10	99	150	
7	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	14	门派-逍遥	10	69	142	
8	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	9	门派-少林	10	93	132	
9	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	17	门派-天山	10	90	120	
10	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	13	门派-天龙	10	99	120	
11	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	15	门派-峨嵋	10	86	142	
12	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	12	门派-武当	10	101	136	
13	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	11	门派-明教	10	102	167	
14	洛阳	0	汪旱	184	230	129	128	-1	-1	-1	10	门派-丐帮	10	95	120	
15	洛阳	0	吴德昌	86	139	182	82	1001	-1	-1	1	苏州	10	111	160	
16	洛阳	0	吴德昌	86	139	182	82	1007	-1	-1	1	苏州-铁匠铺	10	239	128	
17	洛阳	0	吴德昌	86	139	182	82	1002	-1	-1	2	大理	10	241	136	
18	洛阳	0	吴德昌	86	139	182	82	1011	-1	-1	186	楼兰	75	285	130	
19	洛阳	0	吴德昌	86	139	182	82	1010	-1	-1	420	束河古镇	20	202	211	
20	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	16	门派-星宿	10	99	150	
21	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	14	门派-逍遥	10	69	142	
22	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	9	门派-少林	10	93	132	
23	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	17	门派-天山	10	90	120	
24	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	13	门派-天龙	10	99	120	
25	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	15	门派-峨嵋	10	86	142	
26	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	12	门派-武当	10	101	136	
27	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	11	门派-明教	10	102	167	
28	洛阳	0	吴德昌	86	139	182	82	-1	-1	-1	10	门派-丐帮	10	95	120	
29	苏州	1	邓茂	152	239	128	1081	1001	-1	-1	0	洛阳	10	139	182	
30	苏州	1	邓茂	152	239	128	1081	1006	-1	-1	0	洛阳-九州商会	10	230	129	
31	苏州	1	邓茂	152	239	128	1081	1002	-1	-1	2	大理	10	241	136	
32	苏州	1	邓茂	152	239	128	1081	1007	-1	-1	186	楼兰	75	285	130	
33	苏州	1	邓茂	152	239	128	1081	1010	-1	-1	420	束河古镇	20	202	211	
34	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	16	门派-星宿	10	99	150	
35	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	14	门派-逍遥	10	69	142	
36	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	9	门派-少林	10	93	132	
37	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	17	门派-天山	10	90	120	
38	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	13	门派-天龙	10	99	120	
39	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	15	门派-峨嵋	10	86	142	
40	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	12	门派-武当	10	101	136	
41	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	11	门派-明教	10	102	167	
42	苏州	1	邓茂	152	239	128	1081	-1	-1	-1	10	门派-丐帮	10	95	120	
43	苏州	1	李乘风	25	111	160	1028	1001	-1	-1	0	洛阳	10	139	182	
44	苏州	1	李乘风	25	111	160	1028	1006	-1	-1	0	洛阳-九州商会	10	230	129	
45	苏州	1	李乘风	25	111	160	1028	1002	-1	-1	2	大理	10	241	136	
46	苏州	1	李乘风	25	111	160	1028	1007	-1	-1	186	楼兰	75	285	130	
47	苏州	1	李乘风	25	111	160	1028	1010	-1	-1	420	束河古镇	20	202	211	
48	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	16	门派-星宿	10	99	150	
49	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	14	门派-逍遥	10	69	142	
50	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	9	门派-少林	10	93	132	
51	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	17	门派-天山	10	90	120	
52	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	13	门派-天龙	10	99	120	
53	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	15	门派-峨嵋	10	86	142	
54	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	12	门派-武当	10	101	136	
55	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	11	门派-明教	10	102	167	
56	苏州	1	李乘风	25	111	160	1028	-1	-1	-1	10	门派-丐帮	10	95	120	
57	大理	2	崔逢九	0	241	136	2026	1001	-1	-1	0	洛阳	10	139	182	
58	大理	2	崔逢九	0	241	136	2026	1006	-1	-1	0	洛阳-九州商会	10	230	129	
59	大理	2	崔逢九	0	241	136	2026	1002	-1	-1	1	苏州	10	111	160	
60	大理	2	崔逢九	0	241	136	2026	1007	-1	-1	1	苏州-铁匠铺	10	239	128	
61	大理	2	崔逢九	0	241	136	2026	1011	-1	-1	186	楼兰	75	285	130	
62	大理	2	崔逢九	0	241	136	2026	1010	-1	-1	420	束河古镇	20	202	211	
63	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	16	门派-星宿	10	99	150	
64	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	14	门派-逍遥	10	69	142	
65	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	9	门派-少林	10	93	132	
66	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	17	门派-天山	10	90	120	
67	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	13	门派-天龙	10	99	120	
68	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	15	门派-峨嵋	10	86	142	
69	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	12	门派-武当	10	101	136	
70	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	11	门派-明教	10	102	167	
71	大理	2	崔逢九	0	241	136	2026	-1	-1	-1	10	门派-丐帮	10	95	120	
72	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	0	洛阳	10	139	182	
73	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	0	洛阳-九州商会	10	230	129	
74	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	1	苏州	10	111	160	
75	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	1	苏州-铁匠铺	10	239	128	
76	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	2	大理	10	241	136	
77	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	16	门派-星宿	10	99	150	
78	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	14	门派-逍遥	10	69	142	
79	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	9	门派-少林	10	93	132	
80	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	17	门派-天山	10	90	120	
81	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	13	门派-天龙	10	99	120	
82	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	15	门派-峨嵋	10	86	142	
83	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	12	门派-武当	10	101	136	
84	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	11	门派-明教	10	102	167	
85	少林寺	9	慧轮	11	93	132	-1	-1	-1	-1	10	门派-丐帮	10	95	120	
86	丐帮总舵	10	张全祥	5	95	120	-1	-1	-1	-1	0	洛阳	10	139	182	
87	丐帮总舵	10	张全祥	5	95	120	-1	-1	-1	-1	0	洛阳-九州商会	10	230	129	
88	丐帮总舵	10	张全祥	5	95	120	-1	-1	-1	-1	1	苏州	10	111	160	
89	丐帮总舵	10	张全祥	5	95	120	-1	-1	-1	-1	1	苏州-铁匠铺	10	239	128	
