INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING
nIndex	nBigClass	nSmallClass	smallClassIdx	Name	strDesc	strTubiao	nNeedTimes	nHuoYueZhi	nGotoType	nParam1	nParam2	nParam3	nParam4	nLevel	string
0	1	1	1	每日登陆	今日登陆游戏	set:Huodong_12 image:Huodong_12_10	1	10	3	-1	-1	-1	#{ZHY_210301_21}	35	#{ZHY_210301_36}	
1	1	2	1	一千零一个愿望	完成一千零一个愿望任务	set:SalaryMission image:SalaryMission_1	1	20	2	1	186	182	梁道士	35	#{ZHY_210301_37}	
2	1	3	1	惩凶打图（一）	完成1次惩凶打图	set:Huodong_12 image:Huodong_12_13	1	5	2	1	127	133	吴玠	35	#{ZHY_210301_38}	
3	1	3	2	惩凶打图（二）	完成5次惩凶打图	set:Huodong_12 image:Huodong_12_13	5	5	2	1	127	133	吴玠	35	#{ZHY_210301_38}	
4	1	3	3	惩凶打图（三）	完成10次惩凶打图	set:Huodong_12 image:Huodong_12_13	10	5	2	1	127	133	吴玠	35	#{ZHY_210301_38}	
5	1	4	1	藏宝图	开启1次藏宝图	set:Merchandise4 image:Merchandise4_16	1	5	3	-1	-1	-1	#{ZHY_210301_22}	35	#{ZHY_210301_39}	
6	1	6	1	师门任务（一）	完成1环师门任务	set:SalaryMission image:SalaryMission_3	1	5	3	-1	-1	-1	#{ZHY_210301_24}	35	#{ZHY_210301_41}	
7	1	6	2	师门任务（二）	完成5环师门任务	set:SalaryMission image:SalaryMission_3	5	5	3	-1	-1	-1	#{ZHY_210301_24}	35	#{ZHY_210301_41}	
8	1	6	3	师门任务（三）	完成10环师门任务	set:SalaryMission image:SalaryMission_3	10	5	3	-1	-1	-1	#{ZHY_210301_24}	35	#{ZHY_210301_41}	
9	1	7	1	夺宝马贼（一）	击败1只夺宝马贼	set:Huodong_12 image:Huodong_12_14	1	5	3	-1	-1	-1	#{ZHY_210301_25}	35	#{ZHY_210301_42}	
10	1	7	2	夺宝马贼（二）	击败10只夺宝马贼	set:Huodong_12 image:Huodong_12_14	10	5	3	-1	-1	-1	#{ZHY_210301_25}	35	#{ZHY_210301_42}	
11	1	8	1	元宝消耗	当日累计消费100元宝	set:CircularTaskTool6 image:CircularTaskTool6_7	100	10	1	222	-1	-1	-1	35	#{ZHY_210301_43}	
12	1	9	1	绑定元宝消耗	于绑定元宝商店内消费1次	set:CircularTaskTool64 image:CircularTaskTool64_16	1	5	1	222	-1	-1	-1	35	#{ZHY_210301_44}	
13	2	10	1	老三环（一）	击败1次野外匪寨中的山寨大王	set:SalaryMission image:SalaryMission_6	1	20	2	1	62	162	钱宏宇	35	#{ZHY_210301_45}	
14	2	10	2	老三环（二）	击败2次野外匪寨中的山寨大王	set:SalaryMission image:SalaryMission_6	2	20	2	1	62	162	钱宏宇	35	#{ZHY_210301_45}	
15	2	10	3	老三环（三）	击败3次野外匪寨中的山寨大王	set:SalaryMission image:SalaryMission_6	3	20	2	1	62	162	钱宏宇	35	#{ZHY_210301_45}	
16	2	10	4	老三环（四）	击败4次野外匪寨中的山寨大王	set:SalaryMission image:SalaryMission_6	4	20	2	1	62	162	钱宏宇	35	#{ZHY_210301_45}	
17	2	10	5	老三环（五）	击败5次野外匪寨中的山寨大王	set:SalaryMission image:SalaryMission_6	5	20	2	1	62	162	钱宏宇	35	#{ZHY_210301_45}	
18	2	11	1	新三环（一）	击败1次熔岩之地中的火焰妖魔	set:SalaryMission image:SalaryMission_5	1	20	2	246	295	68	何悦	75	#{ZHY_210301_46}	
19	2	11	2	新三环（二）	击败2次熔岩之地中的火焰妖魔	set:SalaryMission image:SalaryMission_5	2	20	2	246	295	68	何悦	75	#{ZHY_210301_46}	
20	2	11	3	新三环（三）	击败3次熔岩之地中的火焰妖魔	set:SalaryMission image:SalaryMission_5	3	20	2	246	295	68	何悦	75	#{ZHY_210301_46}	
21	2	11	4	新三环（四）	击败4次熔岩之地中的火焰妖魔	set:SalaryMission image:SalaryMission_5	4	20	2	246	295	68	何悦	75	#{ZHY_210301_46}	
22	2	11	5	新三环（五）	击败5次熔岩之地中的火焰妖魔	set:SalaryMission image:SalaryMission_5	5	20	2	246	295	68	何悦	75	#{ZHY_210301_46}	
23	2	12	1	讨伐燕子坞（一）	击败1次讨伐燕子坞中的慕容复	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	1	40	2	4	70	119	李纲	60	#{ZHY_210301_47}	
24	2	12	2	讨伐燕子坞（二）	击败2次讨伐燕子坞中的慕容复	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	2	40	2	4	70	119	李纲	60	#{ZHY_210301_47}	
25	2	12	3	讨伐燕子坞（三）	击败3次讨伐燕子坞中的慕容复	set:LongZhengWuZai_Icon1 image:LongZhengWuZai_Icon1_16	3	40	2	4	70	119	李纲	60	#{ZHY_210301_47}	
26	2	13	1	初战缥缈峰（一）	击败1次初战缥缈峰中的李秋水	set:SalaryMission image:SalaryMission_15	1	30	2	246	193	224	程青霜	75	#{ZHY_210301_48}	
27	2	13	2	初战缥缈峰（二）	击败2次初战缥缈峰中的李秋水	set:SalaryMission image:SalaryMission_15	2	30	2	246	193	224	程青霜	75	#{ZHY_210301_48}	
28	2	14	1	挑战缥缈峰（一）	击败1次挑战缥缈峰中的李秋水	set:SalaryMission image:SalaryMission_15	1	60	2	246	193	224	程青霜	90	#{ZHY_210301_49}	
29	2	14	2	挑战缥缈峰（二）	击败2次挑战缥缈峰中的李秋水	set:SalaryMission image:SalaryMission_15	2	60	2	246	193	224	程青霜	90	#{ZHY_210301_49}	
30	2	14	3	挑战缥缈峰（三）	击败3次挑战缥缈峰中的李秋水	set:SalaryMission image:SalaryMission_15	3	60	2	246	193	224	程青霜	90	#{ZHY_210301_49}	
31	2	16	1	水月山庄（一）	击败1次水月山庄中的耶律泓佑	set:Huodong_12 image:Huodong_12_9	1	80	2	1	129	107	沈夜雨	80	#{ZHY_210301_51}	
