INT	INT	STRING
id	type	祝福语
1	0	愿所有朋友身体健康，幸福平安！
2	0	快乐天龙！欢乐常伴！
3	0	祝福世界和平！
4	0	愿我祖国强盛！
5	0	希望今天能刷到小！
6	0	希望今天能抢到反！
7	0	希望刷到武魂！
8	0	希望刷到神符！
9	0	祝早点摆脱单身！
10	0	祝早日冲到满级！
11	0	祝早日练成神器！
12	0	祝早日天下无敌！
13	0	希望做出极品手工！
14	0	希望挑战缥缈峰成功！
15	0	希望挑战杀星成功！
16	0	希望挑战燕子坞成功！
17	0	希望刷到珍兽装备！
18	0	希望刷到八十级坐骑！
19	0	祝店铺生意兴隆！
20	0	祝帮会日渐强大，威震江湖！
21	0	希望每周都拿华山论剑第一名！
22	0	希望能出完美宝宝！
23	1	祝心爱的人天天开心！
24	1	祝心爱的人永远幸福！
25	1	愿爱情地久天长！
26	1	愿作比翼鸟，愿为连理枝。
27	1	执子之手，与子偕老。
28	1	不为富贵荣华，只为相伴一生。
29	1	愿有情人心心相印，一生幸福。
30	1	愿有情人爱意永存，一生美满。
31	1	愿有情人甜蜜永远，一生相恋。
32	1	愿爱情永真，愿缘分永存。
33	1	祝早生贵子！
34	1	祝永结同心！
35	1	祝白头到老！
36	1	祝情比金坚！
37	1	祝携手一生，同走天涯！
38	2	祝师傅万事顺心！
39	2	祝徒弟天天快乐！
40	2	愿师傅带徒弟练级，又快又开心！
41	2	希望徒弟早日出师，光耀师门！
42	2	愿师徒情谊永存！
43	2	愿师徒携手天下，威震江湖！
44	2	祝师徒感情好经验多，相伴每一天！
45	2	祝师徒情谊相随，欢乐常伴！
46	2	祝师傅平安幸福！
47	2	祝徒弟前程似锦！
48	2	祝师傅桃李满天下！
49	2	祝徒弟江湖任他行！
50	2	愿师徒心连心，常联系！
51	2	愿师徒同闯江湖，快乐天龙！
52	2	愿师徒英雄无敌，再造辉煌！
53	3	愿兄弟情谊永存！一起快乐游戏！
54	3	愿姐妹情谊永存！一起快乐游戏！
55	3	希望我们永远都是好朋友！
56	3	希望好朋友每天无忧无虑！
57	3	希望好朋友永远快乐幸福！
58	3	愿友谊天长地久！
59	3	希望好朋友好运连连！
60	3	希望好朋友前程似锦！
61	3	希望好朋友日进斗金！
62	3	希望好朋友常联系，永相伴！
63	3	希望好朋友心想事成！
64	3	希望好朋友万事如意！
65	3	希望好朋友福满乾坤！
66	3	希望好朋友身体健康！
