INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
slotdata	wgid	grade	level	LevelCost	need_itembind	need_itemunbind	LevelItemCount	AttrEffectYang	attrvalue_yang	effecttype_yang	effectvalue_yang	attr_yin	attrvalue_yin	effecttype_yin	effectvalue_yin	wszattr	wszattrvalue
10100	1	1	0	40000	20800013	20800012	2	26	150	0	30	26	105	0	30	26	75
10101	1	1	1	40000	20800013	20800012	2	26	180	0	39	26	135	0	39	26	90
10102	1	1	2	40000	20800013	20800012	2	26	210	0	48	26	150	0	48	26	105
10103	1	1	3	40000	20800013	20800012	2	26	240	0	57	26	180	0	57	26	120
10104	1	1	4	40000	20800013	20800012	2	26	270	0	66	26	195	0	66	26	135
10105	1	1	5	80000	20800013	20800012	4	26	300	0	75	26	225	0	75	26	150
10106	1	1	6	80000	20800013	20800012	4	26	330	0	84	26	240	0	84	26	165
10107	1	1	7	80000	20800013	20800012	4	26	360	0	93	26	270	0	93	26	180
10108	1	1	8	80000	20800013	20800012	4	26	390	0	102	26	285	0	102	26	195
10109	1	1	9	80000	20800013	20800012	4	26	420	0	111	26	315	0	111	26	210
10110	1	1	10	200000	20800001	20800000	20	26	450	0	120	26	330	0	120	26	225
10200	1	2	0	120000	20800013	20800012	6	26	450	0	130	26	330	0	130	26	225
10201	1	2	1	120000	20800013	20800012	6	26	480	0	140	26	360	0	140	26	240
10202	1	2	2	120000	20800013	20800012	6	26	510	0	150	26	375	0	150	26	255
10203	1	2	3	120000	20800013	20800012	6	26	540	0	160	26	405	0	160	26	270
10204	1	2	4	120000	20800013	20800012	6	26	570	0	170	26	420	0	170	26	285
10205	1	2	5	160000	20800013	20800012	8	26	600	0	180	26	450	0	180	26	300
10206	1	2	6	160000	20800013	20800012	8	26	630	0	190	26	465	0	190	26	315
10207	1	2	7	160000	20800013	20800012	8	26	660	0	200	26	495	0	200	26	330
10208	1	2	8	160000	20800013	20800012	8	26	690	0	210	26	510	0	210	26	345
10209	1	2	9	160000	20800013	20800012	8	26	720	0	220	26	540	0	220	26	360
10210	1	2	10	400000	20800001	20800000	40	26	750	0	230	26	555	0	230	26	375
