INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
nIndex	修炼等级	Grade	秘籍1经验	秘籍1金币	秘籍1加成A	秘籍1加成B	秘籍2经验	秘籍2金币	秘籍2加成A	秘籍2加成B	秘籍3经验	秘籍3金币	秘籍3加成A	秘籍3加成B	秘籍4经验	秘籍4金币	秘籍4加成A	秘籍4加成B	秘籍5经验	秘籍5金币	秘籍5加成A	秘籍5加成B	秘籍6经验	秘籍6金币	秘籍6加成A	秘籍6加成B	秘籍7经验	秘籍7金币	秘籍7加成A	秘籍7加成B	秘籍8经验	秘籍8金币	秘籍8加成A	秘籍8加成B	秘籍9经验	秘籍9金币	秘籍9加成A	秘籍9加成B	秘籍10经验	秘籍10金币	秘籍10加成A	秘籍10加成B	秘籍11经验	秘籍11金币	秘籍11加成A	秘籍11加成B
1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
2	1	0	1652	49	1	1	1652	49	1	1	4092	122	1	1	418	12	1	1	627	18	1	1	1415	42	1	1	1415	42	1	1	1602	48	1	1	658	19	1	1	693	20	1	1	548	16	1	1
3	2	0	20540	616	2	1	20540	616	2	1	50856	1525	2	1	5197	155	2	1	7795	233	2	1	17592	527	2	1	17592	527	2	1	19918	597	2	1	8185	245	2	1	8622	258	2	1	6818	204	2	1
4	3	0	58909	1767	3	1	58909	1767	3	1	145855	4375	3	1	14904	447	3	1	22357	670	3	1	50454	1513	3	1	50454	1513	3	1	57126	1713	3	1	23476	704	3	1	24728	741	3	1	19554	586	3	1
5	4	0	111193	3335	4	1	111193	3335	4	1	275303	8258	4	1	28133	843	4	1	42199	1265	4	1	95234	2856	4	1	95234	2856	4	1	107826	3234	4	1	44312	1329	4	1	46676	1400	4	1	36909	1107	4	1
6	5	0	175223	5256	5	1	175223	5256	5	1	433836	13014	5	1	44333	1329	5	1	66500	1994	5	1	150074	4502	5	1	150074	4502	5	1	169918	5097	5	1	69829	2094	5	1	73554	2206	5	1	58163	1744	5	1
7	6	0	249698	7490	6	1	249698	7490	6	1	618230	18546	6	1	63176	1895	6	1	94765	2842	6	1	213860	6415	6	1	213860	6415	6	1	242139	7264	6	1	99509	2985	6	1	104817	3144	6	1	82884	2486	6	1
8	7	0	333717	10011	7	1	333717	10011	7	1	826251	24787	7	1	84434	2533	7	1	126651	3799	7	1	285819	8574	7	1	285819	8574	7	1	323614	9708	7	1	132991	3989	7	1	140086	4202	7	1	110773	3323	7	1
9	8	0	426602	12798	8	1	426602	12798	8	1	1056225	31686	8	1	107935	3238	8	1	161903	4857	8	1	365373	10961	8	1	365373	10961	8	1	413687	12410	8	1	170008	5100	8	1	179076	5372	8	1	141605	4248	8	1
10	9	0	527820	15834	9	1	527820	15834	9	1	1306832	39204	9	1	133544	4006	9	1	200317	6009	9	1	452064	13561	9	1	452064	13561	9	1	511841	15355	9	1	210345	6310	9	1	221565	6646	9	1	175203	5256	9	1
11	10	0	636937	19108	10	1	636937	19108	10	1	1576995	47309	10	1	161152	4834	10	1	241729	7251	10	1	545520	16365	10	1	545520	16365	10	1	617654	18529	10	1	253830	7614	10	1	267370	8021	10	1	211423	6342	10	1
12	11	0	753587	22607	11	1	753587	22607	11	1	1865810	55974	11	1	190666	5719	11	1	286000	8579	11	1	645428	19362	11	1	645428	19362	11	1	730773	21923	11	1	300317	9009	11	1	316337	9490	11	1	250144	7504	11	1
