INT	INT	STRING	STRING	STRING
Index	所属书本	名称	图标	简介
0	0	#cfff263力拔山兮卷	Xiulian1_14	力拔山兮卷，外功之力，浑厚而沉稳，浑厚时无坚不摧，沉稳时势不可挡，故称力道乃近战武学之根基。修炼后可永久提升修炼者的#G基础力量#W。	
1	0	#cfff263气贯长虹卷	Xiulian1_15	气贯长虹卷，内劲之力，内蓄刚劲，外现绵柔，百步之外便可御敌，故称灵气乃远攻武学之基本。修炼后可永久提升修炼者的#G基础灵气#W。	
2	0	#cfff263金刚不败卷	Xiulian1_13	金刚不败卷，习武之人讲究强身健体，地裂天崩，也可岿然不动，此乃不求完胜但求不败之术。修炼后可永久提升修炼者的#G基础体力#W。	
3	0	#cfff263海纳百川卷	Xiulian1_11	海纳百川卷，周流六虚，气动丹田，守时能容万千内劲，攻时真气连绵不绝。修炼后可永久提升修炼者的#G基础定力#W。	
4	0	#cfff263疾风化影卷	Xiulian1_12	疾风化影卷，疾行如风，分身化影，在对方虚实不测之时给予致命一击。修炼后可永久提升修炼者的#G基础身法#W。	
5	1	#cfff263倒海翻江卷	Xiulian1_6	倒海翻江卷，至纯至阳的神功，即使翻江倒海也易如反掌。修炼后可永久提升修炼者的#G基础外功攻击#W。	
6	1	#cfff263滴水穿石卷	Xiulian1_7	滴水穿石卷，至阴至柔的神功，即使一滴清水也能击破顽石。修炼后可永久提升修炼者的#G基础内功攻击#W。	
7	1	#cfff263铜墙铁壁卷	Xiulian1_10	铜墙铁壁卷，金甲护体，霸王雄姿，能抵御一切外力攻击，修炼后可永久提升修炼者的#G基础外功防御#W。	
8	1	#cfff263气定山河卷	Xiulian1_9	气定山河卷，静心凝神，固本守元，能抵御一切内劲攻击，修炼后可永久提升修炼者的#G基础内功防御#W。	
9	1	#cfff263百不失一卷	Xiulian1_5	百不失一卷，锻炼修习者的眼力，百步穿杨，百发百中，修炼后可永久提升修炼者的#G基础命中#W。	
10	1	#cfff263高飞远集卷	Xiulian1_8	高飞远集卷，锻炼修习者的步法，踏空而行，随风展翅，修炼后可永久提升修炼者的#G基础闪避#W。	
